condition,sign,model_cohort,receiver_scope,stage,evaluation_split,n_pairs,n_proteins,auroc,average_precision,macro_protein_auroc,delta_auroc_from_previous_stage
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,07_add_source_mechanism_interactions,test,8738,196,0.9206158038201383,0.9317795432383558,0.9213985089387743,0.00032758531900178856
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,00_distance_q8,validation,5067,169,0.4969300947464884,0.503843061519858,0.5049471055418883,
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,00_distance_q8,test,4807,171,0.5124954509584756,0.5169876678172958,0.5294049718513307,
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,01_add_query_biophysics,validation,5067,169,0.9604610162773762,0.9606627846586723,0.9486486056307215,0.4635309215308878
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,01_add_query_biophysics,test,4807,171,0.9558667659751431,0.9586784170274529,0.9431088265845143,0.4433713150166675
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,02_add_3d_geometry,validation,5067,169,0.9606644873759115,0.9606597646905974,0.9487989610253771,0.00020347109853524614
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,02_add_3d_geometry,test,4807,171,0.9557556152745301,0.9573819788697168,0.9436031327703015,-0.00011115070061296084
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,03_add_contact_network,validation,5067,169,0.9605925090853118,0.9608915495766299,0.9469776293833414,-7.197829059968353e-05
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,03_add_contact_network,test,4807,171,0.9557542302190707,0.9574968771981691,0.9430490871182864,-1.385055459435236e-06
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,04_add_community_domain,validation,5067,169,0.9600715233628757,0.9607615221658319,0.9482192638987295,-0.0005209857224360848
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,04_add_community_domain,test,4807,171,0.9557646181350158,0.9575516073795016,0.9425405580314251,1.0387915945098136e-05
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,05_add_putative_polar_contacts,validation,5067,169,0.9602915089609855,0.9612232104676033,0.9489348028222109,0.00021998559810976204
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,05_add_putative_polar_contacts,test,4807,171,0.9557866058904331,0.9578019717975704,0.9430218108502811,2.198775541728537e-05
