condition,split,sign,structural_cohort,q8,feature,feature_group,n_proteins,n_selected_segments,n_control_segments,selected_macro_protein_mean,control_macro_protein_mean,selected_minus_control_macro_mean,ci95_low,ci95_high,inference_eligible,wilcoxon_p_two_sided,wilcoxon_q_bh,reference_80_effect,effect_difference_from_reference,effect_direction_preserved
esm2_frozen_bilstm_attn,validation,-1,reference_80,C,mean_ca_curvature_degrees,experimental_pdb_geometry,1,1,1,79.23651066797916,86.77500527533915,-7.538494607359993,,,False,,,-7.538494607359993,0.0,True
esm2_frozen_bilstm_attn,validation,-1,reference_80,C,mean_abs_ca_virtual_torsion_degrees,experimental_pdb_geometry,1,1,1,75.058491393283,161.19895590495705,-86.14046451167404,,,False,,,-86.14046451167404,0.0,True
esm2_frozen_bilstm_attn,test,-1,reference_80,H,mean_contact_degree,contact_network,160,572,784,5.9171965306434755,5.6616307128042465,0.255565817839229,0.0717874687752566,0.4393441669032014,True,0.0013850450890281177,0.0023642305929356205,0.255565817839229,0.0,True
esm2_frozen_bilstm_attn,test,-1,reference_80,H,mean_inverse_distance_weighted_degree,contact_network,160,572,784,0.9800019049765772,0.9249520648373053,0.055049840139272,0.026972483169820167,0.08312719710872384,True,3.553309956095393e-05,7.476280445320524e-05,0.055049840139272,0.0,True
esm2_frozen_bilstm_attn,test,-1,reference_80,H,mean_betweenness,contact_network,160,572,784,0.022794176312009667,0.020428768670506685,0.0023654076415029865,0.00033032084722070185,0.004400494435785271,True,0.004439829436549395,0.0069282123847324755,0.0023654076415029865,0.0,True
esm2_frozen_bilstm_attn,test,-1,reference_80,H,mean_closeness,contact_network,160,572,784,0.1998923625123657,0.194017404553743,0.0058749579586226865,0.0021392383307693016,0.00961067758647607,True,0.00420803382023566,0.006586487718629728,0.0058749579586226865,0.0,True
esm2_frozen_bilstm_attn,test,-1,reference_80,H,mean_ca_curvature_degrees,experimental_pdb_geometry,160,572,784,87.55895415919053,84.55295786606206,3.0059962931284847,2.0834953958612488,3.9284971903957207,True,1.3039843402828524e-13,5.774100399776468e-13,3.0059962931284847,0.0,True
esm2_frozen_bilstm_attn,test,-1,reference_80,H,mean_abs_ca_virtual_torsion_degrees,experimental_pdb_geometry,160,572,784,53.423316310436824,63.07719614606317,-9.653879835626359,-12.667880486999534,-6.639879184253184,True,4.905044009078972e-12,1.9089901008307352e-11,-9.653879835626359,0.0,True
esm2_frozen_bilstm_attn,test,-1,reference_80,H,ca_end_to_end_ratio,experimental_pdb_geometry,157,559,700,0.40176774628665113,0.46067197873007715,-0.05890423244342598,-0.07403725923563018,-0.04377120565122178,True,3.987413936974645e-14,1.828622951988372e-13,-0.05890423244342598,0.0,True
esm2_frozen_bilstm_attn,test,-1,reference_80,E,mean_contact_degree,contact_network,25,34,275,8.071945165945166,7.311308122476879,0.7606370434682881,0.2935981904032886,1.2276758965332877,True,0.0038219768150666235,0.006013599883846085,0.7606370434682881,0.0,True
esm2_frozen_bilstm_attn,test,-1,reference_80,E,mean_inverse_distance_weighted_degree,contact_network,25,34,275,1.3488882045826949,1.2080498356437017,0.14083836893899332,0.06568977532874577,0.21598696254924088,True,0.0014302832356022808,0.0024287828529095334,0.14083836893899332,0.0,True
esm2_frozen_bilstm_attn,test,-1,reference_80,E,mean_betweenness,contact_network,25,34,275,0.026069137056097497,0.021938960891482225,0.004130176164615272,-0.00024450947325349234,0.008504861802484037,True,0.07356496369682643,0.09502802213815835,0.004130176164615272,0.0,True
esm2_frozen_bilstm_attn,test,-1,reference_80,E,mean_closeness,contact_network,25,34,275,0.20373037585278733,0.20248467553530458,0.0012457003174827946,-0.006393551539393253,0.008884952174358841,True,0.94636892512424,0.9567335384575298,0.0012457003174827946,0.0,True
esm2_frozen_bilstm_attn,test,-1,reference_80,E,mean_ca_curvature_degrees,experimental_pdb_geometry,25,34,275,57.89287144734076,57.92344219506735,-0.030570747726583535,-2.8300986585006447,2.768957163047477,True,0.5097549306564958,0.5497656531945431,-0.030570747726583535,0.0,True
esm2_frozen_bilstm_attn,test,-1,reference_80,E,mean_abs_ca_virtual_torsion_degrees,experimental_pdb_geometry,25,34,275,143.1016992827603,136.11655002574685,6.985149257013429,-2.03886971377192,16.009168227798778,True,0.012814284489164544,0.01868425441919496,6.985149257013429,0.0,True
esm2_frozen_bilstm_attn,test,-1,reference_80,E,ca_end_to_end_ratio,experimental_pdb_geometry,25,34,256,0.797206227864306,0.8378073068766656,-0.04060107901235959,-0.08203787980385378,0.0008357217791346017,True,0.011876381887516064,0.017408377359551235,-0.04060107901235959,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,H,mean_contact_degree,contact_network,698,2940,3300,5.837335279388916,5.552950118183063,0.28438516120585333,0.20305546553903903,0.36571485687266764,True,7.797676597785021e-14,3.482833219854352e-13,0.28438516120585333,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,H,mean_inverse_distance_weighted_degree,contact_network,698,2940,3300,0.9673748657963336,0.9070368046062702,0.06033806119006321,0.04734531520293507,0.07333080717719134,True,1.12390866627582e-21,7.826056476968958e-21,0.06033806119006321,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,H,mean_betweenness,contact_network,698,2940,3300,0.023992586295847433,0.021010650227785973,0.0029819360680614615,0.0019799327015215017,0.003983939434601421,True,1.8972375340699646e-11,6.85060694348232e-11,0.0029819360680614615,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,H,mean_closeness,contact_network,698,2940,3300,0.20014180139158283,0.19241718038939237,0.007724621002190373,0.00591265135197404,0.009536590652406706,True,1.6513182104679512e-14,7.811755003527759e-14,0.007724621002190373,0.0,True
