condition,sign,stage,evaluation_split,structural_cohort,model_training_cohort,fitted_model_identifier,n_train_segments,n_train_proteins,model_status,n_segments,n_selected_segments,n_control_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_concordance,n_matched_protein_q8_strata,delta_auroc_from_previous_stage,delta_concordance_from_previous_stage
esm2_top28_bilstm_attn,-1,00_q8_only,validation,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign-1__train-reference_80__00_q8_only,6410,694,ok,1225,608,617,152,0.5,0.5000000000000002,0.5,152,,
esm2_top28_bilstm_attn,-1,01_base_biophysics,validation,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign-1__train-reference_80__01_base_biophysics,6410,694,ok,1225,608,617,152,0.8465360389855701,0.7779273580918085,0.8606336701449484,152,0.34653603898557006,0.3606336701449484
esm2_top28_bilstm_attn,-1,02_add_local_sequence_or_annotation_geometry,validation,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign-1__train-reference_80__02_add_local_sequence_or_annotation_geometry,6410,694,ok,1225,608,617,152,0.8591462678417298,0.8109189187601981,0.8844594040305976,152,0.0126102288561597,0.023825733885649236
esm2_top28_bilstm_attn,-1,03_add_experimental_pdb_geometry,validation,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign-1__train-reference_80__03_add_experimental_pdb_geometry,6410,694,ok,1225,608,617,152,0.8580032880104131,0.8089947687843706,0.8765751730777577,152,-0.001142979831316615,-0.007884230952839966
esm2_top28_bilstm_attn,-1,04_add_contact_network,validation,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign-1__train-reference_80__04_add_contact_network,6410,694,ok,1225,608,617,152,0.8557600557119422,0.8079405822200878,0.8740480809829964,152,-0.0022432322984708986,-0.0025270920947613185
esm2_top28_bilstm_attn,-1,05_add_ecod_domain,validation,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign-1__train-reference_80__05_add_ecod_domain,6410,694,ok,1225,608,617,152,0.8572740227069076,0.8097932579629153,0.8736607643174842,152,0.00151396699496531,-0.0003873166655121718
esm2_top28_bilstm_attn,1,00_q8_only,test,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign+1__train-reference_80__00_q8_only,29166,885,ok,3656,855,2801,193,0.5,0.5000000000000029,0.5,394,,
esm2_top28_bilstm_attn,1,01_base_biophysics,test,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign+1__train-reference_80__01_base_biophysics,29166,885,ok,3656,855,2801,193,0.7980854118146777,0.7825677836545796,0.8067697921028123,394,0.29808541181467774,0.3067697921028123
esm2_top28_bilstm_attn,1,02_add_local_sequence_or_annotation_geometry,test,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign+1__train-reference_80__02_add_local_sequence_or_annotation_geometry,29166,885,ok,3656,855,2801,193,0.8230030237115958,0.8077129158906636,0.8321303956796631,394,0.0249176118969181,0.02536060357685077
esm2_top28_bilstm_attn,1,03_add_experimental_pdb_geometry,test,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign+1__train-reference_80__03_add_experimental_pdb_geometry,29166,885,ok,3656,855,2801,193,0.8236936559595636,0.8100293187122158,0.833874872944879,394,0.0006906322479677263,0.0017444772652159823
esm2_top28_bilstm_attn,1,04_add_contact_network,test,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign+1__train-reference_80__04_add_contact_network,29166,885,ok,3656,855,2801,193,0.8327412585607693,0.818762179563373,0.8349380495092443,394,0.00904760260120574,0.0010631765643652757
esm2_top28_bilstm_attn,1,05_add_ecod_domain,test,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign+1__train-reference_80__05_add_ecod_domain,29166,885,ok,3656,855,2801,193,0.8396990307483762,0.8281335633567221,0.8434439099425138,394,0.006957772187606848,0.008505860433269508
esm2_top28_bilstm_attn,1,00_q8_only,validation,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign+1__train-reference_80__00_q8_only,29166,885,ok,3609,872,2737,196,0.5,0.5000000000000009,0.5,401,,
esm2_top28_bilstm_attn,1,01_base_biophysics,validation,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign+1__train-reference_80__01_base_biophysics,29166,885,ok,3609,872,2737,196,0.7954481746598178,0.7879625664323844,0.79605118778636,401,0.29544817465981776,0.29605118778635997
esm2_top28_bilstm_attn,1,02_add_local_sequence_or_annotation_geometry,validation,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign+1__train-reference_80__02_add_local_sequence_or_annotation_geometry,29166,885,ok,3609,872,2737,196,0.8231257783679841,0.808652196370096,0.8152534251290598,401,0.0276776037081663,0.01920223734269988
esm2_top28_bilstm_attn,1,03_add_experimental_pdb_geometry,validation,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign+1__train-reference_80__03_add_experimental_pdb_geometry,29166,885,ok,3609,872,2737,196,0.8281259774246014,0.8146152491665402,0.8222808387785251,401,0.005000199056617305,0.007027413649465242
esm2_top28_bilstm_attn,1,04_add_contact_network,validation,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign+1__train-reference_80__04_add_contact_network,29166,885,ok,3609,872,2737,196,0.8300354031241345,0.8142723977661996,0.8246013787693437,401,0.0019094256995331182,0.002320539990818604
esm2_top28_bilstm_attn,1,05_add_ecod_domain,validation,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign+1__train-reference_80__05_add_ecod_domain,29166,885,ok,3609,872,2737,196,0.8348673090741989,0.8189493389317736,0.8306150838358659,401,0.004831905950064441,0.0060137050665222125
esm2_top4_bilstm_attn,-1,00_q8_only,test,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign-1__train-reference_80__00_q8_only,6620,704,ok,1339,624,715,156,0.5,0.5000000000000002,0.5,162,,
esm2_top4_bilstm_attn,-1,01_base_biophysics,test,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign-1__train-reference_80__01_base_biophysics,6620,704,ok,1339,624,715,156,0.8532010373285945,0.813606404115677,0.8816410230552647,162,0.35320103732859454,0.3816410230552647
esm2_top4_bilstm_attn,-1,02_add_local_sequence_or_annotation_geometry,test,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign-1__train-reference_80__02_add_local_sequence_or_annotation_geometry,6620,704,ok,1339,624,715,156,0.8610658753147421,0.8243912574562958,0.8962495071555918,162,0.007864837986147566,0.014608484100327113
