condition,split,sign,q8,n_total_candidate_segments,n_selected_segments,n_clean_control_segments,n_case_control_proteins,accepted_mapping_segments,accepted_mapping_selected_segments,accepted_mapping_control_segments,accepted_mapping_proteins,accepted_mapping_matched_strata,accepted_mapping_matched_selected_segments,accepted_mapping_matched_control_segments,reference_80_segments,reference_80_selected_segments,reference_80_control_segments,reference_80_proteins,reference_80_matched_strata,reference_80_matched_selected_segments,reference_80_matched_control_segments,fully_resolved_local_segments,fully_resolved_local_selected_segments,fully_resolved_local_control_segments,fully_resolved_local_proteins,fully_resolved_local_matched_strata,fully_resolved_local_matched_selected_segments,fully_resolved_local_matched_control_segments,fully_resolved_geometry_segments,fully_resolved_geometry_selected_segments,fully_resolved_geometry_control_segments,fully_resolved_geometry_proteins,fully_resolved_geometry_matched_strata,fully_resolved_geometry_matched_selected_segments,fully_resolved_geometry_matched_control_segments,strict_graph_95_segments,strict_graph_95_selected_segments,strict_graph_95_control_segments,strict_graph_95_proteins,strict_graph_95_matched_strata,strict_graph_95_matched_selected_segments,strict_graph_95_matched_control_segments,selected_segments_lost_reference_to_full,control_segments_lost_reference_to_full,selected_loss_rate_reference_to_full,control_loss_rate_reference_to_full
esm3_top28_bilstm_attn,train,-1,S,5476,0,3864,754,3844,0,3844,751,0,0,0,3833,0,3833,750,0,0,0,3833,0,3833,750,0,0,0,840,0,840,388,0,0,0,3518,0,3518,648,0,0,0,0,0,,
esm3_top28_bilstm_attn,train,-1,B,188,0,180,121,179,0,179,120,0,0,0,179,0,179,120,0,0,0,179,0,179,120,0,0,0,0,0,0,0,0,0,0,174,0,174,116,0,0,0,0,0,,
esm3_top28_bilstm_attn,train,-1,I,24,0,24,22,24,0,24,22,0,0,0,24,0,24,22,0,0,0,24,0,24,22,0,0,0,16,0,16,16,0,0,0,24,0,24,22,0,0,0,0,0,,
esm3_top28_bilstm_attn,validation,-1,T,2454,0,1828,204,1828,0,1828,204,0,0,0,1825,0,1825,204,0,0,0,1825,0,1825,204,0,0,0,1224,0,1224,199,0,0,0,1686,0,1686,173,0,0,0,0,0,,
esm3_top28_bilstm_attn,validation,-1,S,1283,0,890,184,890,0,890,184,0,0,0,887,0,887,184,0,0,0,887,0,887,184,0,0,0,180,0,180,99,0,0,0,826,0,826,156,0,0,0,0,0,,
esm3_top28_bilstm_attn,validation,-1,G,576,0,498,143,498,0,498,143,0,0,0,495,0,495,143,0,0,0,494,0,494,143,0,0,0,368,0,368,130,0,0,0,460,0,460,128,0,0,0,0,0,,
esm3_top28_bilstm_attn,validation,-1,B,41,0,40,27,40,0,40,27,0,0,0,40,0,40,27,0,0,0,40,0,40,27,0,0,0,0,0,0,0,0,0,0,36,0,36,25,0,0,0,0,0,,
esm3_top28_bilstm_attn,validation,-1,I,13,0,12,7,12,0,12,7,0,0,0,12,0,12,7,0,0,0,12,0,12,7,0,0,0,6,0,6,4,0,0,0,12,0,12,7,0,0,0,0,0,,
esm3_top28_bilstm_attn,test,-1,T,2487,0,1853,199,1853,0,1853,199,0,0,0,1846,0,1846,199,0,0,0,1846,0,1846,199,0,0,0,1187,0,1187,189,0,0,0,1752,0,1752,180,0,0,0,0,0,,
esm3_top28_bilstm_attn,test,-1,S,1222,0,882,170,882,0,882,170,0,0,0,881,0,881,170,0,0,0,881,0,881,170,0,0,0,188,0,188,95,0,0,0,835,0,835,157,0,0,0,0,0,,
esm3_top28_bilstm_attn,test,-1,B,57,0,54,34,54,0,54,34,0,0,0,54,0,54,34,0,0,0,54,0,54,34,0,0,0,0,0,0,0,0,0,0,54,0,54,34,0,0,0,0,0,,
esm3_top28_bilstm_attn,test,-1,I,12,0,10,9,10,0,10,9,0,0,0,10,0,10,9,0,0,0,10,0,10,9,0,0,0,8,0,8,7,0,0,0,10,0,10,9,0,0,0,0,0,,
esm2_frozen_bilstm_attn,train,1,G,2375,80,2103,607,2168,79,2089,605,66,75,340,2156,78,2078,604,65,74,336,2156,78,2078,604,65,74,336,1540,66,1474,545,58,63,216,1998,77,1921,531,64,73,332,0,0,0.0,0.0
esm2_frozen_bilstm_attn,train,1,C,21789,2698,16544,967,19132,2686,16446,963,879,2676,15712,18324,2219,16105,961,812,2211,14938,18137,2095,16042,960,782,2087,14695,10442,1878,8564,958,745,1859,7632,16521,1931,14590,790,682,1929,13641,124,243,0.05608322026232474,0.016267237916722452
esm2_frozen_bilstm_attn,train,1,T,11343,1201,8803,926,9925,1196,8729,923,575,1190,6826,9854,1179,8675,923,570,1173,6716,9854,1179,8675,923,570,1173,6716,6731,997,5734,888,505,981,4201,8969,1077,7892,768,504,1073,6271,0,0,0.0,0.0
esm2_frozen_bilstm_attn,train,1,S,5476,690,3870,778,4541,690,3851,775,369,660,2551,4526,685,3841,775,367,655,2529,4526,685,3841,775,367,655,2529,1198,356,842,479,158,255,406,4150,629,3521,665,337,606,2387,0,0,0.0,0.0
esm2_frozen_bilstm_attn,train,1,H,7123,53,3983,851,4010,53,3957,847,46,46,279,3984,51,3933,846,44,44,269,3941,50,3891,841,42,42,263,3416,43,3373,820,35,35,183,3553,44,3509,703,38,38,251,2,6,0.045454545454545456,0.022304832713754646
esm2_frozen_bilstm_attn,train,1,E,7666,116,6956,750,7045,115,6930,749,103,115,1176,7033,113,6920,749,102,113,1172,7013,110,6903,749,100,110,1141,6574,102,6472,737,93,102,986,6354,105,6249,636,95,105,1127,3,31,0.02654867256637168,0.026450511945392493
esm2_frozen_bilstm_attn,train,1,B,188,1,181,122,181,1,180,121,1,1,2,181,1,180,121,1,1,2,181,1,180,121,1,1,2,0,0,0,0,0,0,0,177,1,176,117,1,1,2,0,0,0.0,0.0
esm2_frozen_bilstm_attn,validation,1,C,4666,561,3502,208,4063,561,3502,208,196,561,3360,3921,467,3454,208,179,467,3173,3887,446,3441,208,177,446,3153,2163,398,1765,205,167,397,1537,3586,420,3166,176,161,420,2995,21,20,0.044967880085653104,0.006303183107469272
esm2_frozen_bilstm_attn,validation,1,S,1283,175,898,190,1073,175,898,190,95,167,563,1069,175,894,190,95,167,562,1069,175,894,190,95,167,562,278,96,182,123,42,62,82,990,165,825,161,89,158,544,0,0,0.0,0.0
esm2_frozen_bilstm_attn,validation,1,T,2454,281,1865,205,2146,281,1865,205,142,279,1482,2136,278,1858,205,141,276,1476,2136,278,1858,205,141,276,1476,1502,243,1259,198,127,239,962,1954,259,1695,174,127,257,1381,0,0,0.0,0.0
esm2_frozen_bilstm_attn,validation,1,B,41,2,36,27,38,2,36,27,1,1,1,38,2,36,27,1,1,1,38,2,36,27,1,1,1,0,0,0,0,0,0,0,34,1,33,25,0,0,0,0,0,0.0,0.0
esm2_frozen_bilstm_attn,validation,1,G,576,27,500,145,527,27,500,145,22,25,75,525,27,498,145,22,25,74,524,27,497,145,22,25,74,392,20,372,132,17,18,51,487,25,462,128,21,24,73,0,0,0.0,0.0
esm2_frozen_bilstm_attn,validation,1,H,1457,11,773,183,784,11,773,183,11,11,40,782,11,771,183,11,11,40,777,10,767,183,10,10,34,675,9,666,181,9,9,30,706,9,697,157,9,9,29,1,6,0.09090909090909091,0.15
esm2_frozen_bilstm_attn,validation,1,E,1659,27,1494,174,1521,27,1494,174,25,27,256,1521,27,1494,174,25,27,256,1519,27,1492,174,25,27,254,1440,25,1415,174,23,25,220,1390,27,1363,151,25,27,254,0,2,0.0,0.0078125
esm2_frozen_bilstm_attn,test,1,C,4698,585,3575,208,4160,585,3575,208,194,581,3420,3995,507,3488,208,185,503,3259,3957,480,3477,208,182,477,3226,2294,420,1874,207,173,417,1679,3731,458,3273,188,169,455,3073,26,33,0.05168986083499006,0.010125805461798098
esm2_frozen_bilstm_attn,test,1,T,2487,255,1956,199,2211,255,1956,199,127,255,1443,2194,252,1942,199,125,252,1426,2194,252,1942,199,125,252,1426,1464,208,1256,194,112,201,862,2082,239,1843,180,116,239,1363,0,0,0.0,0.0
