condition,split,sign,label,seed_a,seed_b,observed_n_proteins,observed_n_informative_proteins,observed_total_bands_seed_a,observed_total_bands_seed_b,observed_total_matched_bands,observed_micro_f1,observed_micro_jaccard,observed_macro_f1_informative_proteins,observed_mean_matched_apex_distance,null_mean_micro_jaccard,null_std_micro_jaccard,micro_jaccard_empirical_p_upper,micro_jaccard_null_z,null_mean_macro_f1,null_std_macro_f1,macro_f1_empirical_p_upper,macro_f1_null_z,micro_jaccard_empirical_q_bh,macro_f1_empirical_q_bh
esm2_top28_bilstm_attn,train,-1,rigidity_supporting,2,3,967,952,5293,5162,4528,0.8661884265901483,0.76396153197233,0.822172430670635,0.6146201413427562,0.2715029546305968,0.005274876582908796,0.000999000999000999,93.3592605630538,0.3870006880372541,0.008003017365779411,0.000999000999000999,54.37595880950579,0.000999000999000999,0.000999000999000999
esm2_top28_bilstm_attn,validation,1,flexibility_supporting,1,2,208,208,1204,1272,1099,0.8877221324717286,0.7981118373275236,0.8764960650653808,0.38944494995450407,0.22615907111925537,0.010790473194438044,0.000999000999000999,53.00534609576544,0.34123539412762577,0.01651046439946152,0.000999000999000999,32.419480033233484,0.000999000999000999,0.000999000999000999
esm2_top28_bilstm_attn,validation,1,flexibility_supporting,1,3,208,208,1204,1250,1071,0.8728606356968215,0.7744034707158352,0.8644190736960422,0.4631185807656396,0.22946983871756035,0.010624294899199648,0.000999000999000999,51.291275060458446,0.3442156624824222,0.015657546344627862,0.000999000999000999,33.22381424035209,0.000999000999000999,0.000999000999000999
esm2_top28_bilstm_attn,validation,1,flexibility_supporting,2,3,208,208,1272,1250,1122,0.8897700237906423,0.8014285714285714,0.8830220034705695,0.47237076648841353,0.22514497661543936,0.010261235538356036,0.000999000999000999,56.16122860244362,0.33971636176032427,0.015883233027454348,0.000999000999000999,34.20623753181328,0.000999000999000999,0.000999000999000999
esm2_top28_bilstm_attn,validation,-1,rigidity_supporting,1,2,208,208,1101,1160,1016,0.8987173816895179,0.8160642570281125,0.8921257942435334,0.38188976377952755,0.2694636106666094,0.011649944619969144,0.000999000999000999,46.91873345256733,0.398443015730532,0.01683379083610604,0.000999000999000999,29.326892755143632,0.000999000999000999,0.000999000999000999
esm2_top28_bilstm_attn,validation,-1,rigidity_supporting,1,3,208,208,1101,1135,994,0.889087656529517,0.8003220611916264,0.8769497039944526,0.4517102615694165,0.26567594530994804,0.011275692801414945,0.000999000999000999,47.41581074420435,0.39336170238718626,0.017042233572113954,0.000999000999000999,28.375858103397714,0.000999000999000999,0.000999000999000999
esm2_top28_bilstm_attn,validation,-1,rigidity_supporting,2,3,208,208,1160,1135,1034,0.9010893246187364,0.8199841395717684,0.8970004390855315,0.5009671179883946,0.27763297605395426,0.011933240075963787,0.000999000999000999,45.44877669981941,0.4074721456322998,0.017447680994348427,0.000999000999000999,28.056925938283577,0.000999000999000999,0.000999000999000999
esm2_top28_bilstm_attn,test,1,flexibility_supporting,1,2,208,207,1182,1271,1092,0.8903383611903791,0.8023512123438648,0.874001082741523,0.4432234432234432,0.22658972606773214,0.010529633904724908,0.000999000999000999,54.68010488168769,0.3417332185511775,0.016855998734062533,0.000999000999000999,31.577355491534348,0.000999000999000999,0.000999000999000999
esm2_top28_bilstm_attn,test,1,flexibility_supporting,1,3,208,206,1182,1236,1070,0.8850289495450786,0.7937685459940653,0.866660786449073,0.5336448598130841,0.22991870447480386,0.010394167534258968,0.000999000999000999,54.24675325472902,0.3489772059906111,0.01599535742020246,0.000999000999000999,32.3646147353117,0.000999000999000999,0.000999000999000999
esm2_top28_bilstm_attn,test,1,flexibility_supporting,2,3,208,207,1271,1236,1111,0.8863183087355405,0.7958452722063037,0.874859064924409,0.5202520252025202,0.22855636286875244,0.0100220336065813,0.000999000999000999,56.604171529121814,0.34969073403059076,0.015661698845509275,0.000999000999000999,33.53201565642422,0.000999000999000999,0.000999000999000999
esm2_top28_bilstm_attn,test,-1,rigidity_supporting,1,2,208,205,1102,1165,1029,0.9078076753418615,0.8311793214862682,0.8933779680374994,0.423712342079689,0.2754761938976397,0.011827120954755624,0.000999000999000999,46.98549458608378,0.39702316085983747,0.017683336986717955,0.000999000999000999,28.069069064875965,0.000999000999000999,0.000999000999000999
esm2_top28_bilstm_attn,test,-1,rigidity_supporting,1,3,208,206,1102,1134,1005,0.8989266547406082,0.8164094232331438,0.8695899607414683,0.47761194029850745,0.27152705018225426,0.011659547794930678,0.000999000999000999,46.732719195833035,0.3903346545650221,0.017183775823024675,0.000999000999000999,27.889988272210136,0.000999000999000999,0.000999000999000999
esm2_top28_bilstm_attn,test,-1,rigidity_supporting,2,3,208,205,1165,1134,1041,0.9056111352762071,0.8275039745627981,0.879591580870243,0.5273775216138329,0.28342968565241305,0.012431530369229163,0.000999000999000999,43.765672668675734,0.4060132004864364,0.017856551081263113,0.000999000999000999,26.521268201715202,0.000999000999000999,0.000999000999000999
esm3_frozen_bilstm_attn,train,1,flexibility_supporting,1,2,967,966,6196,5917,4815,0.7950136217287213,0.6597697999451905,0.778311518193327,0.9347871235721703,0.2197299991453638,0.004426866990529491,0.000999000999000999,99.40208317557654,0.32644196377189466,0.007141099889658076,0.000999000999000999,63.27730481348418,0.000999000999000999,0.000999000999000999
esm3_frozen_bilstm_attn,train,1,flexibility_supporting,1,3,967,966,6196,6067,4884,0.7965424447525076,0.6618783032931291,0.7859263638073813,0.9531122031122031,0.22320552706732216,0.0041983179161727245,0.000999000999000999,104.48774604132656,0.33502783470009784,0.006998759922036399,0.000999000999000999,64.42548881946611,0.000999000999000999,0.000999000999000999
esm3_frozen_bilstm_attn,train,1,flexibility_supporting,2,3,967,967,5917,6067,4793,0.7998998664886515,0.6665276039493812,0.7848518708880358,0.9518047152096808,0.22300837503736345,0.004752585127780954,0.000999000999000999,93.32168009352475,0.33136202721286917,0.007338912347338859,0.000999000999000999,61.792513960138145,0.000999000999000999,0.000999000999000999
esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,1,2,967,953,5682,5599,4690,0.8314865703395089,0.7115763920497649,0.7932332101536255,1.0667377398720683,0.2843474687786935,0.004968966429448581,0.000999000999000999,85.979434423042,0.40123893239730946,0.007445009528570201,0.000999000999000999,52.65195111598436,0.000999000999000999,0.000999000999000999
esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,1,3,967,958,5682,5705,4700,0.8255027663124616,0.7028562883206221,0.7947643252924588,1.0453191489361702,0.2858068164213608,0.004886310981695818,0.000999000999000999,85.35057908952865,0.407180963463343,0.007564617755474887,0.000999000999000999,51.23634456593694,0.000999000999000999,0.000999000999000999
esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,2,3,967,960,5599,5705,4701,0.8317409766454352,0.7119491140390731,0.793163872485117,1.0987024037438842,0.2789998061353662,0.0049792058710551885,0.000999000999000999,86.9514776282903,0.39679503020791324,0.007654117282120997,0.000999000999000999,51.78504949265265,0.000999000999000999,0.000999000999000999
esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,1,2,208,208,1320,1280,995,0.7653846153846153,0.6199376947040498,0.7676863649711174,1.0381909547738692,0.22172947787144465,0.009673263199095805,0.000999000999000999,41.165861885142036,0.33710725750248377,0.014983342261126083,0.000999000999000999,28.737186934971156,0.000999000999000999,0.000999000999000999
esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,1,3,208,208,1320,1270,999,0.7714285714285715,0.627906976744186,0.758357569595499,1.0640640640640642,0.22156596293255754,0.009372538324611896,0.000999000999000999,43.354425422256625,0.3390722622903552,0.013947236091807041,0.000999000999000999,30.06225065276142,0.000999000999000999,0.000999000999000999
esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,2,3,208,208,1280,1270,985,0.7725490196078432,0.6293929712460063,0.7563596869938973,1.1807106598984771,0.22469341028694378,0.009582818704219937,0.000999000999000999,42.23178726952719,0.34000317881325587,0.014785471491451848,0.000999000999000999,28.159839773885874,0.000999000999000999,0.000999000999000999
esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,1,2,208,208,1209,1213,987,0.815028901734104,0.6878048780487804,0.7833944194394443,1.2147922998986829,0.28063919920327873,0.011025377699199417,0.000999000999000999,36.92986217379811,0.4105654101843099,0.01577737792565366,0.000999000999000999,23.63060649316911,0.000999000999000999,0.000999000999000999
esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,1,3,208,207,1209,1204,979,0.8114380439287194,0.6827057182705718,0.7851333626320256,1.149131767109295,0.28125841321173845,0.01033994182554011,0.000999000999000999,38.82490944651554,0.4155057494456456,0.014155242139426977,0.000999000999000999,26.112418957274226,0.000999000999000999,0.000999000999000999
esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,2,3,208,208,1213,1204,1000,0.8274720728175424,0.7057163020465773,0.804695993447107,1.21,0.2769194391073307,0.010313659815564861,0.000999000999000999,41.57562597635107,0.40993877507865917,0.015154094473859049,0.000999000999000999,26.049541861403043,0.000999000999000999,0.000999000999000999
esm3_frozen_bilstm_attn,test,1,flexibility_supporting,1,2,208,208,1321,1248,984,0.7660568314519268,0.6208201892744479,0.7535001017003997,1.0670731707317074,0.22031080861491126,0.009203287864912457,0.000999000999000999,43.518075989612264,0.33004051240622223,0.014582435472951965,0.000999000999000999,29.03901684184551,0.000999000999000999,0.000999000999000999
esm3_frozen_bilstm_attn,test,1,flexibility_supporting,1,3,208,208,1321,1311,1009,0.7667173252279635,0.6216882316697474,0.7620382324943384,1.1020812685827552,0.2246781122698701,0.009451309484031577,0.000999000999000999,42.00583210936476,0.337512598485158,0.015289500121559264,0.000999000999000999,27.76582822420529,0.000999000999000999,0.000999000999000999
