condition,split,sign,q8,feature,feature_group,n_proteins,n_selected_segments,n_control_segments,selected_macro_protein_mean,control_macro_protein_mean,selected_minus_control_macro_mean,ci95_low,ci95_high,inference_eligible,wilcoxon_p_two_sided,wilcoxon_q_bh
esm2_top4_bilstm_attn,validation,1,T,ca_end_to_end_ratio,experimental_geometry,129,326,397,0.9649619659937216,0.9644655905037778,0.0004963754899438927,-0.017029661738551406,0.018022412718439188,True,0.9990463117121547,1.0
esm2_top4_bilstm_attn,validation,1,T,mean_contact_degree,contact_network,148,395,633,3.2486156692406696,4.130496408621409,-0.8818807393807394,-1.1761954748804566,-0.5875660038810221,True,8.989208868581558e-09,5.000047495228817e-08
esm2_top4_bilstm_attn,validation,1,T,max_contact_degree,contact_network,148,395,633,4.183357464607465,4.878865447615447,-0.695507983007983,-1.0665541492928352,-0.32446181672313074,True,0.000146185335929332,0.0004488952456926246
esm2_top4_bilstm_attn,validation,1,T,mean_inverse_distance_weighted_degree,contact_network,148,395,633,0.5069418897047163,0.6608918067058379,-0.15394991700112148,-0.2019586954446244,-0.10594113855761858,True,9.589579654980437e-10,5.971519123798575e-09
esm2_top4_bilstm_attn,validation,1,T,max_inverse_distance_weighted_degree,contact_network,148,395,633,0.6618839541435106,0.7824217653382104,-0.12053781119469982,-0.18082365068060993,-0.06025197170878971,True,5.409355245302367e-05,0.00017874888474434672
esm2_top4_bilstm_attn,validation,1,T,mean_betweenness,contact_network,148,395,633,0.006232375927810377,0.009671682893638671,-0.003439306965828293,-0.006739584383750824,-0.00013902954790576084,True,7.655115122652758e-06,2.907641539904316e-05
esm2_top4_bilstm_attn,validation,1,T,max_betweenness,contact_network,148,395,633,0.00972188600113884,0.013623173193744266,-0.0039012871926054266,-0.008275081751403308,0.0004725073661924549,True,0.0020365599143158733,0.005159065066573274
esm2_top4_bilstm_attn,validation,1,T,mean_closeness,contact_network,148,395,633,0.1606373853342571,0.17932389332361331,-0.018686507989356192,-0.026639895712871377,-0.010733120265841006,True,1.7041165168114545e-06,7.074459802858708e-06
esm2_top4_bilstm_attn,validation,1,T,mean_participation_coefficient,contact_network,148,395,633,0.09074936264858305,0.1285559018898222,-0.03780653924123912,-0.06336928680086183,-0.012243791681616403,True,0.00048537794601000557,0.0013607995150020425
esm2_top4_bilstm_attn,validation,1,T,community_boundary_fraction,contact_network,148,395,633,0.21473107035607034,0.31249596874596874,-0.0977648983898984,-0.15366260953886857,-0.04186718724092823,True,0.000314269956007174,0.0009071171583364966
