condition,split,sign,q8,n_selected_segments,n_proteins,structure_available_fraction,structure_eligible_fraction,fully_resolved_fraction,strain_available_fraction
esm3_top28_bilstm_attn,validation,1,S,212,119,1.0,0.9905660377358491,0.9905660377358491,0.0
esm3_top28_bilstm_attn,validation,1,T,353,151,1.0,0.9915014164305949,0.9915014164305949,0.0
esm3_top4_bilstm_attn,test,1,C,609,187,1.0,0.9425287356321839,0.9195402298850575,1.0
esm3_top4_bilstm_attn,test,1,E,28,27,1.0,1.0,1.0,1.0
esm3_top4_bilstm_attn,test,1,G,33,32,1.0,1.0,1.0,1.0
esm3_top4_bilstm_attn,test,1,H,12,10,1.0,1.0,1.0,1.0
esm3_top4_bilstm_attn,test,1,S,164,97,1.0,0.9817073170731707,0.9817073170731707,1.0
esm3_top4_bilstm_attn,test,1,T,327,151,1.0,0.981651376146789,0.981651376146789,1.0
esm3_top4_bilstm_attn,train,1,C,2835,884,0.9943562610229277,0.9121693121693122,0.8860670194003527,0.0
esm3_top4_bilstm_attn,train,1,E,107,97,0.9906542056074766,0.9813084112149533,0.9813084112149533,0.0
esm3_top4_bilstm_attn,train,1,G,137,117,1.0,0.9854014598540146,0.9854014598540146,0.0
esm3_top4_bilstm_attn,train,1,H,77,73,1.0,0.974025974025974,0.974025974025974,0.0
esm3_top4_bilstm_attn,train,1,S,813,461,0.997539975399754,0.992619926199262,0.992619926199262,0.0
esm3_top4_bilstm_attn,train,1,T,1606,678,0.9943960149439601,0.9744707347447074,0.9744707347447074,0.0
esm3_top4_bilstm_attn,validation,1,C,577,190,1.0,0.9150779896013865,0.8908145580589255,0.0
esm3_top4_bilstm_attn,validation,1,E,30,27,1.0,1.0,1.0,0.0
esm3_top4_bilstm_attn,validation,1,G,29,27,1.0,1.0,1.0,0.0
esm3_top4_bilstm_attn,validation,1,H,9,9,1.0,1.0,1.0,0.0
esm3_top4_bilstm_attn,validation,1,S,201,116,1.0,0.9900497512437811,0.9900497512437811,0.0
esm3_top4_bilstm_attn,validation,1,T,367,156,1.0,0.9918256130790191,0.9918256130790191,0.0
esm2_frozen_bilstm_attn,test,-1,C,15,13,1.0,1.0,1.0,1.0
esm2_frozen_bilstm_attn,test,-1,E,307,129,1.0,1.0,1.0,1.0
esm2_frozen_bilstm_attn,test,-1,G,14,12,1.0,1.0,1.0,1.0
esm2_frozen_bilstm_attn,test,-1,H,850,188,1.0,1.0,0.9858823529411764,1.0
esm2_frozen_bilstm_attn,test,-1,T,2,2,1.0,1.0,1.0,1.0
esm2_frozen_bilstm_attn,train,-1,B,1,1,1.0,1.0,1.0,0.0
esm2_frozen_bilstm_attn,train,-1,C,73,63,0.9863013698630136,0.9863013698630136,0.9726027397260274,0.0
esm2_frozen_bilstm_attn,train,-1,E,1508,519,0.9980106100795756,0.9953580901856764,0.9927055702917772,0.0
esm2_frozen_bilstm_attn,train,-1,G,44,43,1.0,1.0,1.0,0.0
esm2_frozen_bilstm_attn,train,-1,H,3924,862,0.9954128440366973,0.9946483180428135,0.9839449541284404,0.0
esm2_frozen_bilstm_attn,train,-1,S,5,3,1.0,1.0,1.0,0.0
esm2_frozen_bilstm_attn,train,-1,T,26,24,1.0,1.0,1.0,0.0
esm2_frozen_bilstm_attn,validation,-1,C,20,18,1.0,1.0,0.95,0.0
esm2_frozen_bilstm_attn,validation,-1,E,348,132,1.0,1.0,1.0,0.0
esm2_frozen_bilstm_attn,validation,-1,G,6,6,1.0,1.0,1.0,0.0
esm2_frozen_bilstm_attn,validation,-1,H,806,182,1.0,1.0,0.9937965260545906,0.0
esm2_frozen_bilstm_attn,validation,-1,S,1,1,1.0,1.0,1.0,0.0
esm2_frozen_bilstm_attn,validation,-1,T,5,5,1.0,1.0,1.0,0.0
esm2_top28_bilstm_attn,test,-1,C,11,10,1.0,1.0,1.0,1.0
esm2_top28_bilstm_attn,test,-1,E,245,110,1.0,1.0,1.0,1.0
esm2_top28_bilstm_attn,test,-1,G,8,8,1.0,1.0,1.0,1.0
esm2_top28_bilstm_attn,test,-1,H,838,185,1.0,1.0,0.9832935560859188,1.0
esm2_top28_bilstm_attn,test,-1,T,2,2,1.0,1.0,1.0,1.0
esm2_top28_bilstm_attn,train,-1,C,51,44,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.0
esm2_top28_bilstm_attn,train,-1,E,1148,458,0.9965156794425087,0.9947735191637631,0.9921602787456446,0.0
esm2_top28_bilstm_attn,train,-1,G,35,34,1.0,0.9714285714285714,0.9714285714285714,0.0
esm2_top28_bilstm_attn,train,-1,H,3632,851,0.9942180616740088,0.9933920704845814,0.9834801762114538,0.0
