condition,sign,stage,evaluation_split,model_status,n_train_segments,n_segments,n_selected_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_concordance,n_matched_protein_q8_strata,delta_auroc_from_previous_stage,delta_concordance_from_previous_stage
esm2_frozen_bilstm_attn,1,02_add_experimental_geometry,test,ok,16348,3732,1142,196,0.7918662205390546,0.7862871923150738,0.7991491994402498,447,0.02709471063853164,0.016759790256482887
esm2_frozen_bilstm_attn,1,03_add_contact_network,validation,ok,16348,3587,1097,197,0.792299328300593,0.7733597628369853,0.7933673056303854,461,0.003721277796838174,0.00617149698351116
esm2_frozen_bilstm_attn,1,03_add_contact_network,test,ok,16348,3732,1142,196,0.7974138575291831,0.7902506263241867,0.7971332476381567,447,0.005547636990128502,-0.002015951802093019
esm2_frozen_bilstm_attn,1,04_add_inter_domain,validation,ok,16348,3587,1097,197,0.7933618892871526,0.7714963755313455,0.7908335994796261,461,0.0010625609865595464,-0.0025337061507593184
esm2_frozen_bilstm_attn,1,04_add_inter_domain,test,ok,16348,3732,1142,196,0.8036479559762475,0.798077801557874,0.8034037505745862,447,0.006234098447064351,0.006270502936429501
esm2_top28_bilstm_attn,-1,00_q8_only,validation,ok,7878,1669,874,176,0.499999999999999,0.5000000000000003,0.5,251,,
esm2_top28_bilstm_attn,-1,00_q8_only,test,ok,7878,1592,842,165,0.4999999999999999,0.5000000000000001,0.5,239,,
esm2_top28_bilstm_attn,-1,01_base_biophysics,validation,ok,7878,1669,874,176,0.8147256830958649,0.7801639149763795,0.8314447473686987,251,0.3147256830958659,0.33144474736869867
esm2_top28_bilstm_attn,-1,01_base_biophysics,test,ok,7878,1592,842,165,0.8136701161716116,0.7791932639260654,0.833154000758867,239,0.31367011617161167,0.33315400075886703
esm2_top28_bilstm_attn,-1,02_add_experimental_geometry,validation,ok,7878,1669,874,176,0.8171795418352585,0.7900611580715636,0.8296474702462515,251,0.002453858739393633,-0.0017972771224471495
esm2_top28_bilstm_attn,-1,02_add_experimental_geometry,test,ok,7878,1592,842,165,0.8149520736968418,0.7909233327846841,0.8381365234614065,239,0.001281957525230193,0.004982522702539516
esm2_top28_bilstm_attn,-1,03_add_contact_network,validation,ok,7878,1669,874,176,0.8160391598092345,0.7877979224056917,0.8225993280387468,251,-0.0011403820260240671,-0.007048142207504715
esm2_top28_bilstm_attn,-1,03_add_contact_network,test,ok,7878,1592,842,165,0.8153487828517063,0.794032393691105,0.8380683317352651,239,0.0003967091548645607,-6.81917261414755e-05
esm2_top28_bilstm_attn,-1,04_add_inter_domain,validation,ok,7878,1669,874,176,0.8282764654446557,0.8056051966642658,0.8341461272671724,251,0.012237305635421247,0.011546799228425608
esm2_top28_bilstm_attn,-1,04_add_inter_domain,test,ok,7878,1592,842,165,0.8344734582528823,0.8146672666183347,0.8592767993465931,239,0.019124675401176017,0.021208467611327997
esm2_top28_bilstm_attn,1,00_q8_only,validation,ok,15959,3507,1066,205,0.5026391577136337,0.49777678383897334,0.5,457,,
esm2_top28_bilstm_attn,1,00_q8_only,test,ok,15959,3605,1072,201,0.4990789832755058,0.49853456168477145,0.5,450,,
esm2_top28_bilstm_attn,1,01_base_biophysics,validation,ok,15959,3507,1066,205,0.7751909118677158,0.768337183312977,0.7738559533140803,457,0.27255175415408217,0.2738559533140803
esm2_top28_bilstm_attn,1,01_base_biophysics,test,ok,15959,3605,1072,201,0.7690006462248178,0.75067652014937,0.77086292737429,450,0.26992166294931197,0.27086292737428996
esm2_top28_bilstm_attn,1,02_add_experimental_geometry,validation,ok,15959,3507,1066,205,0.8187275060467103,0.8103480451257111,0.8168854228496893,457,0.04353659417899447,0.043029469535609044
esm2_top28_bilstm_attn,1,02_add_experimental_geometry,test,ok,15959,3605,1072,201,0.8040798039971299,0.7981462873975876,0.8015664583782324,450,0.035079157772312075,0.030703531003942408
esm2_top28_bilstm_attn,1,03_add_contact_network,validation,ok,15959,3507,1066,205,0.8220793153385096,0.8108163614634893,0.8110028934159077,457,0.003351809291799346,-0.005882529433781647
esm2_top28_bilstm_attn,1,03_add_contact_network,test,ok,15959,3605,1072,201,0.8125750070740866,0.8024308717559266,0.8120585487004507,450,0.008495203076956725,0.010492090322218317
esm2_top28_bilstm_attn,1,04_add_inter_domain,validation,ok,15959,3507,1066,205,0.8305697820311436,0.8206927334189695,0.8291117479860286,457,0.00849046669263398,0.018108854570120902
esm2_top28_bilstm_attn,1,04_add_inter_domain,test,ok,15959,3605,1072,201,0.8299054865151743,0.8223217637456841,0.8379708998333221,450,0.017330479441087676,0.02591235113287138
esm2_top4_bilstm_attn,-1,00_q8_only,validation,ok,8092,1703,928,184,0.49999999999999917,0.5000000000000001,0.5,258,,
esm2_top4_bilstm_attn,-1,00_q8_only,test,ok,8092,1763,932,175,0.49999999999999895,0.5000000000000006,0.5,265,,
esm2_top4_bilstm_attn,-1,01_base_biophysics,validation,ok,8092,1703,928,184,0.8080120275678087,0.7750561017075179,0.8042974695058028,258,0.3080120275678095,0.30429746950580283
esm2_top4_bilstm_attn,-1,01_base_biophysics,test,ok,8092,1763,932,175,0.8036846678468232,0.7714225388295435,0.8339680499536507,265,0.3036846678468243,0.3339680499536507
