condition,sign,model_cohort,receiver_scope,evaluation_split,specification,n_pairs,n_proteins,auroc,average_precision,macro_protein_auroc,delta_auroc_from_query_biophysics,delta_auroc_from_ordinary_structure,delta_auroc_full_minus_specification
esm3_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,full_without__water_network,9088,203,0.8614414925210767,0.8498026110228243,0.8708759580710967,0.006842700992202522,0.0,0.0007966158429925096
esm3_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,test,query_biophysics,9130,197,0.8718347157863049,0.866670370007718,0.8665916621294657,0.0,-0.0061546099770073415,0.007255430233290339
esm3_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,test,query_plus_ordinary_structure,9130,197,0.8779893257633122,0.8726169090646323,0.8738838698574405,0.0061546099770073415,0.0,0.0011008202562829972
esm3_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,test,query_plus_structure_and_water,9130,197,0.8790901460195952,0.8732250615854845,0.8744987064897947,0.007255430233290339,0.0011008202562829972,0.0
esm3_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,test,full_without_rsa,9130,197,0.8702306428425517,0.8676878445254732,0.8705632552241085,-0.0016040729437531986,-0.00775868292076054,0.008859503177043537
esm3_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,test,full_without__geometry,9130,197,0.8786535617138986,0.8729300263851902,0.8735137530888665,0.006818845927593742,0.0006642359505864004,0.0004365843056965968
esm3_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,test,full_without__contact_network,9130,197,0.878281581901987,0.8725950481397046,0.8727803850807875,0.006446866115682126,0.0002922561386747846,0.0008085641176082126
esm3_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,test,full_without__community_domain,9130,197,0.8779990212371195,0.8718210620166984,0.8753153769088852,0.006164305450814589,9.695473807247446e-06,0.0010911247824757497
esm3_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,test,full_without__putative_polar_contacts,9130,197,0.8785843974675807,0.8726660304452948,0.8746547726655322,0.006749681681275765,0.0005950717042684239,0.0005057485520145732
esm3_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,test,full_without__water_network,9130,197,0.8779893257633122,0.8726169090646323,0.8738838698574405,0.0061546099770073415,0.0,0.0011008202562829972
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,validation,query_biophysics,4634,163,0.9762502223683464,0.9790660038533395,0.9473440099524323,0.0,0.0005098405560745034,-0.00045637901438888573
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,validation,query_plus_ordinary_structure,4634,163,0.9757403818122719,0.9781949416543825,0.9448420401065971,-0.0005098405560745034,0.0,5.3461541685617675e-05
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,validation,query_plus_structure_and_water,4634,163,0.9757938433539575,0.9784600857473857,0.9471381803885879,-0.00045637901438888573,5.3461541685617675e-05,0.0
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,validation,full_without_rsa,4634,163,0.9750047733519362,0.976447581618835,0.9423598050298236,-0.001245449016410105,-0.0007356084603356017,0.0007890700020212194
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,validation,full_without__geometry,4634,163,0.9757975688969318,0.9785262972657098,0.9463967089534632,-0.0004526534714145436,5.718708465995981e-05,-3.725542974342133e-06
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,validation,full_without__contact_network,4634,163,0.9756992145624024,0.9783787993633791,0.9470113161636519,-0.0005510078059439705,-4.116724986946707e-05,9.462879155508475e-05
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,validation,full_without__community_domain,4634,163,0.9762533890798747,0.9790418014802411,0.9466396553169867,3.166711528335142e-06,0.0005130072676028385,-0.00045954572591722087
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,validation,full_without__putative_polar_contacts,4634,163,0.9758052062600298,0.9784261142237686,0.9463653203656047,-0.0004450161083165982,6.482444775790519e-05,-1.1362906072287515e-05
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,validation,full_without__water_network,4634,163,0.9757403818122719,0.9781949416543825,0.9448420401065971,-0.0005098405560745034,0.0,5.3461541685617675e-05
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,test,query_biophysics,4479,168,0.9781971637309472,0.9767298266604018,0.9578738178060222,0.0,0.00015095022869859864,6.241403115292421e-05
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,test,query_plus_ordinary_structure,4479,168,0.9780462135022486,0.9761354433405103,0.9644185212605282,-0.00015095022869859864,0.0,0.00021336425985152285
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,test,query_plus_structure_and_water,4479,168,0.9782595777621002,0.976396761109877,0.9638023628111564,6.241403115292421e-05,0.00021336425985152285,0.0
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,test,full_without_rsa,4479,168,0.9797967974622813,0.9780139538410951,0.9642388195234032,0.0015996337313340936,0.0017505839600326922,-0.0015372197001811694
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,test,full_without__geometry,4479,168,0.9789487243808348,0.9768299617912828,0.9583956283453593,0.0007515606498875727,0.0009025108785861713,-0.0006891466187346484
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,test,full_without__contact_network,4479,168,0.9782521997456379,0.9760621833390644,0.957548824067816,5.503601469070141e-05,0.00020598624338930005,7.378016462222803e-06
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,test,full_without__community_domain,4479,168,0.9771875719107346,0.9766130523922564,0.9639744227538957,-0.001009591820212652,-0.0008586415915140533,0.0010720058513655761
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,test,full_without__putative_polar_contacts,4479,168,0.9784121232376012,0.976530467948008,0.963704638323912,0.00021495950665395558,0.0003659097353525542,-0.00015254547550103137
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,test,full_without__water_network,4479,168,0.9780462135022486,0.9761354433405103,0.9644185212605282,-0.00015095022869859864,0.0,0.00021336425985152285
esm3_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,validation,query_biophysics,7845,202,0.856344031336748,0.845040054023373,0.8647331885007575,0.0,-0.0010502220240991011,0.0020059975172197486
esm3_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,validation,query_plus_ordinary_structure,7845,202,0.8573942533608471,0.8461746938881873,0.8676493873034818,0.0010502220240991011,0.0,0.0009557754931206475
esm3_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,validation,query_plus_structure_and_water,7845,202,0.8583500288539677,0.8468511060450336,0.8674679216589882,0.0020059975172197486,0.0009557754931206475,0.0
esm3_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,validation,full_without_rsa,7845,202,0.8495513562274845,0.8417433170602222,0.8571031045604773,-0.006792675109263513,-0.007842897133362614,0.008798672626483262
esm3_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,validation,full_without__geometry,7845,202,0.8581166750713028,0.8468494530278606,0.866980983897993,0.0017726437345548796,0.0007224217104557784,0.00023335378266486906
esm3_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,validation,full_without__contact_network,7845,202,0.858332803574746,0.8467004926680373,0.8659034978428813,0.001988772237997982,0.000938550213898881,1.722527922176642e-05
esm3_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,validation,full_without__community_domain,7845,202,0.8573868432407289,0.8453536722967853,0.8664302455899295,0.0010428119039809225,-7.4101201181786536e-06,0.0009631856132388261
esm3_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,validation,full_without__putative_polar_contacts,7845,202,0.858244922150188,0.846853331324324,0.867527869839777,0.001900890813440026,0.0008506687893409248,0.00010510670377972264
esm3_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,validation,full_without__water_network,7845,202,0.8573942533608471,0.8461746938881873,0.8676493873034818,0.0010502220240991011,0.0,0.0009557754931206475
esm3_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,test,query_biophysics,7988,193,0.8761137939648583,0.8694835839826005,0.8660964779507926,0.0,-0.0015963565023543458,0.0026939103818161003
esm3_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,test,query_plus_ordinary_structure,7988,193,0.8777101504672127,0.8713179325878995,0.8650178317494981,0.0015963565023543458,0.0,0.0010975538794617545
esm3_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,test,query_plus_structure_and_water,7988,193,0.8788077043466744,0.8717827836667755,0.867035703042979,0.0026939103818161003,0.0010975538794617545,0.0
esm3_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,test,full_without_rsa,7988,193,0.870087280113006,0.8665113979939928,0.8637272869158626,-0.0060265138518523775,-0.007622870354206723,0.008720424233668478
esm3_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,test,full_without__geometry,7988,193,0.8785563278897071,0.8716293008419093,0.8654066115035097,0.002442533924848722,0.0008461774224943763,0.0002513764569673782
esm3_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,test,full_without__contact_network,7988,193,0.8785983389214275,0.8717139240693403,0.8662008836285177,0.0024845449565691347,0.0008881884542147889,0.00020936542524696566
esm3_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,test,full_without__community_domain,7988,193,0.8778797621699062,0.8703857391111035,0.8668515329362095,0.0017659682050478187,0.00016961170269347292,0.0009279421767682816
esm3_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,test,full_without__putative_polar_contacts,7988,193,0.8787887053278516,0.8718215469594962,0.8673784440751784,0.0026749113629932486,0.0010785548606389028,1.899901882285171e-05
esm3_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,test,full_without__water_network,7988,193,0.8777101504672127,0.8713179325878995,0.8650178317494981,0.0015963565023543458,0.0,0.0010975538794617545
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21_no_direct_ca,validation,query_biophysics,4392,162,0.975581606786568,0.9775063184442558,0.9425057272477882,0.0,0.0008792913194267671,-0.0007354412522968534
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21_no_direct_ca,validation,query_plus_ordinary_structure,4392,162,0.9747023154671413,0.9762203133368312,0.9410994836812627,-0.0008792913194267671,0.0,0.00014385006712991366
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21_no_direct_ca,validation,query_plus_structure_and_water,4392,162,0.9748461655342712,0.9765741462892081,0.9421212484214785,-0.0007354412522968534,0.00014385006712991366,0.0
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21_no_direct_ca,validation,full_without_rsa,4392,162,0.9738549908292987,0.9737151522428025,0.9373462110964882,-0.0017266159572693063,-0.0008473246378425392,0.0009911747049724529
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21_no_direct_ca,validation,full_without__geometry,4392,162,0.9748330882554412,0.9766355738075112,0.9416837618053555,-0.000748518531126785,0.00013077278829998207,1.3077278829931593e-05
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21_no_direct_ca,validation,full_without__contact_network,4392,162,0.9748168973387944,0.9765181715487822,0.9412736104220408,-0.000764709447773626,0.00011458187165314104,2.9268195476772618e-05
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21_no_direct_ca,validation,full_without__community_domain,4392,162,0.9753316854578169,0.9772354698334644,0.9423381539598518,-0.0002499213287511237,0.0006293699906756434,-0.0004855199235457297
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21_no_direct_ca,validation,full_without__putative_polar_contacts,4392,162,0.9748061033943634,0.9764834070059932,0.9399283562775932,-0.0007755033922046684,0.00010378792722209873,4.006213990781493e-05
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21_no_direct_ca,validation,full_without__water_network,4392,162,0.9747023154671413,0.9762203133368312,0.9410994836812627,-0.0008792913194267671,0.0,0.00014385006712991366
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21_no_direct_ca,test,query_biophysics,4245,168,0.9773515362911287,0.9741880345833365,0.9557170642282038,0.0,-4.6877429961678097e-05,0.0001903979027351177
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21_no_direct_ca,test,query_plus_ordinary_structure,4245,168,0.9773984137210904,0.9732231494717704,0.9628151715357504,4.6877429961678097e-05,0.0,0.0001435204727734396
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21_no_direct_ca,test,query_plus_structure_and_water,4245,168,0.9775419341938638,0.9735785217459351,0.9606273724805292,0.0001903979027351177,0.0001435204727734396,0.0
esm3_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21_no_direct_ca,test,full_without_rsa,4245,168,0.9790475661504965,0.9757831029244607,0.9581677497970275,0.001696029859367787,0.0016491524294061088,-0.0015056319566326692
