condition,sign,evaluation_split,structural_cohort,model_training_cohort,increment,smaller_stage,expanded_stage,observed_delta_auroc,bootstrap_median_delta_auroc,ci95_low,ci95_high,valid_replicates,total_replicates,valid_replicate_fraction,fraction_delta_le_zero,n_proteins,n_selected_segments,n_control_segments
esm2_frozen_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.0062177176735648265,0.0060601507644765795,-0.0006656789728063908,0.01314262067454992,2000,2000,1.0,0.036,169,599,1052
esm2_frozen_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.0036121788202954086,0.0035697391198947215,-0.0005725062182539652,0.007948235796585063,2000,2000,1.0,0.0455,169,599,1052
esm2_frozen_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,-0.0022599680187159743,-0.0021367390739200354,-0.0062781373835970765,0.00169760912856948,2000,2000,1.0,0.865,169,599,1052
esm2_frozen_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.024670634253178725,0.02436577986361943,0.013711548936729042,0.03597596169614357,2000,2000,1.0,0.0,169,599,1052
esm2_top28_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.013007633419948594,0.012775677705749278,0.006445181813944411,0.01997204213790594,2000,2000,1.0,0.0,159,615,769
esm2_top28_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.006501371305104975,0.006551910908468517,0.0015972779576708396,0.011702774375056098,2000,2000,1.0,0.0065,159,615,769
esm2_top28_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.0013698748226219637,0.0014086551747155007,-0.0021997336604652725,0.004772235577174998,2000,2000,1.0,0.2165,159,615,769
esm2_top28_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.0027622325976744966,0.002736083952190438,0.0005946405934833809,0.004917103833178334,2000,2000,1.0,0.0065,159,615,769
esm2_top28_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.02364111214535003,0.02341815253079582,0.015194481893560175,0.032781603583930057,2000,2000,1.0,0.0,159,615,769
esm2_top4_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.006998768292191038,0.006900382766937552,0.0011135529339939831,0.013393659958861864,2000,2000,1.0,0.0115,159,635,815
esm2_top4_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.003269495581411319,0.0032276043407253874,-0.002601117877623851,0.0091267135154703,2000,2000,1.0,0.1365,159,635,815
esm2_top4_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,8.59278937092034e-05,8.109606884093568e-05,-0.002656340219808076,0.0026979322365256225,2000,2000,1.0,0.4765,159,635,815
esm2_top4_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.0005488465733400893,0.0005649270154273744,-0.0011454976948136047,0.002259903941337098,2000,2000,1.0,0.2515,159,635,815
esm2_top4_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.01090303834065165,0.010925116123579048,0.0032294318928844687,0.019074638775000357,2000,2000,1.0,0.0035,159,635,815
esm3_frozen_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.008140505799170805,0.008024128407311315,6.19293330957727e-05,0.015923455967826666,2000,2000,1.0,0.0245,166,693,812
esm3_frozen_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.00741193084246905,0.0073187736930478975,0.0019531369310026277,0.012967684338720191,2000,2000,1.0,0.005,166,693,812
esm3_frozen_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.0037855151121219954,0.0037375103373111784,-0.0011928995109716344,0.008568833343917004,2000,2000,1.0,0.0645,166,693,812
esm3_frozen_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.001086328629980593,0.0010949230161876322,-0.0009156489959351477,0.003091025028774949,2000,2000,1.0,0.126,166,693,812
esm3_frozen_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.020424280383742444,0.020001595598857558,0.010617854657959428,0.03015078761921035,2000,2000,1.0,0.0,166,693,812
esm3_top28_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.004973173663074815,0.005094861390799232,-0.006500781862242205,0.01758406491734109,2000,2000,1.0,0.1975,166,682,790
esm3_top28_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.005946523357944433,0.006065134572872333,-0.0006499721531885133,0.011778605808308015,2000,2000,1.0,0.034,166,682,790
esm3_top28_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.005433939063459126,0.005335424289980684,0.0006146138270274243,0.010169949049994674,2000,2000,1.0,0.01,166,682,790
esm3_top28_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.0026510721106031143,0.0026220681511883726,-0.00039648487039303505,0.005776813310341436,2000,2000,1.0,0.0465,166,682,790
esm3_top28_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.019004708195081488,0.018950202474342703,0.007716863049491885,0.031298906940179706,2000,2000,1.0,0.0005,166,682,790
esm3_top4_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.011381572973556242,0.011445908461250431,0.0013699809784960412,0.021449538358528395,2000,2000,1.0,0.012,166,654,833
esm3_top4_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.010289534336154316,0.010248320506273667,0.004921383975692237,0.015460072444570936,2000,2000,1.0,0.0,166,654,833
esm3_top4_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.004244668377799243,0.004073656179825025,-0.0007095561248213284,0.009182213004727033,2000,2000,1.0,0.044,166,654,833
esm3_top4_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.0013604542654093166,0.0013798848173365297,-0.0005123300736430469,0.0032351451333994903,2000,2000,1.0,0.079,166,654,833
esm3_top4_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.027276229952919118,0.026999884845508026,0.0172167079511184,0.038323247360757,2000,2000,1.0,0.0,166,654,833
esm2_frozen_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.01833602473455409,0.018039869801028563,0.008970763155931913,0.028639909144911956,2000,2000,1.0,0.0,166,585,939
esm2_frozen_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.0068028923261013174,0.006633077397620646,-0.0009514930348555521,0.01458349655152719,2000,2000,1.0,0.0405,166,585,939
esm2_frozen_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.004142321764704637,0.004131423125543987,-0.00048112749095005625,0.008819901031599325,2000,2000,1.0,0.039,166,585,939
esm2_frozen_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,-0.0019773440700262546,-0.0018668742665955973,-0.006422752591920855,0.002483022113334017,2000,2000,1.0,0.8025,166,585,939
esm2_frozen_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.02730389475533379,0.02706745202008798,0.01429393176417525,0.04123176161445169,2000,2000,1.0,0.0,166,585,939
esm2_top28_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.011037677694005987,0.010833735011578915,0.004572813393540903,0.017595071951509077,2000,2000,1.0,0.0,155,605,675
esm2_top28_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.007076663556240148,0.007101363307821018,0.0016143303453870857,0.012653305736382337,2000,2000,1.0,0.005,155,605,675
esm2_top28_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.0019835254537948765,0.0020153614998739133,-0.0018143928354737381,0.005704468159373976,2000,2000,1.0,0.1595,155,605,675
esm2_top28_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.003005984024201269,0.0029756257530755836,0.0005254100160669767,0.005536872653220846,2000,2000,1.0,0.0065,155,605,675
esm2_top28_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.02310385072824228,0.023011918012149246,0.013780841527420073,0.03189093451434176,2000,2000,1.0,0.0,155,605,675
esm2_top4_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.007864837986147566,0.007821844022763591,0.0009461806810289659,0.01521090496957593,2000,2000,1.0,0.014,156,624,715
esm2_top4_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.0043032862904764935,0.00430055021269965,-0.002240748276763793,0.010692093934030733,2000,2000,1.0,0.093,156,624,715
esm2_top4_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,5.0722383523882364e-05,4.6851562530147994e-05,-0.0029511806475944506,0.002933721280463691,2000,2000,1.0,0.49,156,624,715
esm2_top4_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.0004997025116848519,0.0005110911913048244,-0.0014482159249897375,0.0023537457800606922,2000,2000,1.0,0.297,156,624,715
esm2_top4_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.012718549171832794,0.012678015741111381,0.004101510888040597,0.021991775034855852,2000,2000,1.0,0.0015,156,624,715
esm3_frozen_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.010545328709731239,0.01045988404896403,0.001872850760676764,0.01928050404922186,2000,2000,1.0,0.008,159,670,707
esm3_frozen_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.008578865784640066,0.00856449935559328,0.002579160337309069,0.014613334909406427,2000,2000,1.0,0.0035,159,670,707
esm3_frozen_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.003560715925923108,0.0035012413302022427,-0.0019903495463396118,0.008833025814045646,2000,2000,1.0,0.1045,159,670,707
esm3_frozen_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.0012096907399435919,0.0012280637862827626,-0.0010607809363190168,0.0033986136867096054,2000,2000,1.0,0.1295,159,670,707
esm3_frozen_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.023894601160238005,0.023546512751655313,0.012854191504209692,0.034789422932301126,2000,2000,1.0,0.0,159,670,707
esm3_top28_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.009333718488020226,0.009251614254156881,-0.0016439417546606383,0.021252345423936097,2000,2000,1.0,0.0485,163,670,671
esm3_top28_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.006469540996138168,0.006618722843503788,-0.0010739022833436778,0.013506921272109427,2000,2000,1.0,0.042,163,670,671
esm3_top28_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.00465838023417442,0.004563285438950571,-0.0006432183826238002,0.010007701103101393,2000,2000,1.0,0.0455,163,670,671
esm3_top28_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.002852601237781638,0.0028294368136967396,-0.0006267866379301185,0.006286356661116807,2000,2000,1.0,0.0555,163,670,671
esm3_top28_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.02331424095611445,0.023239948929024534,0.010933076371705843,0.035777042364494395,2000,2000,1.0,0.0,163,670,671
esm3_top4_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.015798550831065183,0.015697606092013372,0.00496388587278315,0.027905057007197306,2000,2000,1.0,0.0015,163,642,714
esm3_top4_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.01090111865197807,0.010818319686090427,0.005193644333731368,0.01669064861885032,2000,2000,1.0,0.0,163,642,714
esm3_top4_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.003554016180221997,0.0034551061708142927,-0.0017760572476124587,0.009039081767938663,2000,2000,1.0,0.1025,163,642,714
esm3_top4_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.0013161607084314353,0.0013241045811935859,-0.0008369369031971385,0.003484845263522477,2000,2000,1.0,0.1095,163,642,714
esm3_top4_bilstm_attn,-1,test,fully_resolved_geometry,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.031569846371696686,0.03128031841915313,0.01922499890700671,0.04539421390562923,2000,2000,1.0,0.0,163,642,714
