condition,sign,evaluation_split,feature,feature_type,n_pairs,n_proteins,baseline_auroc,single_feature_auroc,delta_auroc_single_from_baseline,full_query_auroc,without_feature_auroc,delta_auroc_full_minus_without,baseline_macro_protein_auroc,single_feature_macro_protein_auroc,delta_macro_auroc_single_from_baseline,full_query_macro_protein_auroc,without_feature_macro_protein_auroc,delta_macro_auroc_full_minus_without,baseline_average_precision,single_feature_average_precision,full_query_average_precision,without_feature_average_precision
esm3_frozen_bilstm_attn,1,validation,neq,numeric,9614,201,0.5191164301986608,0.756696471848882,0.23758004165022117,0.8700033583303906,0.8402469065276249,0.02975645180276565,0.5412366799004147,0.7765738420155892,0.23533716211517453,0.8644058341342242,0.8330758719966614,0.031329962137562783,0.5155403896386228,0.7274503683965499,0.868241386291823,0.8495692320556256
esm3_frozen_bilstm_attn,1,validation,rsa,numeric,9614,201,0.5191164301986608,0.671551392841563,0.15243496264290213,0.8700033583303906,0.8463531388271464,0.023650219503244196,0.5412366799004147,0.6619668878764494,0.12073020797603473,0.8644058341342242,0.8341912620912084,0.030214572043015808,0.5155403896386228,0.6234789151226466,0.868241386291823,0.8550929177426927
esm3_frozen_bilstm_attn,1,validation,disorder,numeric,9614,201,0.5191164301986608,0.49412136382835814,-0.024995066370302688,0.8700033583303906,0.8525469214150688,0.017456436915321727,0.5412366799004147,0.5170960517697493,-0.02414062813066542,0.8644058341342242,0.8502129216201159,0.014192912514108369,0.5155403896386228,0.4847012377683313,0.868241386291823,0.8555948828619584
esm3_frozen_bilstm_attn,1,validation,torsion_change_from_previous,numeric,9614,201,0.5191164301986608,0.5863275705076272,0.06721114030896636,0.8700033583303906,0.8684380993927309,0.001565258937659686,0.5412366799004147,0.620742983597185,0.07950630369677036,0.8644058341342242,0.8586174917025637,0.005788342431660487,0.5155403896386228,0.586831345462565,0.868241386291823,0.8663986723175521
esm3_frozen_bilstm_attn,1,validation,query_amino_acid_class,categorical,9614,201,0.5191164301986608,0.5899379271484659,0.07082149694980511,0.8700033583303906,0.8664209372857766,0.003582421044613926,0.5412366799004147,0.5924405210566365,0.051203841156221785,0.8644058341342242,0.8594004516802355,0.005005382453988738,0.5155403896386228,0.5814659245880713,0.868241386291823,0.8665221872696094
esm3_frozen_bilstm_attn,1,validation,normalized_query_position,numeric,9614,201,0.5191164301986608,0.5188688831647243,-0.00024754703393647937,0.8700033583303906,0.8699663993851139,3.69589452766661e-05,0.5412366799004147,0.5326274993767548,-0.008609180523659887,0.8644058341342242,0.8641766839908528,0.00022915014337143713,0.5155403896386228,0.5118982951434173,0.868241386291823,0.8682327049103359
esm3_frozen_bilstm_attn,1,validation,query_in_any_band,numeric,9614,201,0.5191164301986608,0.7733863135918901,0.2542698833932293,0.8700033583303906,0.8063760239445494,0.06362733438584112,0.5412366799004147,0.7609951074239302,0.2197584275235155,0.8644058341342242,0.8144457676170765,0.04996006651714768,0.5155403896386228,0.7892791915089278,0.868241386291823,0.7823693498682186
esm3_frozen_bilstm_attn,1,test,neq,numeric,9926,205,0.5134211575151049,0.7675162972300362,0.25409513971493136,0.8652133037217272,0.8314985632324488,0.03371474048927847,0.539083485228051,0.7928014625156493,0.25371797728759826,0.8581925369648621,0.8159892417566348,0.0422032952082273,0.505931347510487,0.7385566884317877,0.8566672056216015,0.8372818125918019
esm3_frozen_bilstm_attn,1,test,rsa,numeric,9926,205,0.5134211575151049,0.6582740771682962,0.14485291965319136,0.8652133037217272,0.8466368019952473,0.018576501726479955,0.539083485228051,0.6472795890912377,0.10819610386318668,0.8581925369648621,0.8401606090942306,0.01803192787063146,0.505931347510487,0.6047631751132743,0.8566672056216015,0.8458517384063519
esm3_frozen_bilstm_attn,1,test,disorder,numeric,9926,205,0.5134211575151049,0.502715261086357,-0.010705896428747863,0.8652133037217272,0.8494200049993235,0.01579329872240376,0.539083485228051,0.5206700006256108,-0.0184134846024403,0.8581925369648621,0.8424538004490038,0.01573873651585833,0.505931347510487,0.4910102079189239,0.8566672056216015,0.8462893212619689
esm3_frozen_bilstm_attn,1,test,torsion_change_from_previous,numeric,9926,205,0.5134211575151049,0.5892498794117232,0.07582872189661838,0.8652133037217272,0.8644252018354022,0.0007881018863250544,0.539083485228051,0.6186504593872862,0.0795669741592352,0.8581925369648621,0.8572800014076253,0.0009125355572368044,0.505931347510487,0.5841964867201653,0.8566672056216015,0.8549942960115332
esm3_frozen_bilstm_attn,1,test,query_amino_acid_class,categorical,9926,205,0.5134211575151049,0.6021566311494387,0.08873547363433387,0.8652133037217272,0.8634151062794693,0.0017981974422579539,0.539083485228051,0.6227508604689003,0.08366737524084922,0.8581925369648621,0.8561288378610853,0.002063699103776795,0.505931347510487,0.5973781560221991,0.8566672056216015,0.8551093779394834
esm3_frozen_bilstm_attn,1,test,normalized_query_position,numeric,9926,205,0.5134211575151049,0.5161800419002902,0.002758884385185345,0.8652133037217272,0.865126828499294,8.647522243321326e-05,0.539083485228051,0.5354499085498866,-0.0036335766781644407,0.8581925369648621,0.8580110344019178,0.00018150256294424683,0.505931347510487,0.5054588217695253,0.8566672056216015,0.8566536997834634
esm3_frozen_bilstm_attn,1,test,query_in_any_band,numeric,9926,205,0.5134211575151049,0.7628304160396029,0.24940925852449802,0.8652133037217272,0.802642593480426,0.06257071024130123,0.539083485228051,0.7464843061309683,0.20740082090291723,0.8581925369648621,0.8228231149195756,0.03536942204528648,0.505931347510487,0.7732853301453722,0.8566672056216015,0.7813441163899475
