match_scheme,condition,split,sign,label,q3,metric,metric_kind,metric_description,n_proteins,n_matched_apices,case_macro_protein_mean,matched_control_macro_protein_mean,case_minus_control_macro_mean,case_minus_control_ci95_low,case_minus_control_ci95_high,sign_flip_z,p_upper,p_lower,p_two_sided,p_upper_q_bh,p_lower_q_bh,p_two_sided_q_bh
q3_neq_rsa_position,esm2_top4_bilstm_attn,validation,1,flexibility_supporting,C,neq,continuous,Neq,174,558,1.4963082858659007,1.4793216179102577,0.016986667955643027,0.004482654362916146,0.02903803301882944,2.6366778854161224,0.0033996600339966003,0.9967003299670033,0.0071992800719928,0.023025918267068998,1.0,0.019964288806955197
q3_neq_rsa_position,esm2_top4_bilstm_attn,validation,1,flexibility_supporting,C,rsa,continuous,relative solvent accessibility,174,558,0.5169848013653165,0.4977754645968166,0.019209336768500118,0.012488616051030965,0.026058164169955943,5.213520388283286,9.999000099990002e-05,1.0,9.999000099990002e-05,0.0008505998715196974,1.0,0.0003674188794138338
q3_neq_rsa_position,esm2_top4_bilstm_attn,validation,1,flexibility_supporting,C,neq_peak,binary,Neq peak,174,558,0.16859811644294403,0.11684930544125947,0.051748811001684575,0.004345463218667236,0.10164061506554319,2.0090527550917376,0.020597940205979402,0.9795020497950205,0.040695930406959305,0.11556246972705327,1.0,0.09401412799896482
q3_neq_rsa_position,esm2_top4_bilstm_attn,validation,1,flexibility_supporting,C,distance_to_neq_peak,distance,distance to Neq peak,174,558,2.6380303923407373,3.4347832467660058,-0.7967528544252682,-1.315326904703162,-0.2981675133348984,-3.0552018361586932,0.9992000799920008,0.0008999100089991,0.0015998400159984002,1.0,0.004748542670958608,0.0049520281616698145
q3_neq_rsa_position,esm2_top4_bilstm_attn,validation,1,flexibility_supporting,C,q3_boundary_within2,binary,within two residues of Q3 boundary,174,558,0.6319722423170699,0.7172371126106758,-0.08526487029360592,-0.15262492112905188,-0.016625995950888227,-2.3719971461370797,0.9915008499150085,0.008599140085991401,0.017198280171982803,1.0,0.03739214699974204,0.043481453381379424
q3_neq_rsa_position,esm2_top4_bilstm_attn,validation,1,flexibility_supporting,C,q8_boundary_within2,binary,within two residues of Q8 boundary,174,558,0.901491308818895,0.8191597360706556,0.0823315727482394,0.03683366575554074,0.12864242403376727,3.5453120814170327,0.00019998000199980003,0.9999000099990001,0.00029997000299970003,0.0016407938066639249,1.0,0.0010341783309524703
q3_neq_rsa_position,esm2_top4_bilstm_attn,validation,1,flexibility_supporting,C,distance_to_q3_boundary,distance,distance to Q3 boundary,174,558,2.40858490168835,2.5685209604677994,-0.15993605877944958,-0.5944593032486352,0.27378207511145725,-0.728037018525341,0.7681231876812319,0.23197680231976803,0.46385361463853614,1.0,0.6509238937727239,0.7396645024953451
q3_neq_rsa_position,esm2_top4_bilstm_attn,validation,1,flexibility_supporting,C,distance_to_q8_boundary,distance,distance to Q8 boundary,174,558,0.7825918972470697,1.5717270253692666,-0.7891351281221972,-1.1114162243540837,-0.5019667710429209,-4.600346974254972,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.0006190035202087268,0.0003674188794138338
q3_neq_rsa_position,esm2_top4_bilstm_attn,validation,1,flexibility_supporting,C,torsion_change_from_previous,continuous,backbone torsion change,174,558,102.79718592388315,75.94334045421752,26.853845469665607,17.400981049392783,36.13560858975384,5.05689053833322,9.999000099990002e-05,1.0,9.999000099990002e-05,0.0008505998715196974,1.0,0.0003674188794138338
q3_neq_rsa_position,esm2_top4_bilstm_attn,validation,1,flexibility_supporting,C,disorder,continuous,disorder score,174,558,0.07252116401065573,0.12150310645856215,-0.048981942447906414,-0.07152806633633994,-0.029180561435880627,-4.349619946712457,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.0006190035202087268,0.0003674188794138338
