match_scheme,condition,split,sign,label,q3,covariate,matched_on_covariate,n_matched_cases,case_mean,matched_control_mean,paired_mean_difference,paired_mean_absolute_difference,standardized_mean_difference,mean_absolute_difference_over_caliper,caliper
q3_neq_rsa_position,esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,E,neq,True,976,1.006988387978142,1.0164613387978143,-0.009472950819672114,0.016327413479052807,-0.1886727220759973,0.06530965391621123,0.25
q3_neq_rsa_position,esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,E,rsa,True,976,0.0953318435936349,0.11305564957626892,-0.017723805982633997,0.041230552199580855,-0.17302058963616443,0.2748703479972057,0.15
q3_neq_rsa_position,esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,E,normalized_position,True,976,0.5048360675131448,0.519981214446914,-0.015145146933769182,0.1139360015741986,-0.05284612117940497,0.4557440062967944,0.25
q3_neq_rsa,esm3_frozen_bilstm_attn,train,1,flexibility_supporting,H,neq,True,119,1.324899159663866,1.287254014939309,0.03764514472455648,0.06808473389355746,0.07608655513836118,0.27233893557422983,0.25
q3_neq_rsa,esm3_frozen_bilstm_attn,train,1,flexibility_supporting,H,rsa,True,119,0.3596190632469639,0.35590855520510795,0.0037105080418560004,0.03890788567771598,0.017214867105495628,0.2593859045181065,0.15
q3_neq_rsa,esm3_frozen_bilstm_attn,train,1,flexibility_supporting,H,normalized_position,False,119,0.5013724733251081,0.5250228173713475,-0.02365034404623938,0.2748017150187039,-0.09416218358372373,1.0992068600748155,0.25
q3_only,esm3_frozen_bilstm_attn,train,1,flexibility_supporting,E,neq,False,99,1.6602289562289558,1.1373751315422025,0.5228538246867537,0.6064894448435167,0.9719401609498945,2.425957779374067,0.25
q3_only,esm3_frozen_bilstm_attn,train,1,flexibility_supporting,E,rsa,False,99,0.3648014426645305,0.19702409268274795,0.1677773499817826,0.21483968004583534,1.1714593339183317,1.4322645336389024,0.15
q3_only,esm3_frozen_bilstm_attn,train,1,flexibility_supporting,E,normalized_position,False,99,0.48066613544680953,0.5406095192351043,-0.05994338378829458,0.26541117869076314,-0.2553944624957509,1.0616447147630526,0.25
q3_only,esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,C,neq,False,128,1.1090182291666668,1.5706776993560434,-0.46165947018937686,0.5616505491287065,-1.1642319947068085,2.246602196514826,0.25
