match_scheme,condition,split,sign,label,q3,n_proteins_with_cases,n_cases,n_matched_cases,match_rate,n_controls_selected,mean_controls_per_matched_case
q3_only,esm3_top28_bilstm_attn,test,1,flexibility_supporting,H,34,40,40,1.0,1837,45.925
q3_neq,esm3_top28_bilstm_attn,test,1,flexibility_supporting,H,34,40,27,0.675,113,4.185185185185185
q3_neq_rsa,esm3_top28_bilstm_attn,test,1,flexibility_supporting,H,34,40,26,0.65,92,3.5384615384615383
q3_neq_rsa_position,esm3_top28_bilstm_attn,test,1,flexibility_supporting,H,34,40,20,0.5,63,3.15
q3_only,esm3_top28_bilstm_attn,test,-1,rigidity_supporting,C,24,32,32,1.0,1123,35.09375
q3_neq,esm3_top28_bilstm_attn,test,-1,rigidity_supporting,C,24,32,32,1.0,158,4.9375
q3_neq_rsa,esm3_top28_bilstm_attn,test,-1,rigidity_supporting,C,24,32,30,0.9375,124,4.133333333333334
q3_neq_rsa_position,esm3_top28_bilstm_attn,test,-1,rigidity_supporting,C,24,32,23,0.71875,64,2.782608695652174
q3_only,esm3_top28_bilstm_attn,test,1,flexibility_supporting,E,25,26,25,0.9615384615384616,648,25.92
q3_neq,esm3_top28_bilstm_attn,test,1,flexibility_supporting,E,25,26,19,0.7307692307692307,72,3.789473684210526
q3_neq_rsa,esm3_top28_bilstm_attn,test,1,flexibility_supporting,E,25,26,17,0.6538461538461539,56,3.2941176470588234
q3_neq_rsa_position,esm3_top28_bilstm_attn,test,1,flexibility_supporting,E,25,26,13,0.5,34,2.6153846153846154
