condition,split,sign,label,metric,metric_kind,directional_hypothesis,n_proteins,observed_macro_protein_mean,null_mean,delta,ratio_observed_to_null,null_std,null_z,p_upper,p_lower,p_two_sided,p_upper_q_bh,p_lower_q_bh,p_two_sided_q_bh
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,q3_is_E,binary,two-sided,952,0.2438236509698853,0.1743833735679006,0.06944027740198472,1.3982046910851074,0.005738024899615949,12.10177345285351,0.000999000999000999,1.0,0.000999000999000999,0.0022419139302256186,1.0,0.0010981385027186554
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,q3_is_C,binary,two-sided,952,0.03439074545595443,0.4374073566020081,-0.40301661114605364,0.07862406732963609,0.00848412871521072,-47.502415943255045,1.0,0.000999000999000999,0.000999000999000999,1.0,0.002147106624718565,0.0010981385027186554
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,q8_is_T,binary,upper,952,0.005035122440584625,0.08472239574475027,-0.07968727330416564,0.059430831674712414,0.0045478075177460405,-17.52212972805406,1.0,0.000999000999000999,0.000999000999000999,1.0,0.002147106624718565,0.0010981385027186554
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,q8_is_S,binary,upper,952,0.0005021895121685038,0.028239035105782406,-0.027736845593613904,0.01778352235787519,0.00249044920805469,-11.137286198773506,1.0,0.000999000999000999,0.000999000999000999,1.0,0.002147106624718565,0.0010981385027186554
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,q8_turn_or_bend_TS,binary,upper,952,0.005537311952753129,0.11296143085053273,-0.1074241188977796,0.049019491972263865,0.005090270484158734,-21.103813487336424,1.0,0.000999000999000999,0.000999000999000999,1.0,0.002147106624718565,0.0010981385027186554
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,q8_loop_turn_bend_CTS,binary,upper,952,0.032132342953076855,0.4120525997801535,-0.37992025682707664,0.07798116786599754,0.008266970308318416,-45.95640756623888,1.0,0.000999000999000999,0.000999000999000999,1.0,0.002147106624718565,0.0010981385027186554
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,structured_linker_loop,binary,upper,952,0.01440493509696849,0.2763589680119626,-0.2619540329149941,0.05212400089851599,0.007130229973935017,-36.73851108205244,1.0,0.000999000999000999,0.000999000999000999,1.0,0.002147106624718565,0.0010981385027186554
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,q3_boundary_within2,binary,upper,952,0.2495718407714926,0.6359573974764171,-0.38638555670492447,0.39243484195927975,0.007983584325459989,-48.39750429800366,1.0,0.000999000999000999,0.000999000999000999,1.0,0.002147106624718565,0.0010981385027186554
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,q8_boundary_within2,binary,upper,952,0.23314347696589538,0.6862134945351713,-0.45307001756927595,0.3397535589471649,0.007753001122243299,-58.43801779796235,1.0,0.000999000999000999,0.000999000999000999,1.0,0.002147106624718565,0.0010981385027186554
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,distance_to_q3_boundary,distance,lower,952,4.275648721789052,2.816149946595456,1.459498775193596,1.5182603209598395,0.06496099350474141,22.467309941727866,0.000999000999000999,1.0,0.000999000999000999,0.0022419139302256186,1.0,0.0010981385027186554
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,distance_to_q8_boundary,distance,lower,952,4.379700846477754,2.425998741879401,1.9537021045983534,1.8053186800438472,0.06398593985459794,30.53330323877337,0.000999000999000999,1.0,0.000999000999000999,0.0022419139302256186,1.0,0.0010981385027186554
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,rsa,continuous,two-sided,952,0.18583737999549693,0.3486208054434849,-0.16278342544798796,0.5330645133444943,0.0036131172151241966,-45.05345820683331,1.0,0.000999000999000999,0.000999000999000999,1.0,0.002147106624718565,0.0010981385027186554
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,exposed_rsa_ge025,binary,two-sided,952,0.3093807606846179,0.6169486477285447,-0.30756788704392685,0.5014692257186766,0.007863660195442893,-39.11256074139203,1.0,0.000999000999000999,0.000999000999000999,1.0,0.002147106624718565,0.0010981385027186554
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,disorder,continuous,upper,952,0.01711494737409019,0.06389769062149216,-0.04678274324740196,0.2678492322277064,0.002446557118519245,-19.121868397545022,1.0,0.000999000999000999,0.000999000999000999,1.0,0.002147106624718565,0.0010981385027186554
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,disorder_ge05,binary,upper,952,0.0025301388497982924,0.032479948529502034,-0.029949809679703742,0.07789848704655823,0.003395996716300219,-8.819151542741382,1.0,0.000999000999000999,0.000999000999000999,1.0,0.002147106624718565,0.0010981385027186554
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,interface,binary,two-sided,952,0.0,0.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,torsion_change_from_previous,continuous,upper,952,8.39942947000928,45.434979561558684,-37.0355500915494,0.18486702428531107,1.0584619519697551,-34.98996824838884,1.0,0.000999000999000999,0.000999000999000999,1.0,0.002147106624718565,0.0010981385027186554
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,neq,continuous,flexibility-supporting higher,963,2.025236685412789,1.3660572360961964,0.6591794493165923,1.4825416036009882,0.011830505487279154,55.71862081678423,0.000999000999000999,1.0,0.000999000999000999,0.0022419139302256186,1.0,0.0010981385027186554
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,flexible_neq_gt1,binary,flexibility-supporting higher,963,0.9585663005650141,0.5839060202639849,0.37466028030102927,1.64164483204274,0.007564811425719144,49.526717748342605,0.000999000999000999,1.0,0.000999000999000999,0.0022419139302256186,1.0,0.0010981385027186554
