condition,split,sign,label,target,unit_type,detection_method,n_proteins_total,n_proteins_with_target,n_proteins_with_prediction,total_target_units,total_detected_target_units,micro_coverage,macro_coverage,macro_coverage_ci95_low,macro_coverage_ci95_high,macro_precision,macro_precision_ci95_low,macro_precision_ci95_high,macro_recall,macro_recall_ci95_low,macro_recall_ci95_high,macro_specificity,macro_specificity_ci95_low,macro_specificity_ci95_high,macro_f1,macro_f1_ci95_low,macro_f1_ci95_high,macro_balanced_accuracy,macro_balanced_accuracy_ci95_low,macro_balanced_accuracy_ci95_high,macro_mcc,macro_mcc_ci95_low,macro_mcc_ci95_high,macro_target_prevalence,macro_target_prevalence_ci95_low,macro_target_prevalence_ci95_high,micro_tp,micro_fp,micro_fn,micro_tn,micro_precision,micro_recall,micro_specificity,micro_f1,micro_balanced_accuracy,micro_mcc
esm2_top4_bilstm_attn,validation,1,flexibility_supporting,neq_peak,residue,apex_within2,208,208,208,3497,1013,0.2896768658850443,0.29945269610156067,0.2844988442937332,0.31347959584206136,0.16273000370356142,0.15633780722482646,0.16894539294839775,0.29945269610156067,0.28481759038669285,0.3135294814052863,0.8796938745820283,0.8745151613071779,0.8846482966366461,0.20613165508954043,0.19829308750308502,0.21412965296777803,0.5895732853417945,0.582684390620148,0.5967301398989318,0.13484225328912333,0.1253287844101072,0.14422056912839668,0.07262432419660286,0.07054930840002248,0.07454597213194512,1013.0,5167.0,2484.0,38795.0,0.163915857605178,0.2896768658850443,0.8824666757654338,0.2093624057042472,0.5860717708252391,0.1336344558240946
esm2_top4_bilstm_attn,validation,1,flexibility_supporting,neq_peak,residue,apex_within5,208,208,208,3497,1413,0.4040606233914784,0.4165819280703148,0.3998857593649086,0.4346636961903945,0.10331958946717892,0.099951941253117,0.1066139055567626,0.4165819280703148,0.3992574942840222,0.43550486545154204,0.718109604236714,0.7074924117950411,0.7289001461632754,0.162826756433081,0.1578970625475294,0.16744930055095822,0.5673457661535144,0.5605755398495655,0.5746274871738871,0.07573406144337422,0.06866447835804149,0.08298488599537907,0.07262432419660286,0.07070023628898335,0.07463283513960789,1413.0,12158.0,2084.0,31804.0,0.10411907744455089,0.4040606233914784,0.7234429734770939,0.16557300210921022,0.5637517984342861,0.07371910925526791
esm2_top4_bilstm_attn,validation,1,flexibility_supporting,neq_peak,residue,band_interval,208,208,208,3497,1631,0.466399771232485,0.44888238940720926,0.4293962669597515,0.4682081309347352,0.12363042289920192,0.11929102546557113,0.12826856081047083,0.44888238940720926,0.4295559427877639,0.4685725703739378,0.7469763780252932,0.7352995123223316,0.7591668758010733,0.18894232130622468,0.1827654629279506,0.19484396595744974,0.5979293837162513,0.5904803014016025,0.6052712729962644,0.11490313276242158,0.10638519160302673,0.1229947861863502,0.07262432419660286,0.07070685046376818,0.07459277957633775,1631.0,12199.0,1866.0,31763.0,0.11793203181489516,0.466399771232485,0.7225103498475957,0.18826109540024238,0.5944550605400403,0.10861097111296382
esm2_top4_bilstm_attn,validation,1,flexibility_supporting,q8_loop_turn_bend_CTS,segment,apex_any,208,208,0,3587,1142,0.31837189852244213,0.3350724979245579,0.3204410670137663,0.350578046059949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esm2_top4_bilstm_attn,validation,1,flexibility_supporting,q8_loop_turn_bend_CTS,segment,band_interval_any,208,208,0,3587,1636,0.4560914413158628,0.4393337686080201,0.42161947426786234,0.458273372483766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esm2_top4_bilstm_attn,test,-1,rigidity_supporting,q8_loop_turn_bend_CTS,residue,apex_exact,208,208,205,19451,15,0.0007711685774510308,0.0005824509039533814,0.000292096060306497,0.0009186162985333004,0.012213468317447778,0.005794942523601059,0.020213970079984194,0.0005824509039533814,0.0002916922069263563,0.0009424181833684854,0.9593791139978164,0.9574989932172742,0.9611544453043032,0.001106132273539182,0.0005414651092365551,0.001755573407343828,0.4799807824508849,0.4789793588987017,0.4809567801128655,-0.1277287698220044,-0.13282713667501683,-0.1224759034969896,0.4139743765456635,0.39732298121474197,0.4304750258456911,15.0,1126.0,19436.0,26758.0,0.013146362839614373,0.0007711685774510308,0.9596184191651126,0.001456876456876457,0.48019479387128183,-0.12706392285721635
esm2_top4_bilstm_attn,test,-1,rigidity_supporting,q8_loop_turn_bend_CTS,residue,band_interval,208,208,205,19451,4879,0.25083543262557195,0.21222494179230364,0.1920314882477595,0.23447011421084799,0.21446372079175058,0.19465993242994423,0.23426284583291748,0.21222494179230364,0.19211001520487514,0.23324573478035768,0.46551202933012775,0.44510939042768144,0.48796926582856254,0.2047844451599357,0.18583364801649394,0.22381110135615973,0.33886848556121574,0.3285192855065503,0.3486527572588773,-0.32560117797639904,-0.34578593472798724,-0.3059297210629694,0.4139743765456635,0.39766467751252416,0.42980423594934564,4879.0,15581.0,14572.0,12303.0,0.2384652981427175,0.25083543262557195,0.4412207717687563,0.24449399914810455,0.3460281021971641,-0.30583903256003786
esm2_top4_bilstm_attn,test,-1,rigidity_supporting,neq_peak,residue,apex_exact,208,208,205,3498,4,0.0011435105774728416,0.0007472256228887529,7.396449704142012e-05,0.001595778710127185,0.0028990158322635858,0.0002567394094993581,0.006611039794608472,0.0007472256228887529,7.396449704142012e-05,0.0015957627695028227,0.9749396704960709,0.9739186931338464,0.975960003060677,0.0011812295466141621,0.00011446886446886447,0.0025705843013535323,0.4878434480594799,0.48719984419274165,0.48857416541770166,-0.04142969907963019,-0.043253125873286856,-0.03938226923759262,0.07254445246022237,0.07040378324683053,0.07471786690249142,4.0,1137.0,3494.0,42700.0,0.0035056967572304996,0.0011435105774728416,0.9740630061363689,0.0017245095925846087,0.48760325835692087,-0.04228947113952763
esm2_top4_bilstm_attn,test,-1,rigidity_supporting,neq_peak,residue,apex_within1,208,208,205,3498,18,0.005145797598627788,0.003630849009839457,0.001760896599296576,0.005858226859191215,0.004057775771511329,0.001811731290389827,0.006692406046385506,0.003630849009839457,0.0018164818928377,0.0059662490789698,0.9249171524466114,0.9218732999496458,0.9279832416459001,0.003750057131141876,0.0017842136628441706,0.006140506798688694,0.46427400072822544,0.4623971407990864,0.46620067432378104,-0.07228362253449988,-0.07532990227404143,-0.06894552935223698,0.07254445246022237,0.07040169150661962,0.07472890928720752,18.0,3405.0,3480.0,40432.0,0.0052585451358457495,0.005145797598627788,0.9223258890891256,0.005201560468140442,0.4637358433438767,-0.07325593817083768
esm2_top4_bilstm_attn,test,-1,rigidity_supporting,neq_peak,residue,apex_within2,208,208,205,3498,37,0.010577472841623786,0.009404827610642767,0.006009259848653274,0.013327308158334664,0.00608332118601695,0.0038825581778084988,0.008455194976183422,0.009404827610642767,0.005860462656489171,0.013246710397634804,0.8751741724481218,0.8701173335147111,0.8803306659197729,0.007247268438523663,0.004691616850251118,0.010276188779670094,0.4422895000293823,0.43933156580608995,0.4452358738537934,-0.09297608569330393,-0.09676218979546207,-0.08899634126929619,0.07254445246022237,0.07033688676730758,0.07455288566465565,37.0,5668.0,3461.0,38169.0,0.006485539000876424,0.010577472841623786,0.8707028309418984,0.00804085624252961,0.4406401518917611,-0.09539422017495915
