condition,split,metric,metric_kind,directional_hypothesis,n_paired_proteins,flex_minus_rigid_mean,flex_minus_rigid_median,sign_flip_null_mean,sign_flip_null_std,sign_flip_z,p_upper,p_lower,p_two_sided,p_upper_q_bh,p_lower_q_bh,p_two_sided_q_bh
esm2_top4_bilstm_attn,train,distance_to_neq_top10,distance,flexibility-supporting lower,929,-5.053720862218736,-5.2,-0.003040401498415523,0.21835392601720657,-23.13070597284484,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
esm2_top4_bilstm_attn,train,q3_is_H,binary,two-sided,929,-0.7131832009858935,-0.8,0.00010091564034714089,0.025455311154849745,-28.02103310728322,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
esm2_top4_bilstm_attn,train,q3_is_E,binary,two-sided,929,-0.22439732596605746,-0.1111111111111111,1.112423915371435e-05,0.012136806963247497,-18.48990849774258,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
esm2_top4_bilstm_attn,train,q3_is_C,binary,two-sided,929,0.937580526951951,1.0,-0.00037265339510178064,0.03140282814510322,29.868430194027344,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,train,q8_is_T,binary,upper,929,0.2828415288006341,0.2727272727272727,0.00010277388297851085,0.01212336997385796,23.321795468366876,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,train,q8_is_S,binary,upper,929,0.12312889079682722,0.0,1.2824193659712113e-05,0.006835336534183617,18.011705200974713,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,train,q8_turn_or_bend_TS,binary,upper,929,0.4059704195974614,0.4166666666666667,-0.00010051993118742666,0.01602646362291134,25.337526049610357,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,train,q8_loop_turn_bend_CTS,binary,upper,929,0.9166363534771435,1.0,0.00020702443003770763,0.030481573257809057,30.06502719843459,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,train,structured_linker_loop,binary,upper,929,0.7591322250885656,0.8,0.00019970443881013963,0.02598370387593954,29.208019159751657,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,train,q3_boundary_within2,binary,upper,929,0.36018247468819925,0.4,-0.00022130101845552544,0.018348433954058926,19.642209063129798,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
