condition,split,sign,label,metric,metric_description,n_proteins,n_bands,case_macro_protein_mean,control_macro_protein_mean,case_minus_control_macro_mean,ci95_low,ci95_high,inference_eligible,wilcoxon_p_two_sided,wilcoxon_q_bh
esm2_top28_bilstm_attn,test,1,flexibility_supporting,log_abs_influence,log absolute signed influence,206,1161,-4.347354522448015,-6.479579478752471,2.132224956304455,2.055141478367385,2.209308434241525,True,1.5137228887146863e-35,2.4959094958959715e-35
esm2_top28_bilstm_attn,test,1,flexibility_supporting,log_attention_breadth,log attention column mean,206,1161,-4.522355335289644,-5.482427005244441,0.9600716699547985,0.9294603463551486,0.9906829935544484,True,1.5137228887146863e-35,2.4959094958959715e-35
esm2_top28_bilstm_attn,train,-1,rigidity_supporting,attention_breadth,attention column mean B_j,911,4902,0.008345703999637185,0.004852573249277005,0.003493130750360147,0.003257403703799814,0.00372885779692048,True,8.140555816417162e-132,2.83606460700985e-131
esm2_top28_bilstm_attn,train,-1,rigidity_supporting,directional_evidence,sign * intrinsic signed evidence s_j,911,4902,1.323220768715413,0.2304787566562259,1.0927420120591869,1.0695250597562243,1.1159589643621495,True,1.1098055278162543e-150,5.448136227461611e-150
esm2_top28_bilstm_attn,train,-1,rigidity_supporting,directional_influence,sign * I_j,911,4902,0.012336640624135201,0.0009142364230789448,0.011422404201056238,0.010785754018813754,0.012059054383298722,True,2.8940187663532387e-150,1.3644486531498845e-149
esm2_top28_bilstm_attn,train,-1,rigidity_supporting,log_abs_evidence,log absolute intrinsic evidence,911,4902,0.16621371937675147,-0.9195189096130801,1.0857326289898317,1.057610342922856,1.1138549150568073,True,2.2339901925520988e-147,8.465647045460585e-147
esm2_top28_bilstm_attn,train,-1,rigidity_supporting,log_abs_influence,log absolute signed influence,911,4902,-4.907742008232159,-6.520430833349516,1.612688825117356,1.5699795716273763,1.6553980786073355,True,7.179242959755864e-148,2.819484507831394e-147
esm2_top28_bilstm_attn,train,-1,rigidity_supporting,log_attention_breadth,log attention column mean,911,4902,-5.073955727705739,-5.600911923468404,0.5269561957626651,0.5061284383101397,0.5477839532151905,True,3.8133853726820684e-141,1.3503135090152897e-140
esm2_top28_bilstm_attn,train,1,flexibility_supporting,attention_breadth,attention column mean B_j,943,5164,0.014735590851762848,0.0056194756808704595,0.00911611517089234,0.008645760713146135,0.009586469628638544,True,6.571307762144955e-156,4.9101008037601545e-155
esm2_top28_bilstm_attn,train,1,flexibility_supporting,directional_evidence,sign * intrinsic signed evidence s_j,943,5164,1.2361675439855182,0.3608836744270559,0.8752838695584622,0.8582511550188237,0.8923165840981007,True,6.571307762144955e-156,4.9101008037601545e-155
esm2_top28_bilstm_attn,train,1,flexibility_supporting,directional_influence,sign * I_j,943,5164,0.019355066998593823,0.002747158303936905,0.016607908694656878,0.015734942985564382,0.017480874403749375,True,6.571307762144955e-156,4.9101008037601545e-155
esm2_top28_bilstm_attn,train,1,flexibility_supporting,log_abs_evidence,log absolute intrinsic evidence,943,5164,0.18230220080964774,-0.8870786832220136,1.0693808840316614,1.046135836258298,1.0926259318050249,True,6.592264968011319e-156,4.9101008037601545e-155
esm2_top28_bilstm_attn,train,1,flexibility_supporting,log_abs_influence,log absolute signed influence,943,5164,-4.313367245857524,-6.336036613140539,2.022669367283014,1.9877769287964207,2.0575618057696072,True,6.571307762144955e-156,4.9101008037601545e-155
esm2_top28_bilstm_attn,train,1,flexibility_supporting,log_attention_breadth,log attention column mean,943,5164,-4.495669445497172,-5.448957929787048,0.9532884842898759,0.9377681545851075,0.9688088139946442,True,6.571307762144955e-156,4.9101008037601545e-155
esm2_top28_bilstm_attn,validation,-1,rigidity_supporting,attention_breadth,attention column mean B_j,204,1092,0.00731021667511499,0.00429576786443458,0.0030144488106803825,0.002540146746284081,0.003488750875076684,True,9.274062837450666e-31,1.0272808066099199e-30
esm2_top28_bilstm_attn,validation,-1,rigidity_supporting,directional_evidence,sign * intrinsic signed evidence s_j,204,1092,1.2802437578259371,0.24333113719773292,1.036912620628204,0.9910676512066955,1.0827575900497124,True,3.173265877226967e-35,4.7931848215456286e-35
esm2_top28_bilstm_attn,validation,-1,rigidity_supporting,directional_influence,sign * I_j,204,1092,0.010584314025189686,0.000942625199038761,0.009641688826150902,0.008637135803675023,0.01064624184862678,True,3.173265877226967e-35,4.7931848215456286e-35
esm2_top28_bilstm_attn,validation,-1,rigidity_supporting,log_abs_evidence,log absolute intrinsic evidence,204,1092,0.1196051157840463,-1.038579258450853,1.1581843742348994,1.0936804345456894,1.2226883139241094,True,6.068090308929606e-35,8.916377596794523e-35
esm2_top28_bilstm_attn,validation,-1,rigidity_supporting,log_abs_influence,log absolute signed influence,204,1092,-5.020064692794331,-6.682764386629938,1.662699693835608,1.5620871636639357,1.7633122240072803,True,4.236043967537034e-34,5.111650821162007e-34
esm2_top28_bilstm_attn,validation,-1,rigidity_supporting,log_attention_breadth,log attention column mean,204,1092,-5.139669807817927,-5.644185128331069,0.5045153205131413,0.45617293697653233,0.5528577040497503,True,1.8882806367523396e-31,2.1024155543221923e-31
esm2_top28_bilstm_attn,validation,1,flexibility_supporting,attention_breadth,attention column mean B_j,207,1168,0.013350994837557088,0.005163172078324662,0.008187822759232377,0.007481766569637425,0.00889387894882733,True,1.022821555889401e-35,1.9725844292152732e-35
esm2_top28_bilstm_attn,validation,1,flexibility_supporting,directional_evidence,sign * intrinsic signed evidence s_j,207,1168,1.2277944873011173,0.3716010192564449,0.8561934680446722,0.823638917796515,0.8887480182928295,True,1.022821555889401e-35,1.9725844292152732e-35
esm2_top28_bilstm_attn,validation,1,flexibility_supporting,directional_influence,sign * I_j,207,1168,0.017343380801004647,0.00267207184480648,0.014671308956198125,0.013388260566686896,0.015954357345709352,True,1.022821555889401e-35,1.9725844292152732e-35
esm2_top28_bilstm_attn,validation,1,flexibility_supporting,log_abs_evidence,log absolute intrinsic evidence,207,1168,0.17463573073817018,-0.9232972104663374,1.0979329412045076,1.050782119813538,1.145083762595477,True,1.022821555889401e-35,1.9725844292152732e-35
esm2_top28_bilstm_attn,validation,1,flexibility_supporting,log_abs_influence,log absolute signed influence,207,1168,-4.352143362700351,-6.400070016461941,2.0479266537615897,1.9789108047593413,2.116942502763838,True,1.022821555889401e-35,1.9725844292152732e-35
esm2_top28_bilstm_attn,validation,1,flexibility_supporting,log_attention_breadth,log attention column mean,207,1168,-4.526779091600984,-5.476772807072622,0.9499937154716368,0.9199240304124229,0.9800634005308507,True,1.022821555889401e-35,1.9725844292152732e-35
esm2_top4_bilstm_attn,test,-1,rigidity_supporting,attention_breadth,attention column mean B_j,200,1123,0.007009187474908367,0.004375617382244401,0.0026335700926639416,0.002217050329706807,0.0030500898556210763,True,6.933319831002517e-28,7.525613484907255e-28
esm2_top4_bilstm_attn,test,-1,rigidity_supporting,directional_evidence,sign * intrinsic signed evidence s_j,200,1123,1.2177598857138465,0.2741622792935363,0.9435976064203102,0.8994020771464346,0.9877931356941858,True,1.4361059590739e-34,1.8686679949395325e-34
esm2_top4_bilstm_attn,test,-1,rigidity_supporting,directional_influence,sign * I_j,200,1123,0.009572880971482284,0.0012471285445628207,0.00832575242691944,0.007404025816378578,0.0092474790374603,True,1.4361059590739e-34,1.8686679949395325e-34
esm2_top4_bilstm_attn,test,-1,rigidity_supporting,log_abs_evidence,log absolute intrinsic evidence,200,1123,0.06961697625469632,-1.1322119479851978,1.201828924239894,1.1370266757013487,1.2666311727784394,True,1.7998100626745213e-34,2.273444289694132e-34
esm2_top4_bilstm_attn,test,-1,rigidity_supporting,log_abs_influence,log absolute signed influence,200,1123,-5.129044164112716,-6.766042907893282,1.6369987437805662,1.5466290509771372,1.7273684365839952,True,1.5252627675716763e-34,1.949448270979184e-34
esm2_top4_bilstm_attn,test,-1,rigidity_supporting,log_attention_breadth,log attention column mean,200,1123,-5.198661139520675,-5.633830959638689,0.43516982011801403,0.3902938097095831,0.48004583052644495,True,1.9084999159088748e-29,2.092568435717345e-29
esm2_top4_bilstm_attn,test,1,flexibility_supporting,attention_breadth,attention column mean B_j,202,1171,0.014206629050345037,0.005174319341666933,0.00903230970867806,0.00816611800677623,0.009898501410579888,True,6.75050294553107e-35,9.468237897627995e-35
esm2_top4_bilstm_attn,test,1,flexibility_supporting,directional_evidence,sign * intrinsic signed evidence s_j,202,1171,1.1376961986539673,0.3117447865079899,0.8259514121459773,0.7935424591588054,0.8583603651331493,True,6.75050294553107e-35,9.468237897627995e-35
esm2_top4_bilstm_attn,test,1,flexibility_supporting,directional_influence,sign * I_j,202,1171,0.017385947443632355,0.0020763585223093337,0.015309588921322987,0.013820787427857546,0.01679839041478843,True,6.75050294553107e-35,9.468237897627995e-35
esm2_top4_bilstm_attn,test,1,flexibility_supporting,log_abs_evidence,log absolute intrinsic evidence,202,1171,0.101009471179275,-1.150232582437581,1.2512420536168558,1.1972584332662703,1.3052256739674413,True,6.75050294553107e-35,9.468237897627995e-35
esm2_top4_bilstm_attn,test,1,flexibility_supporting,log_abs_influence,log absolute signed influence,202,1171,-4.393595691234416,-6.621547771601892,2.2279520803674755,2.1484368750114333,2.3074672857235177,True,6.75050294553107e-35,9.468237897627995e-35
esm2_top4_bilstm_attn,test,1,flexibility_supporting,log_attention_breadth,log attention column mean,202,1171,-4.4946051613345075,-5.471315187561294,0.9767100262267867,0.9414458992551118,1.0119741531984616,True,6.75050294553107e-35,9.468237897627995e-35
esm2_top4_bilstm_attn,train,-1,rigidity_supporting,attention_breadth,attention column mean B_j,913,5205,0.00764645855270971,0.004789586316497456,0.0028568722362122263,0.0026472851209104987,0.003066459351513954,True,2.5268351957491697e-117,8.396867727412625e-117
esm2_top4_bilstm_attn,train,-1,rigidity_supporting,directional_evidence,sign * intrinsic signed evidence s_j,913,5205,1.222750721129729,0.2676726770002098,0.9550780441295192,0.9347285916439937,0.9754274966150448,True,5.3759923168933016e-151,2.700498466160356e-150
esm2_top4_bilstm_attn,train,-1,rigidity_supporting,directional_influence,sign * I_j,913,5205,0.010459242875714887,0.0012224421589823932,0.009236800716732468,0.00872901790197279,0.009744583531492147,True,5.828514461089903e-150,2.5693043338682023e-149
esm2_top4_bilstm_attn,train,-1,rigidity_supporting,log_abs_evidence,log absolute intrinsic evidence,913,5205,0.07138479533451937,-1.0995949092140989,1.170979704548618,1.1395368276917561,1.20242258140548,True,2.686936731944631e-147,1.0006523001724833e-146
