condition,split,sign,label,mechanism_class,n_bands,n_proteins,band_fraction,macro_protein_fraction
esm3_top4_bilstm_attn,train,1,flexibility_supporting,not_magnitude_enriched,105,85,0.018295870360690015,0.1469072446200474
esm3_top4_bilstm_attn,train,1,flexibility_supporting,unclassified,323,209,0.05628158215717024,0.3605411984011208
esm3_top4_bilstm_attn,validation,-1,rigidity_supporting,combined,433,128,0.3707191780821918,0.5732458730505605
esm3_top4_bilstm_attn,validation,-1,rigidity_supporting,evidence_dominated,609,183,0.521404109589041,0.6125808996710637
esm3_top4_bilstm_attn,validation,-1,rigidity_supporting,not_magnitude_enriched,65,45,0.05565068493150685,0.26251406001405997
esm3_top4_bilstm_attn,validation,-1,rigidity_supporting,unclassified,61,19,0.052226027397260275,0.5636363636363636
esm3_top4_bilstm_attn,validation,1,flexibility_supporting,combined,983,204,0.7901929260450161,0.8080078355352668
esm3_top4_bilstm_attn,validation,1,flexibility_supporting,consultation_dominated,38,26,0.03054662379421222,0.27806164423811486
esm3_top4_bilstm_attn,validation,1,flexibility_supporting,evidence_dominated,113,69,0.09083601286173633,0.22718084314194154
esm3_top4_bilstm_attn,validation,1,flexibility_supporting,not_magnitude_enriched,31,29,0.02491961414790997,0.1607202663237146
esm3_top4_bilstm_attn,validation,1,flexibility_supporting,unclassified,79,44,0.0635048231511254,0.3545552931916568
