condition,split,catalog_scope,sign,n_protein_rows,mean_mean_matched_interval_iou,median_mean_matched_interval_iou,n_finite_mean_matched_interval_iou,mean_median_matched_interval_iou,median_median_matched_interval_iou,n_finite_median_matched_interval_iou,mean_observed_only_bands,median_observed_only_bands,n_finite_observed_only_bands,mean_uniform_only_bands,median_uniform_only_bands,n_finite_uniform_only_bands,mean_fraction_observed_iou_ge_0_25,median_fraction_observed_iou_ge_0_25,n_finite_fraction_observed_iou_ge_0_25,mean_fraction_uniform_iou_ge_0_25,median_fraction_uniform_iou_ge_0_25,n_finite_fraction_uniform_iou_ge_0_25,mean_fraction_observed_iou_ge_0_5,median_fraction_observed_iou_ge_0_5,n_finite_fraction_observed_iou_ge_0_5,mean_fraction_uniform_iou_ge_0_5,median_fraction_uniform_iou_ge_0_5,n_finite_fraction_uniform_iou_ge_0_5,mean_fraction_observed_iou_ge_0_75,median_fraction_observed_iou_ge_0_75,n_finite_fraction_observed_iou_ge_0_75,mean_fraction_uniform_iou_ge_0_75,median_fraction_uniform_iou_ge_0_75,n_finite_fraction_uniform_iou_ge_0_75,test_set_primary
esm2_top4_bilstm_attn,validation,seed_stable,1,208,0.6000406093009899,0.6,51,0.6081912440692718,0.6,51,5.278846153846154,4.0,208,0.0,0.0,208,0.11045734868482844,0.0,208,1.0,1.0,51,0.09555350253098228,0.0,208,0.8653594771241828,1.0,51,0.018652701465201465,0.0,208,0.12908496732026142,0.0,51,False
esm3_frozen_bilstm_attn,train,mean_candidate,-1,967,0.5957791562390375,0.5871108058608059,486,0.5934253604650161,0.5833333333333333,486,2.3226473629782833,1.0,967,0.08479834539813857,0.0,967,0.4090083288429335,0.3333333333333333,802,0.9111785254642398,1.0,518,0.3550042605675582,0.2,802,0.7663508359936931,1.0,518,0.06387187383135014,0.0,802,0.11704141525570096,0.0,518,False
esm3_frozen_bilstm_attn,train,mean_candidate,1,967,0.5616150619208807,0.5637896825396824,240,0.5631803830700889,0.5714285714285714,240,5.660806618407446,4.0,967,0.017580144777662874,0.0,967,0.09848883339724816,0.0,957,0.9748567476783245,1.0,241,0.07891684176412801,0.0,957,0.7267931238885597,1.0,241,0.01562673800134615,0.0,957,0.09817229796482908,0.0,241,False
esm3_frozen_bilstm_attn,train,seed_stable,-1,967,0.5922313820880686,0.5833333333333333,453,0.5906776211943532,0.5772727272727273,453,2.3061013443640124,1.0,967,0.07652533609100311,0.0,967,0.3813957336597643,0.25,784,0.915053019824804,1.0,482,0.33103355686263847,0.14285714285714285,784,0.7678932927376911,1.0,482,0.05249913953676708,0.0,784,0.10875261207211415,0.0,482,False
esm3_frozen_bilstm_attn,train,seed_stable,1,967,0.5653987918992287,0.5714285714285714,202,0.5645024309045859,0.5714285714285714,202,5.099276111685626,4.0,967,0.015511892450879007,0.0,967,0.07952509336297374,0.0,953,0.9619741100323624,1.0,206,0.06337724447640501,0.0,953,0.7401294498381877,1.0,206,0.012085969877155607,0.0,953,0.09935275080906147,0.0,206,False
esm3_frozen_bilstm_attn,validation,mean_candidate,-1,208,0.6141462566124887,0.6,114,0.614625065113398,0.6,114,1.8701923076923077,1.0,208,0.07211538461538461,0.0,208,0.48956448313591167,0.5,175,0.9295833333333333,1.0,120,0.4252945150088008,0.36363636363636365,175,0.8055390211640212,1.0,120,0.09576504447933018,0.0,175,0.15371723184223185,0.0,120,False
esm3_frozen_bilstm_attn,validation,mean_candidate,1,208,0.5714449622854795,0.5714285714285714,58,0.5745380338052752,0.5845238095238094,58,5.466346153846154,5.0,208,0.0,0.0,208,0.09914142465754455,0.0,208,1.0,1.0,58,0.08277366251772361,0.0,208,0.7557471264367815,1.0,58,0.020032051282051284,0.0,208,0.11206896551724138,0.0,58,False
esm3_frozen_bilstm_attn,validation,seed_stable,-1,208,0.6118017406397651,0.6003968253968254,110,0.6103210125996047,0.6,110,1.9519230769230769,1.0,208,0.07692307692307693,0.0,208,0.45214876120048536,0.4307692307692308,174,0.9314118629908104,1.0,114,0.3953826983999398,0.3333333333333333,174,0.8229253689780007,1.0,114,0.08552607992263163,0.0,174,0.1533660540239488,0.0,114,False
esm3_frozen_bilstm_attn,validation,seed_stable,1,208,0.5669137826746522,0.5753968253968254,46,0.5678828417958853,0.5916666666666666,46,4.889423076923077,4.0,208,0.004807692307692308,0.0,208,0.08415308991408364,0.0,206,0.9787234042553191,1.0,47,0.06920426248667254,0.0,206,0.7092198581560283,1.0,47,0.011326860841423947,0.0,206,0.09574468085106383,0.0,47,False
esm3_top28_bilstm_attn,train,mean_candidate,-1,967,0.6627738349875424,0.6634462759462759,420,0.6618341468742972,0.6666666666666666,420,2.4674250258531543,1.0,967,0.08169596690796277,0.0,967,0.36534308386632103,0.14285714285714285,801,0.9213776276276275,1.0,444,0.35431267514151527,0.14285714285714285,801,0.8885544635544635,1.0,444,0.10259962840869834,0.0,801,0.22352303602303603,0.0,444,False
esm3_top28_bilstm_attn,train,mean_candidate,1,967,0.5698396883076539,0.5571428571428572,151,0.5691293876050536,0.5714285714285714,151,5.707342295760083,4.0,967,0.0062047569803516025,0.0,967,0.055813642043586714,0.0,944,0.9808114035087719,1.0,152,0.04623321246845375,0.0,944,0.7598684210526315,1.0,152,0.00939731760706337,0.0,944,0.11392543859649122,0.0,152,False
esm3_top28_bilstm_attn,train,seed_stable,-1,967,0.6551751528686222,0.6602994227994228,369,0.6533509702517802,0.6666666666666666,369,2.5180972078593586,1.0,967,0.05377456049638056,0.0,967,0.31075303329590065,0.0,780,0.9323050556983717,1.0,389,0.30009557861189207,0.0,780,0.8976720936875179,1.0,389,0.07787060687453637,0.0,780,0.1965907699840862,0.0,389,False
esm3_top28_bilstm_attn,train,seed_stable,1,967,0.5573729630135646,0.55,109,0.5584439613322694,0.55,109,5.170630816959669,4.0,967,0.008273009307135471,0.0,967,0.04185525749104152,0.0,933,0.9686186186186186,1.0,111,0.03444576921780083,0.0,933,0.7385885885885886,1.0,111,0.0057639633202334175,0.0,933,0.08213213213213214,0.0,111,False
esm3_top28_bilstm_attn,validation,mean_candidate,-1,208,0.6636651798725276,0.6576768139268139,98,0.6651896716821164,0.6666666666666666,98,2.3798076923076925,1.0,208,0.04807692307692308,0.0,208,0.38645763958263957,0.25,176,0.9214743589743589,1.0,104,0.3634147102897103,0.1778846153846154,176,0.8628777472527472,1.0,104,0.1459063505938506,0.0,176,0.32462225274725276,0.20833333333333331,104,False
esm3_top28_bilstm_attn,validation,mean_candidate,1,208,0.5022684860184861,0.5,37,0.503612866112866,0.5,37,5.8701923076923075,5.0,208,0.004807692307692308,0.0,208,0.06294708527718236,0.0,206,0.9594594594594594,1.0,37,0.050400853192115326,0.0,206,0.6981981981981982,1.0,37,0.0012135922330097086,0.0,206,0.013513513513513514,0.0,37,False
esm3_top28_bilstm_attn,validation,seed_stable,-1,208,0.6588339969649248,0.6574074074074073,88,0.6580916965529036,0.6666666666666666,88,2.4759615384615383,1.0,208,0.028846153846153848,0.0,208,0.340277084027084,0.05,176,0.9402173913043478,1.0,92,0.32329476079476077,0.0,176,0.885934265010352,1.0,92,0.12972895160395162,0.0,176,0.323731884057971,0.25,92,False
esm3_top28_bilstm_attn,validation,seed_stable,1,208,0.49715957190957194,0.5,30,0.49945586820586824,0.5,30,5.3701923076923075,4.5,208,0.009615384615384616,0.0,208,0.047624826629681,0.0,206,0.9333333333333333,1.0,30,0.03802588996763754,0.0,206,0.6722222222222223,1.0,30,0.0,0.0,206,0.0,0.0,30,False
esm3_top4_bilstm_attn,train,mean_candidate,-1,967,0.6516906032966827,0.6531274281274282,432,0.6512413875877163,0.6657509157509158,432,2.441571871768356,1.0,967,0.07135470527404343,0.0,967,0.3540838433507441,0.16666666666666666,804,0.9177512653651483,1.0,461,0.330126357359676,0.125,804,0.8564883417377994,1.0,461,0.09003536368275174,0.0,804,0.2001946956393811,0.0,461,False
