condition,split,catalog_scope,sign,direction,n_protein_rows,mean_median_nearest_apex_distance,median_median_nearest_apex_distance,n_finite_median_nearest_apex_distance,mean_fraction_within_0_residues,median_fraction_within_0_residues,n_finite_fraction_within_0_residues,mean_fraction_within_2_residues,median_fraction_within_2_residues,n_finite_fraction_within_2_residues,mean_fraction_within_5_residues,median_fraction_within_5_residues,n_finite_fraction_within_5_residues,mean_fraction_within_10_residues,median_fraction_within_10_residues,n_finite_fraction_within_10_residues,mean_source_present_target_missing,median_source_present_target_missing,n_finite_source_present_target_missing,test_set_primary
esm3_top28_bilstm_attn,test,mean_candidate,-1,uniform_to_observed,208,1.2244897959183674,0.0,98,0.8655448717948716,1.0,104,0.9204326923076922,1.0,104,0.9236378205128205,1.0,104,0.9236378205128205,1.0,104,0.028846153846153848,0.0,208,True
esm3_top28_bilstm_attn,test,mean_candidate,1,observed_to_uniform,208,45.98571428571429,35.0,35,0.05163670483867528,0.0,203,0.055905998763141625,0.0,203,0.055905998763141625,0.0,203,0.058201117437570636,0.0,203,0.8076923076923077,1.0,208,True
esm3_top28_bilstm_attn,test,mean_candidate,1,uniform_to_observed,208,0.6714285714285714,0.0,35,0.9285714285714286,1.0,35,0.9857142857142858,1.0,35,0.9857142857142858,1.0,35,0.9857142857142858,1.0,35,0.0,0.0,208,True
esm3_top28_bilstm_attn,test,seed_stable,-1,observed_to_uniform,208,20.15730337078652,0.0,89,0.3091259820426487,0.0,180,0.3389367885201218,0.0,180,0.3403256774090107,0.0,180,0.3432886403719737,0.0,180,0.4375,0.0,208,True
esm3_top28_bilstm_attn,test,seed_stable,-1,uniform_to_observed,208,2.095505617977528,0.0,89,0.8532801418439716,1.0,94,0.9199468085106383,1.0,94,0.9234929078014185,1.0,94,0.9234929078014185,1.0,94,0.02403846153846154,0.0,208,True
esm3_top28_bilstm_attn,test,seed_stable,1,observed_to_uniform,208,36.125,31.5,28,0.046706941483060885,0.0,201,0.052677090736792234,0.0,201,0.052677090736792234,0.0,201,0.053506278133143806,0.0,201,0.8317307692307693,1.0,208,True
esm3_top28_bilstm_attn,test,seed_stable,1,uniform_to_observed,208,0.125,0.0,28,0.9107142857142857,1.0,28,1.0,1.0,28,1.0,1.0,28,1.0,1.0,28,0.0,0.0,208,True
esm3_top4_bilstm_attn,test,mean_candidate,-1,observed_to_uniform,208,17.162037037037038,0.0,108,0.3796863093211408,0.31666666666666665,178,0.41986255005917933,0.3333333333333333,178,0.4212670444412018,0.3333333333333333,178,0.42376392334257496,0.3333333333333333,178,0.33653846153846156,0.0,208,True
esm3_top4_bilstm_attn,test,mean_candidate,-1,uniform_to_observed,208,0.6851851851851852,0.0,108,0.8315510999721526,1.0,114,0.9236633249791144,1.0,114,0.9265873015873016,1.0,114,0.9265873015873016,1.0,114,0.028846153846153848,0.0,208,True
esm3_top4_bilstm_attn,test,mean_candidate,1,observed_to_uniform,208,36.30434782608695,21.75,46,0.07057728280818192,0.0,206,0.08625297478188995,0.0,206,0.08625297478188995,0.0,206,0.08889121876669365,0.0,206,0.7692307692307693,1.0,208,True
esm3_top4_bilstm_attn,test,mean_candidate,1,uniform_to_observed,208,0.5652173913043478,0.0,46,0.8778985507246375,1.0,46,0.9891304347826086,1.0,46,0.9891304347826086,1.0,46,0.9891304347826086,1.0,46,0.0,0.0,208,True
esm3_top4_bilstm_attn,test,seed_stable,-1,observed_to_uniform,208,18.29901960784314,0.0,102,0.3419139225319,0.16666666666666666,178,0.3874758824197026,0.2361111111111111,178,0.3888803768017251,0.25,178,0.3888803768017251,0.25,178,0.36538461538461536,0.0,208,True
esm3_top4_bilstm_attn,test,seed_stable,-1,uniform_to_observed,208,1.5784313725490196,0.0,102,0.8090491025070464,1.0,107,0.9097574543836225,1.0,107,0.9191032487761459,1.0,107,0.9191032487761459,1.0,107,0.02403846153846154,0.0,208,True
esm3_top4_bilstm_attn,test,seed_stable,1,observed_to_uniform,208,38.5,28.5,40,0.061118793616683015,0.0,206,0.07566179950624864,0.0,206,0.07566179950624864,0.0,206,0.07830004349105237,0.0,206,0.7980769230769231,1.0,208,True
