condition,split,catalog_scope,sign,analysis_component,metric,estimate_equal_protein_mean,bootstrap_ci_lower_95,bootstrap_ci_upper_95,n_protein_rows,n_finite_protein_rows,n_bootstrap,test_set_primary,direction
esm2_top28_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,median_matched_interval_iou,0.6386507936507936,0.6046780753968253,0.6775427679046101,208,25,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,observed_only_bands,5.735576923076923,5.1923076923076925,6.28858173076923,208,208,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,observed_only_bands,5.543269230769231,5.043269230769231,6.100961538461538,208,208,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,uniform_only_bands,0.014423076923076924,0.0,0.04326923076923077,208,208,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,uniform_only_bands,0.009615384615384616,0.0,0.028846153846153848,208,208,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.38551667468334133,0.3289509689082682,0.44449551975576745,208,180,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.35442493570985184,0.29759244331359574,0.4153331088496006,208,179,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.372156886323553,0.31532867831225886,0.4313633680449855,208,180,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.3409905116609027,0.28434491219759084,0.3996330132532637,208,179,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.1083008658008658,0.07430454524685293,0.1449091386242224,208,180,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.08718429305021484,0.05647806833052416,0.120002263364786,208,179,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_uniform_iou_ge_0_25,0.9439393939393939,0.9017045454545454,0.9797173913043478,208,110,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_uniform_iou_ge_0_25,0.939102564102564,0.8911531920460491,0.9785489902201229,208,104,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_uniform_iou_ge_0_5,0.9196969696969698,0.8692752100840336,0.9637752202330206,208,110,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_uniform_iou_ge_0_5,0.9134615384615384,0.8590879953379955,0.9604057464569987,208,104,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_uniform_iou_ge_0_75,0.22303030303030302,0.16214882469555364,0.28803436478758154,208,110,2000,True,
