condition,split,sign,n_protein_rows,mean_observed_mean_candidate_bands,median_observed_mean_candidate_bands,n_finite_observed_mean_candidate_bands,mean_uniform_mean_candidate_bands,median_uniform_mean_candidate_bands,n_finite_uniform_mean_candidate_bands,mean_observed_fraction_supported_2of3,median_observed_fraction_supported_2of3,n_finite_observed_fraction_supported_2of3,mean_uniform_fraction_supported_2of3,median_uniform_fraction_supported_2of3,n_finite_uniform_fraction_supported_2of3,mean_observed_fraction_supported_3of3,median_observed_fraction_supported_3of3,n_finite_observed_fraction_supported_3of3,mean_uniform_fraction_supported_3of3,median_uniform_fraction_supported_3of3,n_finite_uniform_fraction_supported_3of3,mean_observed_minus_uniform_mean_candidate_bands,median_observed_minus_uniform_mean_candidate_bands,n_finite_observed_minus_uniform_mean_candidate_bands,mean_observed_minus_uniform_fraction_supported_2of3,median_observed_minus_uniform_fraction_supported_2of3,n_finite_observed_minus_uniform_fraction_supported_2of3,mean_observed_minus_uniform_fraction_supported_3of3,median_observed_minus_uniform_fraction_supported_3of3,n_finite_observed_minus_uniform_fraction_supported_3of3,test_set_primary
esm3_frozen_bilstm_attn,validation,-1,208,3.6538461538461537,3.0,208,1.8557692307692308,1.0,208,0.9598093176664606,1.0,175,0.8741459235209236,1.0,120,0.6941371327085613,0.75,175,0.598030303030303,0.6125,120,1.7980769230769231,1.0,208,0.06544549505075821,0.0,114,0.1325546286072602,0.036630036630036666,114,False
esm3_frozen_bilstm_attn,validation,1,208,5.908653846153846,5.0,208,0.4423076923076923,0.0,208,0.8805315477791438,1.0,208,0.7557471264367815,1.0,58,0.5474447702247476,0.5,208,0.3606321839080459,0.0,58,5.466346153846154,5.0,208,0.14953387130111268,0.0,58,0.1742687895831912,0.4,58,False
esm3_top28_bilstm_attn,train,-1,967,3.562564632885212,2.0,967,1.1768355739400207,0.0,967,0.9448335726067606,1.0,801,0.7915467415467415,1.0,444,0.7040504564228778,0.8181818181818182,801,0.46278461903461904,0.5,444,2.3857290589451914,1.0,967,0.14326364772793343,0.0,420,0.2872198940816256,0.25,420,False
esm3_top28_bilstm_attn,train,1,967,5.94105480868666,5.0,967,0.23991726990692863,0.0,967,0.8977068094869233,1.0,944,0.6577850877192983,1.0,152,0.5459304518602123,0.5505050505050505,944,0.2390350877192982,0.0,152,5.701137538779731,4.0,967,0.23166488000217952,0.0,151,0.32891964970135223,0.4444444444444444,151,False
esm3_top28_bilstm_attn,validation,-1,208,3.6538461538461537,3.0,208,1.3221153846153846,0.5,208,0.9753314393939394,1.0,176,0.8242445054945053,1.0,104,0.7439811608845699,0.875,176,0.5396749084249084,0.6125,104,2.331730769230769,1.0,208,0.15063168124392615,0.0,98,0.2269576511923451,0.16190476190476194,98,False
esm3_top28_bilstm_attn,validation,1,208,6.1298076923076925,5.0,208,0.2644230769230769,0.0,208,0.9153966753945337,1.0,206,0.768018018018018,1.0,37,0.6501574239581093,0.6666666666666666,206,0.47747747747747743,0.5,37,5.865384615384615,5.0,208,0.1678883428883429,0.0,37,0.16066748566748562,0.09999999999999998,37,False
esm3_top4_bilstm_attn,train,-1,967,3.5336091003102377,2.0,967,1.1633919338159255,0.0,967,0.953219706309039,1.0,804,0.8665251054079689,1.0,461,0.7271469058288637,0.8333333333333334,804,0.5018129075070507,0.5,461,2.3702171664943124,1.0,967,0.09268493436181345,0.0,432,0.27611169770075,0.16666666666666663,432,False
esm3_top4_bilstm_attn,train,1,967,5.877973112719752,5.0,967,0.36297828335056875,0.0,967,0.9245481253175393,1.0,956,0.7886257093510979,1.0,193,0.6358027880074347,0.6666666666666666,956,0.3430421909696521,0.3333333333333333,193,5.514994829369183,4.0,967,0.12684688461864202,0.0,192,0.3149330418685257,0.4,192,False
esm3_top4_bilstm_attn,validation,-1,208,3.4663461538461537,3.0,208,1.4423076923076923,1.0,208,0.9575119006153489,1.0,174,0.8363203463203464,1.0,110,0.7072337624061761,0.7777777777777778,174,0.5219047619047619,0.5,110,2.0240384615384617,1.0,208,0.10626907814407814,0.0,104,0.2237933807645346,0.16666666666666663,104,False
esm3_top4_bilstm_attn,validation,1,208,5.8076923076923075,5.0,208,0.375,0.0,208,0.9160452001031713,1.0,207,0.8617021276595744,1.0,47,0.6480699173580672,0.6666666666666666,207,0.423758865248227,0.3333333333333333,47,5.4326923076923075,5.0,208,0.0937862669245648,0.0,47,0.2561239292622271,0.3333333333333333,47,False
