condition,split,sign,mechanism_class,n_proteins,n_bands,fraction_high_receivers_long_range_macro_mean,fraction_positive_directional_mass_long_range_macro_mean,fraction_attention_mass_long_range_macro_mean
esm2_top28_bilstm_attn,test,-1,unclassified,16,23,0.38918965491745094,0.3743239946224712,0.4002114491203228
esm2_top28_bilstm_attn,test,1,combined,203,1030,0.6241003300865174,0.7074554697905083,0.7064155559317661
esm2_top28_bilstm_attn,test,1,consultation_dominated,4,5,0.6680681246857717,0.6981793174833114,0.6990390603018833
esm2_top28_bilstm_attn,test,1,evidence_dominated,64,117,0.7538750720001718,0.791578163093361,0.7621317081480011
esm2_top28_bilstm_attn,test,1,not_magnitude_enriched,9,9,0.8098790684997581,0.8317819385830025,0.7527190046679274
esm2_top28_bilstm_attn,test,1,unclassified,36,53,0.5852119001206662,0.654771881226312,0.6549566536124041
esm2_top28_bilstm_attn,train,-1,combined,641,2344,0.5623743814675067,0.6486082951130826,0.6533658872230292
esm2_top28_bilstm_attn,train,-1,evidence_dominated,672,2321,0.6726728419829028,0.7042483845956952,0.6780449532597828
esm2_top28_bilstm_attn,train,-1,not_magnitude_enriched,172,237,0.8321805376172757,0.8483174804481525,0.732932939763725
esm2_top28_bilstm_attn,train,-1,unclassified,81,144,0.45720381341819855,0.49656086495561935,0.5095006853091198
esm2_top28_bilstm_attn,train,1,combined,931,4647,0.5913214813273597,0.6873279764639579,0.6862158926884604
esm2_top28_bilstm_attn,train,1,consultation_dominated,72,105,0.6520891011692064,0.7215042411562571,0.7109595905735463
esm2_top28_bilstm_attn,train,1,evidence_dominated,219,338,0.7645664237842583,0.8011466907045232,0.7781001684268207
esm2_top28_bilstm_attn,train,1,not_magnitude_enriched,63,74,0.841176281468259,0.8454831547678449,0.7895831576068756
esm2_top28_bilstm_attn,train,1,unclassified,144,225,0.5222804927923496,0.6100713009651169,0.6074019152214708
esm2_top28_bilstm_attn,validation,-1,combined,140,501,0.5717123105720497,0.657847118439163,0.6671733238134143
esm2_top28_bilstm_attn,validation,-1,evidence_dominated,167,538,0.6706103328763228,0.7012275913819638,0.6752663018693555
esm2_top28_bilstm_attn,validation,-1,not_magnitude_enriched,43,53,0.810584932806763,0.7763788803431524,0.7128695016553231
esm2_top28_bilstm_attn,validation,-1,unclassified,11,20,0.47232880755608025,0.5871534392493436,0.5258961222431976
esm2_top28_bilstm_attn,validation,1,combined,206,1047,0.6289126231511251,0.7105613104057839,0.709815347082511
esm2_top28_bilstm_attn,validation,1,consultation_dominated,9,11,0.6196464856519577,0.6617232683124626,0.6567333937953301
esm2_top28_bilstm_attn,validation,1,evidence_dominated,62,91,0.7632561686176463,0.7944893345486215,0.7674874255311321
esm2_top28_bilstm_attn,validation,1,not_magnitude_enriched,19,19,0.8696649581521121,0.8942321157926052,0.7480801145714235
esm2_top28_bilstm_attn,validation,1,unclassified,37,51,0.6314511605683732,0.6914945572490172,0.6892177057003888
esm2_top4_bilstm_attn,test,-1,combined,132,400,0.5889611387389732,0.6602843326840566,0.6715799064254544
esm2_top4_bilstm_attn,test,-1,evidence_dominated,174,672,0.6715782091718272,0.6921706260196111,0.6753409168042872
esm2_top4_bilstm_attn,test,-1,not_magnitude_enriched,41,51,0.8569062801575199,0.8484365094607363,0.7272128514824158
esm2_top4_bilstm_attn,test,-1,unclassified,14,18,0.36124290287824123,0.35390787842818044,0.4207359322205905
esm2_top4_bilstm_attn,test,1,combined,196,985,0.634031660081577,0.7149997540733234,0.713744663777733
esm2_top4_bilstm_attn,test,1,consultation_dominated,5,8,0.559923899629782,0.7581716586380225,0.7606702632112544
esm2_top4_bilstm_attn,test,1,evidence_dominated,88,168,0.743622039752866,0.7727653369491957,0.753599302006689
esm2_top4_bilstm_attn,test,1,not_magnitude_enriched,10,10,0.8350644705056469,0.8323703308604282,0.740833183492053
esm2_top4_bilstm_attn,test,1,unclassified,28,42,0.6100320942533584,0.6655637364575903,0.6618966806802629
esm2_top4_bilstm_attn,train,-1,combined,555,1904,0.5813317930602144,0.6623174976366897,0.6682888836357531
esm2_top4_bilstm_attn,train,-1,evidence_dominated,759,3054,0.666718390029591,0.6840737920842488,0.6658614921651531
esm2_top4_bilstm_attn,train,-1,not_magnitude_enriched,188,247,0.7943514769887668,0.809843419296333,0.721484511193179
esm2_top4_bilstm_attn,train,-1,unclassified,90,186,0.44876583985569696,0.4705771180608403,0.5017252569170741
esm2_top4_bilstm_attn,train,1,combined,914,4548,0.5982328715755878,0.6880928615029471,0.6884814620486693
esm2_top4_bilstm_attn,train,1,consultation_dominated,57,82,0.6349649677296119,0.7099993883136354,0.6908869989228573
esm2_top4_bilstm_attn,train,1,evidence_dominated,390,739,0.7234488201179352,0.7582364658373631,0.7428937464001022
