condition,sign,evaluation_split,feature,feature_type,n_pairs,n_proteins,baseline_auroc,single_feature_auroc,delta_auroc_single_from_baseline,full_query_auroc,without_feature_auroc,delta_auroc_full_minus_without,baseline_macro_protein_auroc,single_feature_macro_protein_auroc,delta_macro_auroc_single_from_baseline,full_query_macro_protein_auroc,without_feature_macro_protein_auroc,delta_macro_auroc_full_minus_without,baseline_average_precision,single_feature_average_precision,full_query_average_precision,without_feature_average_precision
esm2_top4_bilstm_attn,-1,test,query_in_any_band,numeric,7583,200,0.5077838302253668,0.6363008762135332,0.12851704598816638,0.8981291675797515,0.885917067554359,0.012212100025392525,0.5133396374831777,0.6175989288905523,0.10425929140737467,0.9024760282974768,0.8909261972545511,0.011549831042925618,0.5056837024222506,0.581695494535988,0.8737022191333275,0.8495834554388799
esm2_top4_bilstm_attn,1,validation,neq,numeric,8241,203,0.5181740461558215,0.7700550236951751,0.25188097753935357,0.8413774418163592,0.7947590843284364,0.04661835748792276,0.5338942533100393,0.7783196490548606,0.24442539574482136,0.8522873669829943,0.802524335284988,0.04976303169800633,0.5208408918496659,0.7413065797878315,0.8301912440458855,0.7614701678315587
esm2_top4_bilstm_attn,1,validation,rsa,numeric,8241,203,0.5181740461558215,0.6512182724373812,0.13304422628155965,0.8413774418163592,0.8149856226889401,0.02639181912741906,0.5338942533100393,0.652992129271909,0.11909787596186971,0.8522873669829943,0.8254572406953964,0.026830126287597955,0.5208408918496659,0.5951980264579312,0.8301912440458855,0.8084356985473731
esm2_top4_bilstm_attn,1,validation,disorder,numeric,8241,203,0.5181740461558215,0.5113557786659787,-0.006818267489842822,0.8413774418163592,0.8331969226311009,0.008180519185258306,0.5338942533100393,0.5276861116115658,-0.006208141698473502,0.8522873669829943,0.8371413954254743,0.015145971557520066,0.5208408918496659,0.5037188256630769,0.8301912440458855,0.8210651921387645
esm2_top4_bilstm_attn,1,validation,torsion_change_from_previous,numeric,8241,203,0.5181740461558215,0.5960006219762589,0.0778265758204374,0.8413774418163592,0.8373646936590227,0.004012748157336543,0.5338942533100393,0.628997804359119,0.09510355104907975,0.8522873669829943,0.8458721799010297,0.006415187081964646,0.5208408918496659,0.5924120240260761,0.8301912440458855,0.8263165683063437
esm2_top4_bilstm_attn,1,validation,query_amino_acid_class,categorical,8241,203,0.5181740461558215,0.6078068033365256,0.08963275718070407,0.8413774418163592,0.8387204958847083,0.002656945931650889,0.5338942533100393,0.6214987874222182,0.08760453411217894,0.8522873669829943,0.8482251516993187,0.004062215283675674,0.5208408918496659,0.5942030082399251,0.8301912440458855,0.828286435367412
esm2_top4_bilstm_attn,1,validation,normalized_query_position,numeric,8241,203,0.5181740461558215,0.5165139408674919,-0.0016601052883296052,0.8413774418163592,0.8413721408823347,5.300934024510262e-06,0.5338942533100393,0.525532046716837,-0.008362206593202304,0.8522873669829943,0.8524527502465656,-0.00016538326357129485,0.5208408918496659,0.5125561928632375,0.8301912440458855,0.8302005583672348
esm2_top4_bilstm_attn,1,validation,query_in_any_band,numeric,8241,203,0.5181740461558215,0.7066137103357611,0.18843966417993963,0.8413774418163592,0.8050565020667755,0.036320939749583725,0.5338942533100393,0.6966124222556489,0.16271816894560964,0.8522873669829943,0.8214704820096242,0.030816884973370096,0.5208408918496659,0.6723525674619778,0.8301912440458855,0.7871537436863776
esm2_top4_bilstm_attn,1,test,neq,numeric,8433,203,0.525059273530115,0.7633143395536555,0.23825506602354052,0.8247501511721111,0.7740022781285596,0.05074787304355155,0.5411065927362346,0.7853910656880041,0.24428447295176947,0.8412603727009489,0.7814509754464873,0.05980939725446155,0.5230953712033993,0.7337257295472874,0.8158101533198089,0.7512174992788695
esm2_top4_bilstm_attn,1,test,rsa,numeric,8433,203,0.525059273530115,0.6546021853159145,0.12954291178579957,0.8247501511721111,0.7982210909704546,0.026529060201656574,0.5411065927362346,0.6405606493848326,0.09945405664859797,0.8412603727009489,0.8153032924111023,0.025957080289846557,0.5230953712033993,0.5976909942414571,0.8158101533198089,0.7933759333985799
esm2_top4_bilstm_attn,1,test,disorder,numeric,8433,203,0.525059273530115,0.5160614813460646,-0.00899779218405039,0.8247501511721111,0.8149502046096946,0.009799946562416562,0.5411065927362346,0.5319047341381589,-0.009201858598075763,0.8412603727009489,0.8213171733151129,0.019943199385835997,0.5230953712033993,0.5029094901315592,0.8158101533198089,0.8098818567974803
esm2_top4_bilstm_attn,1,test,torsion_change_from_previous,numeric,8433,203,0.525059273530115,0.5886809073139176,0.0636216337838027,0.8247501511721111,0.8225138164278382,0.002236334744272983,0.5411065927362346,0.5922121347377247,0.05110554200149009,0.8412603727009489,0.8363486565382551,0.004911716162693813,0.5230953712033993,0.5876320425394135,0.8158101533198089,0.8132117108147392
