condition,split,sign,mechanism_class,feature,n_proteins,n_bands,high_minus_low_macro_protein_mean,ci95_low,ci95_high,inference_eligible,protein_sign_p_two_sided,protein_sign_q_bh
esm2_top28_bilstm_attn,validation,-1,not_magnitude_enriched,torsion_change_from_previous,43,52,-32.726364418309984,-40.95132177965252,-24.50140705696745,True,1.000444171950221e-11,3.001332515850663e-11
esm2_top28_bilstm_attn,validation,-1,unclassified,absolute_sequence_separation,10,19,0.5564193383106419,-3.7076188655304323,4.820457542151716,True,1.0,1.0
esm2_top28_bilstm_attn,validation,-1,unclassified,disorder,10,19,0.07143359116741024,-0.007782679292180253,0.15064986162700073,True,0.75390625,0.8118990384615384
esm2_top28_bilstm_attn,validation,-1,unclassified,neq,10,19,-0.42587606459087074,-0.5896752903581213,-0.26207683882362026,True,0.001953125,0.0032487623762376236
esm2_top28_bilstm_attn,validation,-1,unclassified,normalized_query_position,10,19,0.052037722017312736,-0.002594259369344841,0.1066697034039703,True,0.75390625,0.8118990384615384
esm2_top28_bilstm_attn,validation,-1,unclassified,query_in_any_band,10,19,-0.1311916264090177,-0.3587643439566005,0.09638109113856516,True,0.2890625,0.3597222222222222
esm2_top28_bilstm_attn,validation,-1,unclassified,rsa,10,19,-0.030018700796040677,-0.08885177722027843,0.028814375628197077,True,0.34375,0.41847826086956524
esm2_top28_bilstm_attn,validation,-1,unclassified,torsion_change_from_previous,10,19,-33.20819679855261,-43.0723093770623,-23.344084220042927,True,0.001953125,0.0032487623762376236
esm2_top28_bilstm_attn,validation,1,consultation_dominated,absolute_sequence_separation,8,10,1.3930059645609818,,,False,,
esm2_top28_bilstm_attn,validation,1,consultation_dominated,disorder,8,10,-0.0017738228209391617,,,False,,
esm2_top28_bilstm_attn,validation,1,consultation_dominated,neq,8,10,0.4657813495584594,,,False,,
esm2_top28_bilstm_attn,validation,1,consultation_dominated,normalized_query_position,8,10,-0.06734028168484527,,,False,,
esm2_top28_bilstm_attn,validation,1,consultation_dominated,query_in_any_band,8,10,0.41705771053190877,,,False,,
esm2_top28_bilstm_attn,validation,1,consultation_dominated,rsa,8,10,0.12736621973345352,,,False,,
esm2_top28_bilstm_attn,validation,1,consultation_dominated,torsion_change_from_previous,8,10,30.91412155255393,,,False,,
esm2_top4_bilstm_attn,test,-1,evidence_dominated,absolute_sequence_separation,174,668,-2.4794847604585786,-3.7704192903949827,-1.1885502305221745,True,0.0077879297776791276,0.012218993271875872
