condition,sign,stage,evaluation_split,n_segments,n_selected_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_concordance,n_matched_protein_q8_strata,delta_auroc_from_previous_stage,delta_concordance_from_previous_stage
esm2_top4_bilstm_attn,1,01_add_neq,validation,3559,1134,203,0.7131668932345425,0.6820782425665853,0.7185629006932069,468,0.21316689323454252,0.21856290069320694
esm2_top4_bilstm_attn,1,01_add_neq,test,3642,1142,200,0.6779712449682536,0.6398360641116557,0.6856523038709441,470,0.17797124496825356,0.1856523038709441
esm2_top4_bilstm_attn,1,02_add_exposure_length_position,validation,3559,1134,203,0.7499083878587116,0.736581632963239,0.7584313542691695,468,0.03674149462416909,0.03986845357596258
esm2_top4_bilstm_attn,1,02_add_exposure_length_position,test,3642,1142,200,0.747506901361042,0.7134788601516535,0.7642028097873983,470,0.06953565639278847,0.07855050591645418
esm2_top4_bilstm_attn,1,03_add_geometry_boundaries,validation,3559,1134,203,0.8002900384837185,0.7974624805486099,0.8009331516839422,468,0.05038165062500688,0.04250179741477267
esm2_top4_bilstm_attn,1,03_add_geometry_boundaries,test,3642,1142,200,0.8005953064782242,0.7834508402804059,0.8033182275301757,470,0.05308840511718216,0.03911541774277738
esm2_top4_bilstm_attn,1,04_add_disorder,validation,3559,1134,203,0.8146320367298614,0.8084830274860184,0.8162606834033233,468,0.014341998246142906,0.01532753171938106
esm2_top4_bilstm_attn,1,04_add_disorder,test,3642,1142,200,0.8158247244704757,0.8014168375267574,0.8115668196098309,470,0.015229417992251526,0.008248592079655226
esm2_top4_bilstm_attn,1,05_add_sequence,validation,3559,1134,203,0.818247389290235,0.8107004035128111,0.8228961967356277,468,0.003615352560373597,0.006635513332304499
esm2_top4_bilstm_attn,1,05_add_sequence,test,3642,1142,200,0.8167846557645155,0.8045066387135416,0.807019665595794,470,0.0009599312940398175,-0.004547154014036936
esm3_frozen_bilstm_attn,-1,00_q8_only,validation,1585,905,180,0.5,0.49999999999999944,0.5,251,,
esm3_frozen_bilstm_attn,-1,00_q8_only,test,1669,910,179,0.5,0.49999999999999944,0.5,263,,
esm3_frozen_bilstm_attn,-1,01_add_neq,validation,1585,905,180,0.6574588764664875,0.6322542589352377,0.6758630819006962,251,0.15745887646648749,0.17586308190069622
esm3_frozen_bilstm_attn,-1,01_add_neq,test,1669,910,179,0.6556045511885265,0.6207539896234406,0.6770484979040111,263,0.15560455118852645,0.17704849790401112
esm3_frozen_bilstm_attn,-1,02_add_exposure_length_position,validation,1585,905,180,0.8032778412881293,0.7600897598428651,0.823633988387035,251,0.1458189648216418,0.14777090648633884
esm3_frozen_bilstm_attn,-1,02_add_exposure_length_position,test,1669,910,179,0.7905489763730918,0.7518178463618592,0.8246326107352724,263,0.1349444251845654,0.14758411283126127
esm3_frozen_bilstm_attn,-1,03_add_geometry_boundaries,validation,1585,905,180,0.8075877568477134,0.766573205979145,0.820390899288544,251,0.004309915559584154,-0.0032430890984910254
esm3_frozen_bilstm_attn,-1,03_add_geometry_boundaries,test,1669,910,179,0.7916941870123142,0.760978297078738,0.8223926422120339,263,0.0011452106392223493,-0.002239968523238489
esm3_frozen_bilstm_attn,-1,04_add_disorder,validation,1585,905,180,0.8153775251591928,0.7744460433770899,0.8192136306729406,251,0.0077897683114793725,-0.0011772686156034107
esm3_frozen_bilstm_attn,-1,04_add_disorder,test,1669,910,179,0.8069560273633474,0.7792888542726958,0.8316487000184719,263,0.015261840351033173,0.009256057806438012
esm3_frozen_bilstm_attn,-1,05_add_sequence,validation,1585,905,180,0.8165444691918804,0.7771051564837589,0.8152313861740861,251,0.001166944032687578,-0.003982244498854537
esm3_frozen_bilstm_attn,-1,05_add_sequence,test,1669,910,179,0.8107841788402073,0.7829834902821511,0.8320085839382417,263,0.0038281514768598868,0.00035988391976982115
esm3_frozen_bilstm_attn,1,00_q8_only,validation,3367,1148,201,0.5,0.5000000000000008,0.5,459,,
esm3_frozen_bilstm_attn,1,00_q8_only,test,3478,1175,203,0.5,0.4999999999999991,0.5,452,,
esm3_frozen_bilstm_attn,1,01_add_neq,validation,3367,1148,201,0.6995721977309124,0.675745616978932,0.6992739973781008,459,0.1995721977309124,0.1992739973781008
esm3_frozen_bilstm_attn,1,01_add_neq,test,3478,1175,203,0.7340433796069059,0.6971569501114738,0.7287288505394147,452,0.2340433796069059,0.22872885053941472
esm3_frozen_bilstm_attn,1,02_add_exposure_length_position,validation,3367,1148,201,0.7483659207127897,0.7363218947192721,0.7548384465777119,459,0.04879372298187734,0.05556444919961112
esm3_frozen_bilstm_attn,1,02_add_exposure_length_position,test,3478,1175,203,0.7629381908449574,0.7534232401739809,0.7665162733141162,452,0.028894811238051488,0.037787422774701485
esm3_frozen_bilstm_attn,1,03_add_geometry_boundaries,validation,3367,1148,201,0.7963504710356837,0.7899018466541251,0.7996353134208983,459,0.04798455032289395,0.0447968668431864
