condition,sign,model_cohort,receiver_scope,stage,evaluation_split,n_pairs,n_proteins,auroc,average_precision,macro_protein_auroc,delta_auroc_from_previous_stage
esm2_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,00_distance_q8,validation,9182,201,0.5125426053604946,0.511758212847365,0.5336900397414112,
esm2_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,00_distance_q8,test,8860,201,0.5135828667616074,0.5167436971201723,0.5249815663152654,
esm2_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,01_add_query_biophysics,validation,9182,201,0.9531645155229643,0.9622107370924445,0.9415012512226586,0.44062191016246977
esm2_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,01_add_query_biophysics,test,8860,201,0.9610134359306185,0.968169242942468,0.930301060023814,0.44743056916901114
esm2_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,02_add_3d_geometry,validation,9182,201,0.9529865503701637,0.9620877853618984,0.941146512219066,-0.00017796515280066316
esm2_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,02_add_3d_geometry,test,8860,201,0.9609764916948593,0.9680462403993622,0.9309906933606729,-3.694423575917316e-05
esm2_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,03_add_contact_network,validation,9182,201,0.9528790406297623,0.9622463609859913,0.9419784871464336,-0.00010750974040141248
esm2_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,03_add_contact_network,test,8860,201,0.9612803007067152,0.9684826158118445,0.931390686904534,0.0003038090118558934
esm2_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,04_add_community_domain,validation,9182,201,0.9538888540960926,0.9627353295388975,0.9423665870420215,0.0010098134663303338
esm2_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,04_add_community_domain,test,8860,201,0.9617546646938614,0.9689766126576627,0.9335825921671419,0.0004743639871461758
esm2_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,05_add_putative_polar_contacts,validation,9182,201,0.9539884880126164,0.9627429000419934,0.944188525834466,9.963391652378917e-05
esm2_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,05_add_putative_polar_contacts,test,8860,201,0.9622026326615274,0.9692779780055838,0.9356735678183621,0.00044796796766599645
esm2_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,06_add_crystallographic_water_network,validation,9182,201,0.9538442086125456,0.9626459600782378,0.943997584398915,-0.00014427940007077922
esm2_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,06_add_crystallographic_water_network,test,8860,201,0.9622619982265749,0.9692775761504753,0.9343274969195341,5.936556504748669e-05
esm2_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,07_add_source_mechanism_interactions,validation,9182,201,0.9540263963456177,0.9630451438344225,0.9428236974151057,0.00018218773307210334
