condition,sign,stage,evaluation_split,n_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_auroc,base_auroc,delta_auroc_from_base
esm2_top28_bilstm_attn,1,02_base_plus_locked_motifs,test,3763,201,0.8140072536393066,0.8047222105869594,0.8169589817549313,0.8143220768330041,-0.0003148231936974666
esm2_top4_bilstm_attn,-1,00_biophysical_base,validation,1707,184,0.8224687018182592,0.7927061801944566,0.8130594172551537,0.8224687018182592,0.0
esm2_top4_bilstm_attn,-1,00_biophysical_base,test,1774,175,0.823810235762549,0.8010969383421931,0.8444543722120683,0.823810235762549,0.0
esm2_top4_bilstm_attn,-1,01_motif_only,validation,1707,184,0.6931157774146794,0.6730879208729721,0.6630472303679668,0.8224687018182592,-0.1293529244035797
esm2_top4_bilstm_attn,-1,01_motif_only,test,1774,175,0.6882761796110173,0.6301535345301861,0.6476730709891088,0.823810235762549,-0.1355340561515317
esm2_top4_bilstm_attn,-1,02_base_plus_locked_motifs,validation,1707,184,0.8155403408904947,0.7948542351935995,0.8224071442482295,0.8224687018182592,-0.006928360927764499
esm2_top4_bilstm_attn,-1,02_base_plus_locked_motifs,test,1774,175,0.8124923348343274,0.767635244890851,0.8214399296407736,0.823810235762549,-0.011317900928221603
esm2_top4_bilstm_attn,1,00_biophysical_base,validation,3559,203,0.8146320367298614,0.8084830274860184,0.8162606834033233,0.8146320367298614,0.0
esm2_top4_bilstm_attn,1,00_biophysical_base,test,3642,200,0.8158247244704757,0.8014168375267574,0.8115668196098309,0.8158247244704757,0.0
esm2_top4_bilstm_attn,1,01_motif_only,validation,3559,203,0.5388958266514191,0.5320567185032281,0.5329671507629306,0.8146320367298614,-0.2757362100784423
esm2_top4_bilstm_attn,1,01_motif_only,test,3642,200,0.527495822032528,0.5219703374977912,0.5252458092507724,0.8158247244704757,-0.28832890243794773
esm2_top4_bilstm_attn,1,02_base_plus_locked_motifs,validation,3559,203,0.8144479388158741,0.8099684213116052,0.8158059144745046,0.8146320367298614,-0.00018409791398732445
esm2_top4_bilstm_attn,1,02_base_plus_locked_motifs,test,3642,200,0.8161346630675845,0.802673398978765,0.8104678305851599,0.8158247244704757,0.00030993859710881644
esm3_frozen_bilstm_attn,-1,00_biophysical_base,validation,1585,180,0.8153775251591928,0.7744460433770899,0.8192136306729406,0.8153775251591928,0.0
esm3_frozen_bilstm_attn,-1,00_biophysical_base,test,1669,179,0.8069560273633474,0.7792888542726958,0.8316487000184719,0.8069560273633474,0.0
esm3_frozen_bilstm_attn,-1,01_motif_only,validation,1585,180,0.6648926339382947,0.6067370642429457,0.6278621448749758,0.8153775251591928,-0.15048489122089814
esm3_frozen_bilstm_attn,-1,01_motif_only,test,1669,179,0.6689267195374435,0.633909894830329,0.6573732374160131,0.8069560273633474,-0.13802930782590384
esm3_frozen_bilstm_attn,-1,02_base_plus_locked_motifs,validation,1585,180,0.7951328143546657,0.747211235415941,0.7969608819840247,0.8153775251591928,-0.020244710804527166
esm3_frozen_bilstm_attn,-1,02_base_plus_locked_motifs,test,1669,179,0.7980829826916844,0.773652538673512,0.8167497998058835,0.8069560273633474,-0.008873044671662944
esm3_frozen_bilstm_attn,1,00_biophysical_base,validation,3367,201,0.807017987947392,0.7969023495919363,0.8095576356424893,0.807017987947392,0.0
esm3_frozen_bilstm_attn,1,00_biophysical_base,test,3478,203,0.8145302331432124,0.7976825679977603,0.8088230529303538,0.8145302331432124,0.0
esm3_frozen_bilstm_attn,1,01_motif_only,validation,3367,201,0.6246637513306748,0.6182996087792716,0.5842508287635894,0.807017987947392,-0.18235423661671724
esm3_frozen_bilstm_attn,1,01_motif_only,test,3478,203,0.6194483489483228,0.6197646480437258,0.5856432831753627,0.8145302331432124,-0.1950818841948896
esm3_frozen_bilstm_attn,1,02_base_plus_locked_motifs,validation,3367,201,0.8088612143461436,0.8011336505305214,0.8126619418780545,0.807017987947392,0.001843226398751563
esm3_frozen_bilstm_attn,1,02_base_plus_locked_motifs,test,3478,203,0.8173877551024775,0.8029003230417695,0.8096367596472684,0.8145302331432124,0.0028575219592651413
esm3_top28_bilstm_attn,-1,00_biophysical_base,validation,1659,180,0.8383341931191605,0.8160234332313507,0.8441712057263239,0.8383341931191605,0.0
esm3_top28_bilstm_attn,-1,00_biophysical_base,test,1723,177,0.8175532943805659,0.8095944116602,0.8450166395314528,0.8175532943805659,0.0
