condition,seed,split,sign,label,n_protein_rows,weighting,mean_pearson_observed_uniform,n_finite_pearson_observed_uniform,mean_spearman_observed_uniform,n_finite_spearman_observed_uniform,mean_pearson_complete_absolute_magnitude,n_finite_pearson_complete_absolute_magnitude,mean_same_sign_top_decile_overlap,n_finite_same_sign_top_decile_overlap,mean_top_5pct_jaccard,n_finite_top_5pct_jaccard,mean_top_10pct_jaccard,n_finite_top_10pct_jaccard,mean_mean_high_influence_rank_displacement,n_finite_mean_high_influence_rank_displacement,mean_median_high_influence_rank_displacement,n_finite_median_high_influence_rank_displacement,mean_mean_high_influence_rank_displacement_normalized,n_finite_mean_high_influence_rank_displacement_normalized,mean_g_fraction_gt_1,n_finite_g_fraction_gt_1,mean_g_fraction_lt_1,n_finite_g_fraction_lt_1,mean_g_fraction_isclose_1,n_finite_g_fraction_isclose_1,mean_g_minimum,n_finite_g_minimum,mean_g_median,n_finite_g_median,mean_g_mean,n_finite_g_mean,mean_g_maximum,n_finite_g_maximum,mean_pearson_abs_evidence_g,n_finite_pearson_abs_evidence_g,mean_spearman_abs_evidence_g,n_finite_spearman_abs_evidence_g
esm2_top28_bilstm_attn,mean_1_2_3,validation,-1,rigidity_supporting,208,equal protein weighting,0.9460779542095297,208,0.9990833820553496,208,0.8849897316108256,208,0.9821782213723117,208,0.9598879243028142,208,0.9679260076733199,208,0.25951702895366485,208,0.0985576923076923,208,0.0025167857193168493,208,0.22538190353341803,208,0.7746180964665819,208,0.0,208,0.5647534136363763,208,0.6752904284853101,208,0.8206184654325924,208,1.740789171189065,208,0.8124246168529692,208,0.8183289554928965,208
esm2_top28_bilstm_attn,mean_1_2_3,validation,1,flexibility_supporting,208,equal protein weighting,0.9117055163559635,208,0.998373696147983,208,0.8849897316108256,208,0.9743935766536254,208,0.9367939368010069,208,0.9542683345014283,208,0.4241337069927174,208,0.21634615384615385,208,0.0034682223971568816,208,0.4511662689096901,208,0.5488337310903098,208,0.0,208,0.5886655527039972,208,0.9289273011284724,208,1.1338237719085327,208,3.0774340316461464,208,0.9177169177932237,208,0.9963951261245229,208
esm2_top4_bilstm_attn,mean_1_2_3,test,-1,rigidity_supporting,208,equal protein weighting,0.949077640046853,208,0.9995465130387134,208,0.8519151891751622,208,0.9825459874216048,208,0.9479375513877772,208,0.9694367661175605,208,0.2814778189305937,208,0.12980769230769232,208,0.0030665894066694453,208,0.20075266725126867,208,0.7992473327487318,208,0.0,208,0.5885305295421113,208,0.6773012173193238,208,0.7977951754832072,208,1.6443118092824873,208,0.7587466926501831,208,0.6969601679927225,208
esm2_top4_bilstm_attn,mean_1_2_3,test,1,flexibility_supporting,208,equal protein weighting,0.8976024011749641,207,0.9993328717769376,207,0.8519151891751622,208,0.9769014285999835,207,0.9504967120909148,207,0.958038521307997,207,0.4376878218367617,207,0.2922705314009662,207,0.003639959876601039,207,0.4618016135661965,207,0.5381983864338036,207,0.0,207,0.6207725034029175,207,0.9390479263147686,207,1.1649375329445517,207,3.6123843173325443,207,0.9074720935553465,207,0.9966281525282815,207
esm2_top4_bilstm_attn,mean_1_2_3,train,-1,rigidity_supporting,967,equal protein weighting,0.9471581027501765,967,0.999469271309538,967,0.8554808036677235,967,0.9866251598925125,967,0.9665910216956356,967,0.9758841060714318,967,0.2597230673104147,967,0.11427094105480869,967,0.00214359325229598,967,0.20195391047843814,967,0.7980460895215612,967,0.0,967,0.5885989014600451,967,0.6875913975209573,967,0.8050606756531975,967,1.6779289020307897,967,0.7671011805819737,967,0.7199005542901379,967
esm2_top4_bilstm_attn,mean_1_2_3,train,1,flexibility_supporting,967,equal protein weighting,0.9010507932828717,966,0.9991322131918977,966,0.8554808036677235,967,0.9747869273415055,966,0.9431224605433653,966,0.9554086715244678,966,0.4346583292732726,966,0.2525879917184265,966,0.0038162181439140804,966,0.45482399080137886,966,0.5451710082484404,966,5.000950180534301e-06,966,0.6224450882382806,966,0.9374876070162251,966,1.160632612070577,966,3.5544704549014376,966,0.9079576517890001,966,0.9939769467739028,966
esm2_top4_bilstm_attn,mean_1_2_3,validation,-1,rigidity_supporting,208,equal protein weighting,0.9491317467749306,208,0.9995122363434492,208,0.8469043878564432,208,0.9877520068339052,208,0.9665699245450377,208,0.9775659873646502,208,0.2769950438493943,208,0.14903846153846154,208,0.0024970175340641378,208,0.2017099609130762,208,0.7982900390869234,208,0.0,208,0.5751228205619365,208,0.6688484374889619,208,0.7929600718573524,208,1.6414073345683087,208,0.7166435859311695,208,0.6723628486806296,208
esm2_top4_bilstm_attn,mean_1_2_3,validation,1,flexibility_supporting,208,equal protein weighting,0.8928718988119495,208,0.9993450385185996,208,0.8469043878564432,208,0.9682496023092655,208,0.9399515336661828,208,0.943658386113519,208,0.4555237683566815,208,0.23557692307692307,208,0.0041326957074396395,208,0.4490202640259019,208,0.5509797359740982,208,0.0,208,0.6106925064064297,208,0.9307358333517652,208,1.1673337953343574,208,3.744959147970895,208,0.9035854237506602,208,0.9964547273897044,208
esm3_frozen_bilstm_attn,mean_1_2_3,test,-1,rigidity_supporting,208,equal protein weighting,0.9119496183416568,208,0.996186193903021,208,0.7672560706875587,208,0.9263226713184352,208,0.8490594053950713,208,0.8757204043928445,208,1.3487258973254503,208,0.9855769230769231,208,0.011728748378240063,208,0.16658399015527817,208,0.8334160098447219,208,0.0,208,0.4966241527888485,208,0.5948645597091877,208,0.7330801998414247,208,1.9968439106589175,208,0.6261538188259507,208,0.5129674387263711,208
esm3_frozen_bilstm_attn,mean_1_2_3,test,1,flexibility_supporting,208,equal protein weighting,0.8682242489328037,207,0.9871827693804663,207,0.7672560706875587,208,0.876144259522811,207,0.7416096632812573,207,0.794145517075806,207,2.190786392478275,207,1.6642512077294687,207,0.02023564428142691,207,0.4693557851762167,207,0.5306442148237833,207,0.0,207,0.5467204358652737,207,0.9484947706879583,207,1.2509496126162394,207,4.846845505053131,207,0.8818289780633116,207,0.9635804056237297,207
