condition,split,sign,q8,feature,feature_group,n_proteins,n_selected_segments,n_control_segments,selected_macro_protein_mean,control_macro_protein_mean,selected_minus_control_macro_mean,ci95_low,ci95_high,inference_eligible,wilcoxon_p_two_sided,wilcoxon_q_bh
esm3_top28_bilstm_attn,train,-1,E,max_rsa,exposure_length_position,33,57,447,0.3434950720631715,0.3675008663773586,-0.02400579431418718,-0.06711414601518888,0.019102557386814517,True,0.12220912270442319,0.17675988252359
esm3_top28_bilstm_attn,train,-1,E,log_segment_length,exposure_length_position,33,57,447,2.181754503912184,1.85125073295391,0.33050377095827455,0.2494991979669024,0.4115083439496467,True,4.989461724299479e-06,1.393503472441408e-05
esm3_top28_bilstm_attn,train,-1,E,normalized_midpoint,exposure_length_position,33,57,447,0.5275576431900812,0.5167708939394474,0.010786749250633824,-0.07051537327661489,0.09208887177788255,True,0.9928718623167505,1.0
esm3_top28_bilstm_attn,train,-1,E,mean_torsion_change,geometry_boundaries,33,57,447,28.798588105825573,34.985001168458524,-6.186413062632945,-11.673072657397128,-0.6997534678687609,True,0.04634221458528061,0.07512518109847198
esm3_top28_bilstm_attn,train,-1,E,max_torsion_change,geometry_boundaries,33,57,447,103.08440057401721,91.18038550800743,11.904015066009784,-8.576692954388736,32.3847230864083,True,0.35747180664923506,0.445988634962379
esm3_top28_bilstm_attn,train,-1,E,q3_boundary_fraction,geometry_boundaries,33,57,447,0.2967772967772968,0.45059643641511865,-0.1538191396378219,-0.21700984299493328,-0.09062843628071052,True,4.804664723336784e-05,0.00012249891245504627
esm3_top28_bilstm_attn,train,-1,E,mean_distance_to_q3_boundary,geometry_boundaries,33,57,447,1.4728084415584415,0.9652510998064839,0.5075573417519578,0.3097387297876158,0.7053759537162998,True,0.00010180347535350767,0.0002514015805184018
esm3_top28_bilstm_attn,train,-1,E,structured_linker_fraction,geometry_boundaries,33,57,447,0.0,0.0,0.0,0.0,0.0,True,1.0,1.0
esm3_top28_bilstm_attn,train,-1,E,mean_disorder,disorder,33,57,447,0.0029287781457708905,0.0072584267804557115,-0.0043296486346848205,-0.006844554341464007,-0.001814742927905634,True,6.037824839907301e-05,0.00015294710989488937
esm3_top28_bilstm_attn,train,-1,E,max_disorder,disorder,33,57,447,0.006432008875274888,0.011424639325812252,-0.004992630450537366,-0.008368552583241724,-0.0016167083178330083,True,0.00016911500225750582,0.0004070300710502174
esm3_top28_bilstm_attn,train,-1,E,fraction_glycine,sequence,33,57,447,0.028356891425073246,0.0388531696099938,-0.010496278184920561,-0.029909883044419466,0.008917326674578346,True,0.04165273092627265,0.06808476695078791
esm3_top28_bilstm_attn,train,-1,E,fraction_proline,sequence,33,57,447,0.006490090296908479,0.021163933200864137,-0.014673842903955656,-0.026149297450469795,-0.003198388357441519,True,0.0041605849929366,0.008187245576229319
esm3_top28_bilstm_attn,train,-1,E,fraction_hydrophobic,sequence,33,57,447,0.5696544722112904,0.5412911723076129,0.028363299903677426,-0.017532803443121192,0.07425940325047604,True,0.1554643746373847,0.21904903952643567
esm3_top28_bilstm_attn,train,-1,E,fraction_charged,sequence,33,57,447,0.18784735887008613,0.1942044482706265,-0.006357089400540375,-0.0691371694073219,0.05642299060624115,True,0.5614396639119171,0.6530742137089572
esm3_top28_bilstm_attn,train,-1,E,fraction_aromatic,sequence,33,57,447,0.15008476722491873,0.13554517593966708,0.014539591285251669,-0.027367915241720643,0.05644709781222398,True,0.32574004469491014,0.4127641008547664
esm3_top28_bilstm_attn,train,-1,E,sequence_entropy,sequence,33,57,447,2.4334094818181677,2.0953243738352385,0.3380851079829298,0.18597097623503062,0.49019923973082896,True,0.00038999365261257655,0.0008953512686099237
esm3_top28_bilstm_attn,train,-1,C,mean_neq,neq,4,5,89,1.0,1.2989062535732567,-0.2989062535732568,,,False,,
esm3_top28_bilstm_attn,train,-1,C,max_neq,neq,4,5,89,1.0,1.5215937898834961,-0.5215937898834961,,,False,,
esm3_top28_bilstm_attn,train,-1,C,neq_peak_fraction,neq,4,5,89,0.0,0.06321338207973944,-0.06321338207973944,,,False,,
esm3_top28_bilstm_attn,train,-1,C,neq_peak_excess,neq,4,5,89,0.0,0.22268753631023952,-0.22268753631023952,,,False,,
esm3_top28_bilstm_attn,train,-1,C,mean_rsa,exposure_length_position,4,5,89,0.3021052953166266,0.32291709089779075,-0.020811795581164166,,,False,,
esm3_top28_bilstm_attn,train,-1,C,max_rsa,exposure_length_position,4,5,89,0.4974224269390106,0.40885391210261846,0.08856851483639212,,,False,,
esm3_top28_bilstm_attn,train,-1,C,log_segment_length,exposure_length_position,4,5,89,1.5242297634827289,1.1002414238933609,0.42398833958936816,,,False,,
esm3_top28_bilstm_attn,train,-1,C,normalized_midpoint,exposure_length_position,4,5,89,0.48349363055245403,0.5234278312383888,-0.03993420068593466,,,False,,
esm3_top28_bilstm_attn,train,-1,C,mean_torsion_change,geometry_boundaries,4,5,89,77.3574537622439,84.0866084552344,-6.729154692990495,,,False,,
esm3_top28_bilstm_attn,train,-1,C,max_torsion_change,geometry_boundaries,4,5,89,119.4450838617441,113.18838933488115,6.256694526862955,,,False,,
esm3_top28_bilstm_attn,train,-1,C,q3_boundary_fraction,geometry_boundaries,4,5,89,0.4583333333333333,0.6289939114528571,-0.17066057811952376,,,False,,
esm3_top28_bilstm_attn,train,-1,C,mean_distance_to_q3_boundary,geometry_boundaries,4,5,89,1.375,0.7982365361401278,0.5767634638598722,,,False,,
esm3_top28_bilstm_attn,train,-1,C,structured_linker_fraction,geometry_boundaries,4,5,89,0.625,0.8285053568292253,-0.2035053568292255,,,False,,
esm3_top28_bilstm_attn,train,-1,C,mean_disorder,disorder,4,5,89,0.022877236173371743,0.044395375262818323,-0.02151813908944658,,,False,,
esm3_top28_bilstm_attn,train,-1,C,max_disorder,disorder,4,5,89,0.03350280245649625,0.0682700099952906,-0.03476720753879435,,,False,,
esm3_top28_bilstm_attn,train,-1,C,fraction_glycine,sequence,4,5,89,0.020833333333333332,0.07515733052147781,-0.054323997188144485,,,False,,
esm3_top28_bilstm_attn,train,-1,C,fraction_proline,sequence,4,5,89,0.0,0.10454051563837291,-0.10454051563837291,,,False,,
esm3_top28_bilstm_attn,train,-1,C,fraction_hydrophobic,sequence,4,5,89,0.41666666666666663,0.2685307611746345,0.14813590549203218,,,False,,
esm3_top28_bilstm_attn,train,-1,C,fraction_charged,sequence,4,5,89,0.20833333333333331,0.22076731073569666,-0.012433977402363329,,,False,,
esm3_top28_bilstm_attn,train,-1,C,fraction_aromatic,sequence,4,5,89,0.041666666666666664,0.05115161266733189,-0.00948494600066522,,,False,,
esm3_top28_bilstm_attn,train,-1,C,sequence_entropy,sequence,4,5,89,1.7303885422075336,0.7797065842458983,0.9506819579616353,,,False,,
esm3_top28_bilstm_attn,train,-1,T,mean_neq,neq,2,2,52,1.0,1.3690827777777779,-0.36908277777777776,,,False,,
esm3_top28_bilstm_attn,train,-1,T,max_neq,neq,2,2,52,1.0,1.50349,-0.50349,,,False,,
esm3_top28_bilstm_attn,train,-1,T,neq_peak_fraction,neq,2,2,52,0.0,0.07333333333333333,-0.07333333333333333,,,False,,
esm3_top28_bilstm_attn,train,-1,T,neq_peak_excess,neq,2,2,52,0.0,0.13440722222222223,-0.13440722222222223,,,False,,
esm3_top28_bilstm_attn,train,-1,T,mean_rsa,exposure_length_position,2,2,52,0.2701871854563554,0.44296833112835887,-0.17278114567200345,,,False,,
esm3_top28_bilstm_attn,train,-1,T,max_rsa,exposure_length_position,2,2,52,0.4346471577882767,0.5209281584620475,-0.0862810006737709,,,False,,
esm3_top28_bilstm_attn,train,-1,T,log_segment_length,exposure_length_position,2,2,52,1.2424533248940002,1.0666962400308466,0.17575708486315345,,,False,,
esm3_top28_bilstm_attn,train,-1,T,normalized_midpoint,exposure_length_position,2,2,52,0.47884103757898233,0.5555665114732292,-0.07672547389424683,,,False,,
esm3_top28_bilstm_attn,train,-1,T,mean_torsion_change,geometry_boundaries,2,2,52,80.65314594511523,95.395610658708,-14.74246471359276,,,False,,
esm3_top28_bilstm_attn,train,-1,T,max_torsion_change,geometry_boundaries,2,2,52,159.18682963758192,155.1168036309505,4.070026006631409,,,False,,
esm3_top28_bilstm_attn,train,-1,T,q3_boundary_fraction,geometry_boundaries,2,2,52,0.5833333333333333,0.1383333333333333,0.445,,,False,,
esm3_top28_bilstm_attn,train,-1,T,mean_distance_to_q3_boundary,geometry_boundaries,2,2,52,0.41666666666666663,3.06,-2.6433333333333335,,,False,,
esm3_top28_bilstm_attn,train,-1,T,structured_linker_fraction,geometry_boundaries,2,2,52,1.0,0.89,0.10999999999999999,,,False,,
esm3_top28_bilstm_attn,train,-1,T,mean_disorder,disorder,2,2,52,0.020167450517571166,0.0271010521208154,-0.0069336016032442325,,,False,,
esm3_top28_bilstm_attn,train,-1,T,max_disorder,disorder,2,2,52,0.0208243210217915,0.030007867332387795,-0.009183546310596298,,,False,,
esm3_top28_bilstm_attn,train,-1,T,fraction_glycine,sequence,2,2,52,0.25,0.26666666666666666,-0.016666666666666663,,,False,,
esm3_top28_bilstm_attn,train,-1,T,fraction_proline,sequence,2,2,52,0.0,0.02,-0.02,,,False,,
esm3_top28_bilstm_attn,train,-1,T,fraction_hydrophobic,sequence,2,2,52,0.0,0.1383333333333333,-0.1383333333333333,,,False,,
esm3_top28_bilstm_attn,train,-1,T,fraction_charged,sequence,2,2,52,0.16666666666666666,0.20833333333333331,-0.04166666666666666,,,False,,
esm3_top28_bilstm_attn,train,-1,T,fraction_aromatic,sequence,2,2,52,0.0,0.05,-0.05,,,False,,
esm3_top28_bilstm_attn,train,-1,T,sequence_entropy,sequence,2,2,52,1.292481250360578,0.9075488750216347,0.3849323753389433,,,False,,
esm3_top28_bilstm_attn,train,-1,G,mean_neq,neq,7,7,37,1.0142,1.3885778817082388,-0.37437788170823877,,,False,,
esm3_top28_bilstm_attn,train,-1,G,max_neq,neq,7,7,37,1.071,1.7472318594104306,-0.6762318594104306,,,False,,
esm3_top28_bilstm_attn,train,-1,G,neq_peak_fraction,neq,7,7,37,0.0,0.15901360544217685,-0.15901360544217685,,,False,,
esm3_top28_bilstm_attn,train,-1,G,neq_peak_excess,neq,7,7,37,0.056800000000000024,0.35865397770219204,-0.301853977702192,,,False,,
esm3_top28_bilstm_attn,train,-1,G,mean_rsa,exposure_length_position,7,7,37,0.33850487548680536,0.4007940144453392,-0.062289138958533864,,,False,,
esm3_top28_bilstm_attn,train,-1,G,max_rsa,exposure_length_position,7,7,37,0.5297048709222248,0.5318423264919697,-0.0021374555697449204,,,False,,
esm3_top28_bilstm_attn,train,-1,G,log_segment_length,exposure_length_position,7,7,37,1.3770745723859519,1.1465283819781578,0.23054619040779403,,,False,,
esm3_top28_bilstm_attn,train,-1,G,normalized_midpoint,exposure_length_position,7,7,37,0.49037025690979774,0.45278616814967176,0.03758408876012583,,,False,,
esm3_top28_bilstm_attn,train,-1,G,mean_torsion_change,geometry_boundaries,7,7,37,48.29872448412465,44.81388713074108,3.484837353383566,,,False,,
esm3_top28_bilstm_attn,train,-1,G,max_torsion_change,geometry_boundaries,7,7,37,136.4712311883793,83.70836248670219,52.762868701677135,,,False,,
esm3_top28_bilstm_attn,train,-1,G,q3_boundary_fraction,geometry_boundaries,7,7,37,0.3380952380952381,0.37440476190476196,-0.03630952380952381,,,False,,
esm3_top28_bilstm_attn,train,-1,G,mean_distance_to_q3_boundary,geometry_boundaries,7,7,37,0.7666666666666666,1.2212301587301588,-0.4545634920634921,,,False,,
esm3_top28_bilstm_attn,train,-1,G,structured_linker_fraction,geometry_boundaries,7,7,37,0.0,0.0,0.0,,,False,,
esm3_top28_bilstm_attn,train,-1,G,mean_disorder,disorder,7,7,37,0.016784906230445554,0.025217017704625394,-0.008432111474179842,,,False,,
esm3_top28_bilstm_attn,train,-1,G,max_disorder,disorder,7,7,37,0.022640766509409414,0.0280264331618653,-0.005385666652455884,,,False,,
esm3_top28_bilstm_attn,train,-1,G,fraction_glycine,sequence,7,7,37,0.0,0.0,0.0,,,False,,
esm3_top28_bilstm_attn,train,-1,G,fraction_proline,sequence,7,7,37,0.09523809523809523,0.0738095238095238,0.021428571428571415,,,False,,
esm3_top28_bilstm_attn,train,-1,G,fraction_hydrophobic,sequence,7,7,37,0.3404761904761905,0.38636621315192743,-0.045890022675736934,,,False,,
esm3_top28_bilstm_attn,train,-1,G,fraction_charged,sequence,7,7,37,0.42142857142857143,0.3392857142857143,0.08214285714285714,,,False,,
esm3_top28_bilstm_attn,train,-1,G,fraction_aromatic,sequence,7,7,37,0.0642857142857143,0.14549319727891155,-0.08120748299319727,,,False,,
esm3_top28_bilstm_attn,train,-1,G,sequence_entropy,sequence,7,7,37,1.451682585395998,1.0095713025859456,0.4421112828100524,,,False,,
esm3_top28_bilstm_attn,validation,-1,H,mean_neq,neq,155,680,633,1.062874081496946,1.180086758586487,-0.11721267708954111,-0.15989078691213265,-0.07453456726694956,True,1.4493810747935542e-11,6.230073963682919e-11
esm3_top28_bilstm_attn,validation,-1,H,max_neq,neq,155,680,633,1.5832057473947796,1.636988666984151,-0.053782919589371175,-0.15969444366616978,0.05212860448742743,True,0.5400341187311852,0.631679375922232
esm3_top28_bilstm_attn,validation,-1,H,neq_peak_fraction,neq,155,680,633,0.012647424691815913,0.04273925337858172,-0.030091828686765805,-0.04664298483557078,-0.013540672537960832,True,0.00019267553175594294,0.00045891808472779135
esm3_top28_bilstm_attn,validation,-1,H,neq_peak_excess,neq,155,680,633,0.5203316658978338,0.45690190839766404,0.0634297575001699,-0.020706721968766578,0.14756623696910637,True,0.07998952538605573,0.12164244573634014
esm3_top28_bilstm_attn,validation,-1,H,mean_rsa,exposure_length_position,155,680,633,0.2679590131342476,0.31220852678322925,-0.04424951364898166,-0.061082449989258,-0.027416577308705316,True,1.1785107550447085e-06,3.4749014867395424e-06
esm3_top28_bilstm_attn,validation,-1,H,max_rsa,exposure_length_position,155,680,633,0.6344712188909785,0.5499857742779388,0.08448544461303964,0.05695250267177375,0.11201838655430553,True,1.0319338399027638e-09,3.91565516354828e-09
esm3_top28_bilstm_attn,validation,-1,H,log_segment_length,exposure_length_position,155,680,633,2.7426018430207373,2.0245845777011877,0.7180172653195502,0.6359283204566247,0.8001062101824757,True,3.50613073389097e-25,2.686731378533164e-24
esm3_top28_bilstm_attn,validation,-1,H,normalized_midpoint,exposure_length_position,155,680,633,0.515377899742339,0.4753346895641885,0.04004321017815042,-0.0008193936198709964,0.08090581397617183,True,0.04939984025396719,0.07956613614675863
esm3_top28_bilstm_attn,validation,-1,H,mean_torsion_change,geometry_boundaries,155,680,633,15.696427993114623,25.88387725175217,-10.187449258637546,-12.52131619393275,-7.8535823233423425,True,1.2278356829259981e-15,6.458462645754151e-15
esm3_top28_bilstm_attn,validation,-1,H,max_torsion_change,geometry_boundaries,155,680,633,142.97967948699863,110.64183400920946,32.337845477789166,23.59145780243854,41.08423315313979,True,1.325906675435762e-10,5.403806317220416e-10
esm3_top28_bilstm_attn,validation,-1,H,q3_boundary_fraction,geometry_boundaries,155,680,633,0.16367654560055023,0.3491764175671309,-0.1854998719665807,-0.2141210914907258,-0.15687865244243557,True,1.6818622360480715e-24,1.2338141363648652e-23
esm3_top28_bilstm_attn,validation,-1,H,mean_distance_to_q3_boundary,geometry_boundaries,155,680,633,3.3348861697915164,1.833674134907198,1.5012120348843176,1.2838807760978919,1.7185432936707434,True,6.059522422561683e-24,4.285281795492851e-23
esm3_top28_bilstm_attn,validation,-1,H,structured_linker_fraction,geometry_boundaries,155,680,633,0.0,0.0,0.0,0.0,0.0,True,1.0,1.0
esm3_top28_bilstm_attn,validation,-1,H,mean_disorder,disorder,155,680,633,0.009349281123256219,0.036269812474550474,-0.026920531351294255,-0.03405794862193575,-0.01978311408065276,True,1.5737335812388468e-20,9.975440281078497e-20
esm3_top28_bilstm_attn,validation,-1,H,max_disorder,disorder,155,680,633,0.028062740252913283,0.058269937007748504,-0.030207196754835217,-0.039872984678340925,-0.02054140883132951,True,5.012092072786417e-10,1.958560410828897e-09
esm3_top28_bilstm_attn,validation,-1,H,fraction_glycine,sequence,155,680,633,0.028747426682387937,0.02660301107342232,0.002144415608965617,-0.005550144387319044,0.009838975605250277,True,0.034143689876360926,0.056868100651133145
esm3_top28_bilstm_attn,validation,-1,H,fraction_proline,sequence,155,680,633,0.013319407295265569,0.02947250001967499,-0.016153092724409415,-0.025251882466992368,-0.007054302981826462,True,0.0141629849292948,0.02534962364378009
esm3_top28_bilstm_attn,validation,-1,H,fraction_hydrophobic,sequence,155,680,633,0.48410908507599787,0.49109698233628973,-0.006987897260291759,-0.035175215115430765,0.021199420594847244,True,0.9522774869363607,0.9949545638290651
esm3_top28_bilstm_attn,validation,-1,H,fraction_charged,sequence,155,680,633,0.2772304878481129,0.26694122457830294,0.010289263269809912,-0.01805251451922056,0.03863104105884039,True,0.09449614872729725,0.14105203751969328
esm3_top28_bilstm_attn,validation,-1,H,fraction_aromatic,sequence,155,680,633,0.08919454892540435,0.10657111981085175,-0.017376570885447393,-0.03670177846688823,0.00194863669599344,True,0.7599938515030724,0.8369668076400929
