condition,sign,stage,evaluation_split,n_segments,n_selected_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_concordance,n_matched_protein_q8_strata,delta_auroc_from_previous_stage,delta_concordance_from_previous_stage
esm2_frozen_bilstm_attn,1,02_add_exposure_length_position,validation,6848,1071,206,0.8039909260830462,0.7999179317788416,0.8107568371554034,492,0.05053713998657927,0.06606438741324194
esm2_frozen_bilstm_attn,1,02_add_exposure_length_position,test,6894,1027,201,0.8053994734963356,0.7999480563200213,0.8143891065296721,459,0.0691825621240496,0.07624560272671399
esm2_frozen_bilstm_attn,1,03_add_geometry_boundaries,validation,6848,1071,206,0.8160401407029814,0.8066091537634252,0.818001391153515,492,0.012049214619935134,0.007244553998111636
esm2_frozen_bilstm_attn,1,03_add_geometry_boundaries,test,6894,1027,201,0.8255713027006664,0.8154030055486522,0.8229662679819653,459,0.020171829204330805,0.008577161452293147
esm2_frozen_bilstm_attn,1,04_add_disorder,validation,6848,1071,206,0.8182849662976428,0.810834487562417,0.8218496073162298,492,0.002244825594661437,0.0038482161627148015
esm2_frozen_bilstm_attn,1,04_add_disorder,test,6894,1027,201,0.8260412169656696,0.8175071740790824,0.8228322308132874,459,0.00046991426500320177,-0.00013403716867788074
esm2_frozen_bilstm_attn,1,05_add_sequence,validation,6848,1071,206,0.8242747095181173,0.8175092204111234,0.828141420183012,492,0.005989743220474519,0.006291812866782154
esm2_frozen_bilstm_attn,1,05_add_sequence,test,6894,1027,201,0.8262190953488134,0.8190324529908883,0.8215804812913495,459,0.00017787838314387017,-0.0012517495219378505
esm2_top28_bilstm_attn,-1,00_q8_only,validation,1351,626,156,0.5,0.499999999999999,0.5,156,,
esm2_top28_bilstm_attn,-1,00_q8_only,test,1401,625,159,0.5,0.49999999999999983,0.5,161,,
esm2_top28_bilstm_attn,-1,01_add_neq,validation,1351,626,156,0.7481857661098108,0.7049932333489152,0.7539158307671565,156,0.2481857661098108,0.2539158307671565
esm2_top28_bilstm_attn,-1,01_add_neq,test,1401,625,159,0.783380598290575,0.7438738673588589,0.7886479236240772,161,0.28338059829057505,0.2886479236240772
esm2_top28_bilstm_attn,-1,02_add_exposure_length_position,validation,1351,626,156,0.8570375431955134,0.7978646601764935,0.8781965127575247,156,0.1088517770857026,0.12428068199036824
esm2_top28_bilstm_attn,-1,02_add_exposure_length_position,test,1401,625,159,0.8699338674156702,0.839111680056716,0.9077509236289535,161,0.0865532691250952,0.11910300000487628
esm2_top28_bilstm_attn,-1,03_add_geometry_boundaries,validation,1351,626,156,0.868658095804302,0.8247462444384396,0.8856467968859741,156,0.011620552608788581,0.0074502841284493915
esm2_top28_bilstm_attn,-1,03_add_geometry_boundaries,test,1401,625,159,0.8824594267501391,0.8513016524287703,0.9093425942840144,161,0.012525559334468861,0.0015916706550609394
esm2_top28_bilstm_attn,-1,04_add_disorder,validation,1351,626,156,0.8685961443197092,0.8245992409063667,0.8835496983826258,156,-6.195148459275934e-05,-0.0020970985033483824
esm2_top28_bilstm_attn,-1,04_add_disorder,test,1401,625,159,0.8825385126038472,0.8519631644466423,0.9070628088520549,161,7.908585370808296e-05,-0.0022797854319595023
esm2_top28_bilstm_attn,-1,05_add_sequence,validation,1351,626,156,0.8766845655279178,0.8413416372869587,0.8859506764830087,156,0.00808842120820863,0.0024009781003829778
esm2_top28_bilstm_attn,-1,05_add_sequence,test,1401,625,159,0.8878353430654287,0.8627972086525684,0.9104936408326874,161,0.00529683046158147,0.0034308319806324317
esm2_top28_bilstm_attn,1,00_q8_only,validation,6688,1174,206,0.5,0.4999999999999992,0.5,509,,
esm2_top28_bilstm_attn,1,00_q8_only,test,6770,1160,204,0.5,0.5000000000000036,0.5,486,,
esm2_top28_bilstm_attn,1,01_add_neq,validation,6688,1174,206,0.7479328391034941,0.7371543829197055,0.7497109688010885,509,0.24793283910349406,0.24971096880108845
esm2_top28_bilstm_attn,1,01_add_neq,test,6770,1160,204,0.7479345638964767,0.7264913341836184,0.7456734019947873,486,0.24793456389647672,0.24567340199478727
esm2_top28_bilstm_attn,1,02_add_exposure_length_position,validation,6688,1174,206,0.8058059569968763,0.7990075817201183,0.8011388400309517,509,0.05787311789338223,0.05142787122986325
esm2_top28_bilstm_attn,1,02_add_exposure_length_position,test,6770,1160,204,0.814592787447836,0.8015648845064519,0.8231646030830579,486,0.06665822355135931,0.07749120108827068
esm2_top28_bilstm_attn,1,03_add_geometry_boundaries,validation,6688,1174,206,0.8390153933052791,0.8233684473794093,0.8402344327428776,509,0.033209436308402784,0.039095592711925864
esm2_top28_bilstm_attn,1,03_add_geometry_boundaries,test,6770,1160,204,0.8426396943122275,0.828661785820174,0.8405262145834907,486,0.028046906864391485,0.017361611500432805
esm2_top28_bilstm_attn,1,04_add_disorder,validation,6688,1174,206,0.8442636344806522,0.8269450318002758,0.8445051996644859,509,0.005248241175373147,0.004270766921608327
esm2_top28_bilstm_attn,1,04_add_disorder,test,6770,1160,204,0.8484763344597543,0.8316856132719675,0.8461139428578016,486,0.005836640147526828,0.005587728274310866
esm2_top28_bilstm_attn,1,05_add_sequence,validation,6688,1174,206,0.8463106627173735,0.8294882654524688,0.8436221018920591,509,0.0020470282367213155,-0.0008830977724267886
esm2_top28_bilstm_attn,1,05_add_sequence,test,6770,1160,204,0.8492928778926914,0.8323534435087296,0.846950935392983,486,0.0008165434329370225,0.0008369925351814356
esm2_top4_bilstm_attn,-1,00_q8_only,validation,1327,641,150,0.5,0.49999999999999933,0.5,152,,
esm2_top4_bilstm_attn,-1,00_q8_only,test,1468,644,159,0.5,0.49999999999999967,0.5,165,,
esm2_top4_bilstm_attn,-1,01_add_neq,validation,1327,641,150,0.7484757363852221,0.6924385782845968,0.7633166092689688,152,0.24847573638522213,0.2633166092689688
esm2_top4_bilstm_attn,-1,01_add_neq,test,1468,644,159,0.7785270087863742,0.7084416163514653,0.7934108878602025,165,0.27852700878637415,0.29341088786020253
esm2_top4_bilstm_attn,-1,02_add_exposure_length_position,validation,1327,641,150,0.8548495022535415,0.8145057411355294,0.8696245819377858,152,0.10637376586831937,0.10630797266881697
esm2_top4_bilstm_attn,-1,02_add_exposure_length_position,test,1468,644,159,0.8672121357677708,0.8276184971512845,0.9008230387804701,165,0.08868512698139663,0.10741215092026757
esm2_top4_bilstm_attn,-1,03_add_geometry_boundaries,validation,1327,641,150,0.862459921377285,0.8247294455064834,0.8706898653240286,152,0.007610419123743495,0.001065283386242788
esm2_top4_bilstm_attn,-1,03_add_geometry_boundaries,test,1468,644,159,0.8725405692753762,0.8348692239252292,0.9050140468398044,165,0.005328433507605368,0.004191008059334256
esm2_top4_bilstm_attn,-1,04_add_disorder,validation,1327,641,150,0.8621529858233099,0.822696631961797,0.8692386827388644,152,-0.0003069355539750962,-0.0014511825851641902
esm2_top4_bilstm_attn,-1,04_add_disorder,test,1468,644,159,0.872468344965001,0.8302754162954662,0.9018724441410227,165,-7.222431037512411e-05,-0.0031416026987816092
esm2_top4_bilstm_attn,-1,05_add_sequence,validation,1327,641,150,0.86575409607651,0.8300547889715164,0.8725625653000407,152,0.0036011102532000905,0.003323882561176328
esm2_top4_bilstm_attn,-1,05_add_sequence,test,1468,644,159,0.8756397189448777,0.8338681337403386,0.9052324491352268,165,0.003171373979876657,0.00336000499420408
esm2_top4_bilstm_attn,1,00_q8_only,validation,6830,1168,206,0.5,0.4999999999999992,0.5,509,,
esm2_top4_bilstm_attn,1,00_q8_only,test,6744,1192,205,0.5,0.5000000000000043,0.5,483,,
esm2_top4_bilstm_attn,1,01_add_neq,validation,6830,1168,206,0.7487741725114385,0.7325844084858253,0.7466210348667024,509,0.24877417251143852,0.2466210348667024
esm2_top4_bilstm_attn,1,01_add_neq,test,6744,1192,205,0.7258173017511055,0.6971684026296885,0.7320733621543507,483,0.22581730175110548,0.2320733621543507
esm2_top4_bilstm_attn,1,02_add_exposure_length_position,validation,6830,1168,206,0.8088965081854356,0.7977638205765999,0.8154546673472735,509,0.06012233567399705,0.06883363248057106
esm2_top4_bilstm_attn,1,02_add_exposure_length_position,test,6744,1192,205,0.7977958425696947,0.7806933348382158,0.8082257825444338,483,0.07197854081858923,0.07615242039008308
esm2_top4_bilstm_attn,1,03_add_geometry_boundaries,validation,6830,1168,206,0.8386903792440263,0.8318218667359006,0.8382559050701622,509,0.02979387105859077,0.02280123772288878
esm2_top4_bilstm_attn,1,03_add_geometry_boundaries,test,6744,1192,205,0.8325418109529623,0.8211200976682946,0.83031322734183,483,0.0347459683832676,0.022087444797396216
esm2_top4_bilstm_attn,1,04_add_disorder,validation,6830,1168,206,0.8474537353099375,0.8399572713272258,0.8493592466587163,509,0.008763356065911165,0.011103341588554083
esm2_top4_bilstm_attn,1,04_add_disorder,test,6744,1192,205,0.840762759305299,0.8287068481452959,0.8345938163463363,483,0.008220948352336666,0.004280589004506341
esm2_top4_bilstm_attn,1,05_add_sequence,validation,6830,1168,206,0.8497041247793733,0.8431856851640541,0.8537498750178301,509,0.0022503894694357873,0.004390628359113746
esm2_top4_bilstm_attn,1,05_add_sequence,test,6744,1192,205,0.8455406938818417,0.835311504903387,0.8413718883729636,483,0.004777934576542742,0.00677807202662728
esm3_frozen_bilstm_attn,-1,00_q8_only,validation,1440,675,159,0.5,0.49999999999999983,0.5,168,,
esm3_frozen_bilstm_attn,-1,00_q8_only,test,1540,704,166,0.5,0.5000000000000023,0.5,171,,
esm3_frozen_bilstm_attn,-1,01_add_neq,validation,1440,675,159,0.7164337237817099,0.656550691171303,0.7305022619209127,168,0.21643372378170989,0.23050226192091272
esm3_frozen_bilstm_attn,-1,01_add_neq,test,1540,704,166,0.7492704908087652,0.7122284455938614,0.7671043269940894,171,0.24927049080876518,0.26710432699408937
esm3_frozen_bilstm_attn,-1,02_add_exposure_length_position,validation,1440,675,159,0.8212241723784134,0.7710728379894268,0.8447673902100986,168,0.1047904485967035,0.11426512828918589
esm3_frozen_bilstm_attn,-1,02_add_exposure_length_position,test,1540,704,166,0.852845629418434,0.819104998179033,0.8783591565215889,171,0.10357513860966883,0.11125482952749954
