condition,split,sign,label,mechanism_class,n_bands,n_proteins,band_fraction,macro_protein_fraction
esm3_top28_bilstm_attn,test,1,flexibility_supporting,combined,1051,199,0.9400715563506261,0.9368748344472553
esm3_top28_bilstm_attn,test,1,flexibility_supporting,consultation_dominated,23,19,0.020572450805008944,0.34676955311630236
esm3_top28_bilstm_attn,test,1,flexibility_supporting,evidence_dominated,31,20,0.027728085867620753,0.24175955988455988
esm3_top28_bilstm_attn,test,1,flexibility_supporting,not_magnitude_enriched,1,1,0.0008944543828264759,0.2
esm3_top28_bilstm_attn,test,1,flexibility_supporting,unclassified,12,10,0.01073345259391771,0.2938095238095238
esm3_top28_bilstm_attn,train,-1,rigidity_supporting,combined,2547,620,0.7667068031306442,0.8598335732340276
esm3_top28_bilstm_attn,train,-1,rigidity_supporting,consultation_dominated,6,6,0.001806140878988561,0.8333333333333334
esm3_top28_bilstm_attn,train,-1,rigidity_supporting,evidence_dominated,769,395,0.23148705599036726,0.6124131255567161
esm3_top28_bilstm_attn,train,1,flexibility_supporting,combined,4845,910,0.9413250437147853,0.9371250707406942
esm3_top28_bilstm_attn,train,1,flexibility_supporting,consultation_dominated,119,92,0.02312026423159122,0.3092250593609289
esm3_top28_bilstm_attn,train,1,flexibility_supporting,evidence_dominated,137,96,0.026617447056537787,0.31967613266865985
esm3_top28_bilstm_attn,train,1,flexibility_supporting,unclassified,46,42,0.008937244997085682,0.5018707482993198
esm3_top28_bilstm_attn,validation,-1,rigidity_supporting,combined,575,149,0.7728494623655914,0.8565393219755636
esm3_top28_bilstm_attn,validation,-1,rigidity_supporting,evidence_dominated,169,88,0.2271505376344086,0.5497231934731934
esm3_top28_bilstm_attn,validation,1,flexibility_supporting,combined,1095,204,0.9464131374243734,0.9373229847494553
esm3_top28_bilstm_attn,validation,1,flexibility_supporting,consultation_dominated,17,15,0.014693171996542784,0.31925925925925924
esm3_top28_bilstm_attn,validation,1,flexibility_supporting,evidence_dominated,37,29,0.03197925669835782,0.24530651340996168
esm3_top28_bilstm_attn,validation,1,flexibility_supporting,not_magnitude_enriched,2,2,0.001728608470181504,0.3333333333333333
esm3_top28_bilstm_attn,validation,1,flexibility_supporting,unclassified,6,6,0.005185825410544511,0.36944444444444446
esm3_top4_bilstm_attn,test,-1,rigidity_supporting,combined,526,147,0.743988684582744,0.8605572243327345
esm3_top4_bilstm_attn,test,-1,rigidity_supporting,evidence_dominated,180,82,0.2545968882602546,0.6219279027205856
esm3_top4_bilstm_attn,test,-1,rigidity_supporting,unclassified,1,1,0.0014144271570014145,0.5
esm3_top4_bilstm_attn,test,1,flexibility_supporting,combined,1017,202,0.93646408839779,0.9352774019637988
esm3_top4_bilstm_attn,test,1,flexibility_supporting,consultation_dominated,10,9,0.009208103130755065,0.37407407407407406
esm3_top4_bilstm_attn,test,1,flexibility_supporting,evidence_dominated,44,30,0.040515653775322284,0.2915395675178284
esm3_top4_bilstm_attn,test,1,flexibility_supporting,unclassified,15,11,0.013812154696132596,0.451010101010101
esm3_top4_bilstm_attn,train,-1,rigidity_supporting,combined,2391,619,0.7269686834904227,0.8310645085483536
esm3_top4_bilstm_attn,train,-1,rigidity_supporting,consultation_dominated,5,4,0.0015202189115232593,0.875
esm3_top4_bilstm_attn,train,-1,rigidity_supporting,evidence_dominated,893,432,0.27151109759805414,0.6344237713161325
esm3_top4_bilstm_attn,train,1,flexibility_supporting,combined,4881,929,0.9379323597232898,0.9327840279562561
esm3_top4_bilstm_attn,train,1,flexibility_supporting,consultation_dominated,83,69,0.015949269792467333,0.3336846728151076
esm3_top4_bilstm_attn,train,1,flexibility_supporting,evidence_dominated,177,115,0.03401229823212913,0.30927838827838827
esm3_top4_bilstm_attn,train,1,flexibility_supporting,unclassified,63,56,0.01210607225211376,0.4437925170068027
esm3_top4_bilstm_attn,validation,-1,rigidity_supporting,combined,528,149,0.7652173913043478,0.8573954196437418
esm3_top4_bilstm_attn,validation,-1,rigidity_supporting,evidence_dominated,162,82,0.23478260869565218,0.5518058838180789
esm3_top4_bilstm_attn,validation,1,flexibility_supporting,combined,1046,206,0.9500454132606722,0.941108150210092
esm3_top4_bilstm_attn,validation,1,flexibility_supporting,consultation_dominated,11,11,0.009990917347865577,0.2547979797979798
esm3_top4_bilstm_attn,validation,1,flexibility_supporting,evidence_dominated,31,24,0.02815622161671208,0.22990967365967366
esm3_top4_bilstm_attn,validation,1,flexibility_supporting,unclassified,13,10,0.011807447774750226,0.38111111111111107
