condition,split,sign,q8,n_selected_segments,n_proteins,structure_available_fraction,structure_eligible_fraction,fully_resolved_fraction,strain_available_fraction
esm2_frozen_bilstm_attn,test,-1,G,1,1,1.0,1.0,1.0,1.0
esm2_frozen_bilstm_attn,test,-1,H,601,172,1.0,1.0,0.9883527454242929,1.0
esm2_frozen_bilstm_attn,train,-1,C,4,4,1.0,1.0,1.0,0.0
esm2_frozen_bilstm_attn,train,-1,E,153,119,1.0,0.9934640522875817,0.9934640522875817,0.0
esm2_frozen_bilstm_attn,train,-1,G,2,2,1.0,1.0,1.0,0.0
esm2_frozen_bilstm_attn,train,-1,H,2844,744,0.9957805907172996,0.9947257383966245,0.9876933895921237,0.0
esm2_frozen_bilstm_attn,train,-1,S,1,1,1.0,1.0,1.0,0.0
esm2_frozen_bilstm_attn,validation,-1,C,1,1,1.0,1.0,0.0,0.0
esm2_frozen_bilstm_attn,validation,-1,E,36,29,1.0,1.0,1.0,0.0
esm2_frozen_bilstm_attn,validation,-1,H,627,165,1.0,1.0,0.9936204146730463,0.0
esm2_top28_bilstm_attn,test,-1,E,3,3,1.0,1.0,1.0,1.0
esm2_top28_bilstm_attn,test,-1,G,1,1,1.0,1.0,1.0,1.0
esm2_top28_bilstm_attn,test,-1,H,647,171,1.0,1.0,0.9829984544049459,1.0
esm2_top28_bilstm_attn,train,-1,C,6,6,1.0,1.0,1.0,0.0
esm2_top28_bilstm_attn,train,-1,E,15,14,1.0,1.0,1.0,0.0
esm2_top28_bilstm_attn,train,-1,G,3,3,1.0,1.0,1.0,0.0
esm2_top28_bilstm_attn,train,-1,H,2843,775,0.9950756243404854,0.9943721421034118,0.9876890608512136,0.0
esm2_top28_bilstm_attn,train,-1,T,1,1,1.0,1.0,1.0,0.0
esm2_top28_bilstm_attn,validation,-1,C,1,1,1.0,1.0,1.0,0.0
esm2_top28_bilstm_attn,validation,-1,E,1,1,1.0,1.0,1.0,0.0
esm2_top28_bilstm_attn,validation,-1,H,663,174,1.0,1.0,0.9939668174962293,0.0
esm2_top4_bilstm_attn,test,-1,C,1,1,1.0,1.0,1.0,1.0
esm2_top4_bilstm_attn,test,-1,E,7,7,1.0,1.0,1.0,1.0
esm2_top4_bilstm_attn,test,-1,G,2,2,1.0,1.0,1.0,1.0
esm2_top4_bilstm_attn,test,-1,H,683,176,1.0,1.0,0.9853587115666179,1.0
esm2_top4_bilstm_attn,test,-1,T,1,1,1.0,1.0,1.0,1.0
esm2_top4_bilstm_attn,train,-1,C,8,8,1.0,1.0,1.0,0.0
esm2_top4_bilstm_attn,train,-1,E,15,14,1.0,1.0,1.0,0.0
esm2_top4_bilstm_attn,train,-1,G,2,2,1.0,1.0,1.0,0.0
esm2_top4_bilstm_attn,train,-1,H,3168,800,0.9946338383838383,0.9936868686868687,0.9845328282828283,0.0
esm2_top4_bilstm_attn,train,-1,T,1,1,1.0,1.0,1.0,0.0
esm2_top4_bilstm_attn,validation,-1,C,1,1,1.0,1.0,1.0,0.0
esm2_top4_bilstm_attn,validation,-1,E,2,2,1.0,1.0,1.0,0.0
esm2_top4_bilstm_attn,validation,-1,H,682,169,1.0,1.0,0.9941348973607038,0.0
esm3_frozen_bilstm_attn,test,-1,C,2,2,1.0,0.5,0.5,1.0
esm3_frozen_bilstm_attn,test,-1,E,14,11,1.0,1.0,1.0,1.0
esm3_frozen_bilstm_attn,test,-1,G,1,1,1.0,1.0,1.0,1.0
esm3_frozen_bilstm_attn,test,-1,H,715,172,1.0,1.0,0.986013986013986,1.0
esm3_frozen_bilstm_attn,train,-1,C,4,4,1.0,1.0,1.0,0.0
esm3_frozen_bilstm_attn,train,-1,E,105,69,1.0,1.0,1.0,0.0
esm3_frozen_bilstm_attn,train,-1,G,6,6,1.0,1.0,1.0,0.0
esm3_frozen_bilstm_attn,train,-1,H,3212,765,0.9962640099626401,0.9956413449564134,0.9872353673723536,0.0
esm3_frozen_bilstm_attn,validation,-1,E,13,12,1.0,1.0,1.0,0.0
esm3_frozen_bilstm_attn,validation,-1,H,698,172,1.0,0.998567335243553,0.9928366762177651,0.0
esm3_top28_bilstm_attn,test,-1,C,2,2,1.0,1.0,1.0,1.0
