condition,split,sign,q8,feature,feature_group,n_proteins,n_selected_segments,n_control_segments,selected_macro_protein_mean,control_macro_protein_mean,selected_minus_control_macro_mean,ci95_low,ci95_high,inference_eligible,wilcoxon_p_two_sided,wilcoxon_q_bh
esm2_frozen_bilstm_attn,train,-1,E,max_abs_ca_virtual_torsion_degrees,experimental_geometry,119,153,1536,172.16549829507107,167.71311003323012,4.452388261841067,1.0742417893574636,7.8305347343246705,True,6.68300670093874e-10,2.8002893651802323e-09
esm2_frozen_bilstm_attn,train,-1,E,ca_end_to_end_ratio,experimental_geometry,117,151,1427,0.8142303756776449,0.8305975005319489,-0.016367124854303947,-0.033811414404311,0.0010771646957031047,True,0.42314174853739095,0.49979219466800895
esm2_frozen_bilstm_attn,train,-1,E,mean_contact_degree,contact_network,119,153,1538,8.153841670700917,7.0341255110075,1.1197161596934144,0.9017114192813533,1.3377209001054755,True,2.6165531150789775e-14,1.7017582091964037e-13
esm2_frozen_bilstm_attn,train,-1,E,max_contact_degree,contact_network,119,153,1538,10.429971988795518,8.952138917679228,1.4778330711162913,1.212308308929823,1.7433578333027595,True,3.516410118837316e-15,2.5036056444981003e-14
esm2_frozen_bilstm_attn,train,-1,E,mean_inverse_distance_weighted_degree,contact_network,119,153,1538,1.363940448647247,1.161689332583313,0.2022511160639338,0.1661050393418342,0.2383971927860334,True,5.164373213093077e-15,3.616476145935865e-14
esm2_frozen_bilstm_attn,train,-1,E,max_inverse_distance_weighted_degree,contact_network,119,153,1538,1.7208434232639678,1.4619029391217406,0.25894048414222687,0.21668745843413806,0.3011935098503157,True,1.2705938985981656e-16,9.752666681131867e-16
esm2_frozen_bilstm_attn,train,-1,E,mean_betweenness,contact_network,119,153,1538,0.02930122296710912,0.022750629972960013,0.00655059299414911,0.004504308067752882,0.008596877920545339,True,2.809813355343769e-08,1.0348534490286274e-07
esm2_frozen_bilstm_attn,train,-1,E,max_betweenness,contact_network,119,153,1538,0.06222259924123129,0.04826549554561428,0.013957103695617028,0.008466811196644383,0.019447396194589673,True,3.312563541070299e-07,1.1053410458192799e-06
esm2_frozen_bilstm_attn,train,-1,E,mean_closeness,contact_network,119,153,1538,0.19769180607615153,0.19211646795106602,0.0055753381250855305,0.0024016748748274556,0.008749001375343606,True,0.0005130049292004662,0.0012107484755645352
esm2_frozen_bilstm_attn,train,-1,E,mean_participation_coefficient,contact_network,119,153,1538,0.18787242943846605,0.20014970509915966,-0.012277275660693674,-0.03475729973960599,0.010202748418218648,True,0.2040071778824044,0.27003746590752237
esm2_frozen_bilstm_attn,train,-1,E,community_boundary_fraction,contact_network,119,153,1538,0.46243817845708607,0.484244800977796,-0.021806622520709897,-0.07246831914548985,0.028855074104070053,True,0.36585354982129703,0.4421379070180781
esm2_frozen_bilstm_attn,train,-1,E,mean_distance_to_domain_boundary,inter_domain_geometry,119,153,1538,46.21032079498467,43.60138969432281,2.60893110066184,-1.4268313603116063,6.644693561635286,True,0.1762396518472531,0.23783978359111876
esm2_frozen_bilstm_attn,train,-1,E,near_domain_boundary_fraction,inter_domain_geometry,119,153,1538,0.009307359307359306,0.03456147147014907,-0.02525411216278976,-0.035812407001194896,-0.014695817324384625,True,1.0212415649884266e-12,5.724327719540391e-12
esm2_frozen_bilstm_attn,train,-1,E,mean_cross_domain_contacts,inter_domain_geometry,119,153,1538,0.12710394763966196,0.26869404926610874,-0.1415901016264468,-0.22004410195163626,-0.06313610130125734,True,8.273307344468661e-08,2.932950564835215e-07
esm2_frozen_bilstm_attn,train,-1,E,mean_cross_domain_contact_fraction,inter_domain_geometry,119,153,1538,0.014669375194022553,0.03639940111826086,-0.021730025924238304,-0.03144198405599298,-0.012018067792483631,True,6.496022969277305e-09,2.5583720661745442e-08
esm2_frozen_bilstm_attn,train,-1,S,mean_ca_curvature_degrees,experimental_geometry,1,1,38,83.20795062367432,78.02634855216264,5.181602071511676,,,False,,
