condition,split,catalog_scope,sign,analysis_component,metric,estimate_equal_protein_mean,bootstrap_ci_lower_95,bootstrap_ci_upper_95,n_protein_rows,n_finite_protein_rows,n_bootstrap,test_set_primary,direction
esm2_top28_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.21410727109430389,0.1834977432844652,0.2460609110521286,208,207,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.16165030148406107,0.13374626321932304,0.19105420099048734,208,207,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.11047749909496667,0.09000653864814567,0.13248771567641754,208,207,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.08496265070220739,0.06662813518087064,0.10418284526700437,208,207,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_25,0.9367424242424243,0.9093974820143886,0.9616119724375537,208,132,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_25,0.9491452991452991,0.9174766228566046,0.9753692865105908,208,117,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_5,0.8940235690235689,0.8546417283950619,0.9297368533744435,208,132,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_5,0.9016280016280016,0.8565522234889532,0.9410263056835637,208,117,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_75,0.45379389129389125,0.38584249244373403,0.520541054177337,208,132,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_75,0.49181929181929185,0.41468193882245596,0.5679492693094937,208,117,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,mean_matched_interval_iou,0.725436865323229,0.7054751519009065,0.7447319230105361,208,132,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,mean_matched_interval_iou,0.729514608669473,0.7047990274346124,0.7528213563205328,208,116,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,median_matched_interval_iou,0.7260384712089257,0.7065997474889733,0.7456139231471499,208,132,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,median_matched_interval_iou,0.7301099881918846,0.7053237560170303,0.7543483571123996,208,116,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,observed_only_bands,4.6875,4.221153846153846,5.1875,208,208,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,observed_only_bands,4.802884615384615,4.322115384615385,5.303004807692306,208,208,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,shifted_attention_only_bands,0.125,0.07211538461538461,0.18269230769230768,208,208,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,shifted_attention_only_bands,0.07211538461538461,0.03365384615384615,0.11538461538461539,208,208,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.595186988936989,0.5449749172960607,0.6454879977379976,208,180,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.46464223237966257,0.41679165925300204,0.5142700675583591,208,179,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.5601292688792688,0.5093229377952653,0.610631533589867,208,180,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.44314030165985474,0.3966797308291577,0.4921951521716784,208,179,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.29299182299182297,0.25096960377107436,0.34030409284842317,208,180,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.23130607753512783,0.1908083819559159,0.2748394674379648,208,179,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_25,0.770406910462159,0.7204142537586175,0.8225491757786982,208,181,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_25,0.8178671258859939,0.767287634506768,0.8632617862479905,208,159,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_5,0.7227571691660091,0.670642412672246,0.7749442847094242,208,181,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_5,0.7794100029949086,0.7268721553734994,0.8271528512639621,208,159,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_75,0.3809743050074542,0.32800766976526646,0.43903172584277733,208,181,2000,True,
