condition,split,catalog_scope,sign,n_protein_rows,mean_jaccard,median_jaccard,n_finite_jaccard,mean_dice,median_dice,n_finite_dice,mean_fraction_observed_residues_covered_by_shifted_attention,median_fraction_observed_residues_covered_by_shifted_attention,n_finite_fraction_observed_residues_covered_by_shifted_attention,mean_fraction_shifted_attention_residues_covered_by_observed,median_fraction_shifted_attention_residues_covered_by_observed,n_finite_fraction_shifted_attention_residues_covered_by_observed,mean_observed_band_residue_coverage,median_observed_band_residue_coverage,n_finite_observed_band_residue_coverage,mean_shifted_attention_band_residue_coverage,median_shifted_attention_band_residue_coverage,n_finite_shifted_attention_band_residue_coverage,mean_observed_minus_shifted_attention_band_residue_coverage,median_observed_minus_shifted_attention_band_residue_coverage,n_finite_observed_minus_shifted_attention_band_residue_coverage,mean_observed_minus_shifted_attention_n_bands,median_observed_minus_shifted_attention_n_bands,n_finite_observed_minus_shifted_attention_n_bands,test_set_primary
esm3_frozen_bilstm_attn,test,mean_candidate,1,208,0.21039176758083264,0.19047619047619047,207,0.3119972170222143,0.32,207,0.2549380528145713,0.21428571428571427,207,0.6469822829835792,0.6666666666666666,163,0.12107080909727413,0.11249509731823307,208,0.05043015990253447,0.03911798171616902,208,0.07064064919473968,0.06561387029861845,208,3.9423076923076925,3.0,208,True
esm3_frozen_bilstm_attn,test,seed_stable,-1,208,0.30289647532178676,0.2727272727272727,186,0.41487438269652643,0.42857142857142855,186,0.434464915381831,0.35615808823529416,180,0.5685506140665854,0.6111111111111112,165,0.09321166601932064,0.0939473225187511,208,0.06353378971554685,0.0541544477028348,208,0.029677876303773793,0.020449983271997322,208,1.2980769230769231,1.0,208,True
esm3_frozen_bilstm_attn,test,seed_stable,1,208,0.14829845499016975,0.09090909090909091,206,0.22347061424459075,0.16666666666666666,206,0.17546817440022142,0.09232954545454546,206,0.6690560796155226,0.6666666666666666,126,0.10823879442906517,0.10071942446043165,208,0.03088244710728423,0.015924212917883804,208,0.07735634732178093,0.07509243904828602,208,4.201923076923077,4.0,208,True
esm3_top28_bilstm_attn,test,mean_candidate,-1,208,0.36000172257139906,0.37898936170212766,200,0.48109232445737393,0.5496503496503496,200,0.562619998360575,0.5789473684210527,181,0.5498603073917502,0.6190476190476191,191,0.1025875496138605,0.10387137719483816,208,0.09676797461743579,0.0895430333613681,208,0.0058195749964247145,0.0,208,0.2692307692307692,0.0,208,True
esm3_top28_bilstm_attn,test,mean_candidate,1,208,0.15595991761210043,0.10714285714285714,203,0.2358740061642576,0.1935483870967742,203,0.18409560959510002,0.11538461538461539,203,0.663377700835988,0.6794871794871795,136,0.11366455559134644,0.10557436951984894,208,0.03640830206532709,0.0210997442455243,208,0.07725625352601934,0.0784313725490196,208,4.533653846153846,4.0,208,True
esm3_top28_bilstm_attn,test,seed_stable,-1,208,0.26477952225010015,0.25,187,0.37060774382617656,0.4,187,0.36922769267167105,0.31714285714285717,180,0.5924759944298797,0.6666666666666666,158,0.09793327415049508,0.1027526395173454,208,0.053490557164607926,0.046511627906976744,208,0.044442716985887164,0.04412366912366912,208,1.6346153846153846,1.0,208,True
esm3_top28_bilstm_attn,test,seed_stable,1,208,0.09487619484282897,0.0,201,0.14532411466172976,0.0,201,0.10771368638049267,0.0,201,0.6454705442297355,0.6794871794871795,96,0.09759514970021763,0.09418282548476455,208,0.017416065884191402,0.0,208,0.08017908381602622,0.07799194038929441,208,4.653846153846154,4.0,208,True
esm3_top4_bilstm_attn,test,mean_candidate,-1,208,0.3852884032511879,0.4166666666666667,191,0.5083866558135626,0.5882352941176471,191,0.5664527514479484,0.625,178,0.5938760994534374,0.6440677966101694,177,0.09865963528981678,0.10334278880916625,208,0.08960898375045559,0.089213977109073,208,0.009050651539361187,0.0,208,0.40865384615384615,0.0,208,True
esm3_top4_bilstm_attn,test,mean_candidate,1,208,0.1699737036274303,0.14285714285714285,206,0.25443461837988535,0.25,206,0.20357081587689477,0.15669642857142857,206,0.639572612903093,0.6666666666666666,140,0.1119314780298919,0.10810315896015342,208,0.03952532559606484,0.026316928537419383,208,0.07240615243382703,0.07494553747702362,208,4.144230769230769,4.0,208,True
esm3_top4_bilstm_attn,test,seed_stable,-1,208,0.3068064774520644,0.2977714556661925,188,0.4149520008881535,0.4588963963963964,188,0.4158467134926365,0.4037037037037037,178,0.6160196795691301,0.6666666666666666,163,0.09329934503978075,0.09891364164441636,208,0.05838493845542631,0.054699373100303955,208,0.034914406584354435,0.02498405612244898,208,1.3557692307692308,1.0,208,True
