condition,split,catalog_scope,sign,direction,n_protein_rows,mean_median_nearest_apex_distance,median_median_nearest_apex_distance,n_finite_median_nearest_apex_distance,mean_fraction_within_0_residues,median_fraction_within_0_residues,n_finite_fraction_within_0_residues,mean_fraction_within_2_residues,median_fraction_within_2_residues,n_finite_fraction_within_2_residues,mean_fraction_within_5_residues,median_fraction_within_5_residues,n_finite_fraction_within_5_residues,mean_fraction_within_10_residues,median_fraction_within_10_residues,n_finite_fraction_within_10_residues,mean_source_present_target_missing,median_source_present_target_missing,n_finite_source_present_target_missing,test_set_primary
esm3_frozen_bilstm_attn,test,seed_stable,-1,shifted_attention_to_observed,208,8.455974842767295,2.0,159,0.19146464646464642,0.0,165,0.5800913900913901,0.6,165,0.7267171717171717,1.0,165,0.7602693602693602,1.0,165,0.028846153846153848,0.0,208,True
esm3_frozen_bilstm_attn,test,seed_stable,1,observed_to_shifted_attention,208,48.07539682539682,30.0,126,0.09308930282231252,0.0,206,0.19143486233292062,0.125,206,0.20287854809699468,0.14285714285714285,206,0.21127524040145398,0.14285714285714285,206,0.38461538461538464,0.0,208,True
esm3_frozen_bilstm_attn,test,seed_stable,1,shifted_attention_to_observed,208,2.7936507936507935,1.0,126,0.3576539201539202,0.3333333333333333,126,0.8232323232323233,1.0,126,0.9003427128427128,1.0,126,0.9181998556998556,1.0,126,0.0,0.0,208,True
esm3_top28_bilstm_attn,test,mean_candidate,-1,observed_to_shifted_attention,208,9.607558139534884,3.0,172,0.14407644228086214,0.0,181,0.4765671406555384,0.5,181,0.614526250299731,0.6666666666666666,181,0.6643381020452843,0.7,181,0.04326923076923077,0.0,208,True
esm3_top28_bilstm_attn,test,mean_candidate,-1,shifted_attention_to_observed,208,9.369186046511627,2.5,172,0.1389743764089314,0.0,191,0.4705233974867483,0.5,191,0.6127385412725727,0.6666666666666666,191,0.6674027979001801,0.75,191,0.09134615384615384,0.0,208,True
esm3_top28_bilstm_attn,test,mean_candidate,1,observed_to_shifted_attention,208,43.52205882352941,26.5,136,0.07230521638511694,0.0,203,0.18488387515900515,0.14285714285714285,203,0.2112066920736033,0.16666666666666666,203,0.2360026473498541,0.2,203,0.32211538461538464,0.0,208,True
esm3_top28_bilstm_attn,test,mean_candidate,1,shifted_attention_to_observed,208,3.224264705882353,1.0,136,0.3170693277310925,0.25,136,0.7672443977591037,1.0,136,0.8557422969187675,1.0,136,0.8899334733893557,1.0,136,0.0,0.0,208,True
esm3_top28_bilstm_attn,test,seed_stable,-1,observed_to_shifted_attention,208,22.864238410596027,14.0,151,0.10059335726002393,0.0,180,0.346880357297024,0.3333333333333333,180,0.4151016576016576,0.3333333333333333,180,0.43714530839530846,0.41428571428571426,180,0.13942307692307693,0.0,208,True
esm3_top28_bilstm_attn,test,seed_stable,-1,shifted_attention_to_observed,208,9.264900662251655,2.0,151,0.16532549728752258,0.0,158,0.5827380952380952,0.6,158,0.689413803496082,0.8166666666666667,158,0.7278104279686558,1.0,158,0.03365384615384615,0.0,208,True
esm3_top28_bilstm_attn,test,seed_stable,1,observed_to_shifted_attention,208,62.364583333333336,41.0,96,0.03859755907604898,0.0,201,0.10308992539018878,0.0,201,0.1188326403866351,0.0,201,0.13138698764247492,0.0,201,0.5048076923076923,1.0,208,True
esm3_top28_bilstm_attn,test,seed_stable,1,shifted_attention_to_observed,208,4.739583333333333,1.0,96,0.2911706349206349,0.0,96,0.7602926587301587,1.0,96,0.857266865079365,1.0,96,0.8743799603174601,1.0,96,0.0,0.0,208,True
esm3_top4_bilstm_attn,test,mean_candidate,-1,observed_to_shifted_attention,208,10.856707317073171,2.5,164,0.14005463949284175,0.0,178,0.49575368451772944,0.5,178,0.6100181185855342,0.6666666666666666,178,0.6436615350941194,0.7142857142857143,178,0.0673076923076923,0.0,208,True
esm3_top4_bilstm_attn,test,mean_candidate,-1,shifted_attention_to_observed,208,7.966463414634147,2.0,164,0.16302390327814054,0.0,177,0.5382350543367492,0.5,177,0.67188735620939,0.7142857142857143,177,0.7136461466969942,0.8,177,0.0625,0.0,208,True
esm3_top4_bilstm_attn,test,mean_candidate,1,observed_to_shifted_attention,208,34.07142857142857,26.0,140,0.10289440169136242,0.0,206,0.21545569803537296,0.17424242424242425,206,0.2406003484227418,0.2,206,0.2620186257506857,0.2222222222222222,206,0.3173076923076923,0.0,208,True
esm3_top4_bilstm_attn,test,mean_candidate,1,shifted_attention_to_observed,208,3.817857142857143,1.0,140,0.35128684807256233,0.25,140,0.7622278911564626,1.0,140,0.8283163265306123,1.0,140,0.8727891156462585,1.0,140,0.0,0.0,208,True
esm3_top4_bilstm_attn,test,seed_stable,-1,observed_to_shifted_attention,208,22.73856209150327,11.0,153,0.09710285033318741,0.0,178,0.3810443925612465,0.3333333333333333,178,0.45749165004782977,0.5,178,0.4823645767465992,0.5,178,0.1201923076923077,0.0,208,True
esm3_top4_bilstm_attn,test,seed_stable,-1,shifted_attention_to_observed,208,5.69281045751634,2.0,153,0.1693202843509592,0.0,163,0.6085840880319408,0.6666666666666666,163,0.7348646411529847,1.0,163,0.7752093680007791,1.0,163,0.04807692307692308,0.0,208,True
esm3_top4_bilstm_attn,test,seed_stable,1,observed_to_shifted_attention,208,44.86138613861386,36.0,101,0.07733681472600847,0.0,206,0.1405398058627269,0.0,206,0.15221375758522232,0.0,206,0.16100086888394188,0.0,206,0.5048076923076923,1.0,208,True
esm3_top4_bilstm_attn,test,seed_stable,1,shifted_attention_to_observed,208,2.8415841584158414,1.0,101,0.39839698255539835,0.0,101,0.8253182461103253,1.0,101,0.9037010843941536,1.0,101,0.9136020744931636,1.0,101,0.0,0.0,208,True
