attention_source,profile,condition,n_proteins,n_seed_pair_observations,profile_spearman_mean,profile_spearman_std_between_proteins,profile_spearman_n_proteins,profile_spearman_ci95_low,profile_spearman_ci95_high,top10_residue_jaccard_mean,top10_residue_jaccard_std_between_proteins,top10_residue_jaccard_n_proteins,top10_residue_jaccard_ci95_low,top10_residue_jaccard_ci95_high,band_mask_jaccard_mean,band_mask_jaccard_std_between_proteins,band_mask_jaccard_n_proteins,band_mask_jaccard_ci95_low,band_mask_jaccard_ci95_high,band_peak_match_precision_mean,band_peak_match_precision_std_between_proteins,band_peak_match_precision_n_proteins,band_peak_match_precision_ci95_low,band_peak_match_precision_ci95_high,band_peak_match_recall_mean,band_peak_match_recall_std_between_proteins,band_peak_match_recall_n_proteins,band_peak_match_recall_ci95_low,band_peak_match_recall_ci95_high,band_peak_match_f1_mean,band_peak_match_f1_std_between_proteins,band_peak_match_f1_n_proteins,band_peak_match_f1_ci95_low,band_peak_match_f1_ci95_high,band_peak_mean_distance_mean,band_peak_mean_distance_std_between_proteins,band_peak_mean_distance_n_proteins,band_peak_mean_distance_ci95_low,band_peak_mean_distance_ci95_high,band_count_absdiff_mean,band_count_absdiff_std_between_proteins,band_count_absdiff_n_proteins,band_count_absdiff_ci95_low,band_count_absdiff_ci95_high,both_no_bands_mean,both_no_bands_std_between_proteins,both_no_bands_n_proteins,both_no_bands_ci95_low,both_no_bands_ci95_high,either_no_bands_mean,either_no_bands_std_between_proteins,either_no_bands_n_proteins,either_no_bands_ci95_low,either_no_bands_ci95_high,normalized_row_entropy_absdiff_mean,normalized_row_entropy_absdiff_std_between_proteins,normalized_row_entropy_absdiff_n_proteins,normalized_row_entropy_absdiff_ci95_low,normalized_row_entropy_absdiff_ci95_high,long_range_mass_absdiff_mean,long_range_mass_absdiff_std_between_proteins,long_range_mass_absdiff_n_proteins,long_range_mass_absdiff_ci95_low,long_range_mass_absdiff_ci95_high,diagonal_mass_absdiff_mean,diagonal_mass_absdiff_std_between_proteins,diagonal_mass_absdiff_n_proteins,diagonal_mass_absdiff_ci95_low,diagonal_mass_absdiff_ci95_high,top10_profile_mass_absdiff_mean,top10_profile_mass_absdiff_std_between_proteins,top10_profile_mass_absdiff_n_proteins,top10_profile_mass_absdiff_ci95_low,top10_profile_mass_absdiff_ci95_high
bilstm_self_attention,raw_received,esm3_top28_bilstm_attn,208,624,0.8318119336204758,0.07427815854953261,208,0.8214622905144753,0.8419263581309505,0.434065890471302,0.12474414491176146,208,0.4174813861442793,0.44977570759604457,0.44265342827606546,0.15557492498255626,208,0.4211270357705457,0.46547743548512727,0.6257947358908897,0.1868384854297198,208,0.6003062635815039,0.6496029878241417,0.6183514090966014,0.19309886160753575,208,0.5926162070212552,0.6443225702360318,0.6105400321260993,0.1809980756023231,208,0.5864815738885962,0.6343773352033267,0.6385220969762033,0.3556666998529866,207,0.5902360983309051,0.6862734676532986,0.7980769230769231,0.6022292978366967,208,0.7178685897435897,0.8814102564102563,0.0,0.0,208,0.0,0.0,0.003205128205128205,0.046225016352102424,208,0.0,0.009615384615384616,0.014768668416064189,0.00931273768701087,208,0.013521932280885725,0.01605338860036674,0.005911244904048521,0.005937745989231092,208,0.005184968064346982,0.006791877043038787,0.005911244904048528,0.005937745989231094,208,0.005175667548818761,0.006829184417419175,0.026370004905252584,0.015330141814121139,208,0.02433163716792664,0.028438840983007852
bilstm_self_attention,raw_received,esm3_top4_bilstm_attn,208,624,0.8362749979764305,0.07106082403877588,208,0.8260842870890514,0.8444373795822716,0.44867855288630815,0.11615873212662611,208,0.43341178772317956,0.46496436978892564,0.45831008630973746,0.16063530744773802,208,0.4358847682570217,0.47942496747930785,0.6428319476997361,0.1928507984786577,208,0.6169481929217505,0.6695800294568323,0.6393706275917814,0.18872899123914416,208,0.6131910378394754,0.664614052258283,0.6292363578912935,0.17980621719627868,208,0.6037943189666639,0.6524634673724446,0.5920390917963734,0.3303949433365331,206,0.5462337706118047,0.6378258880413006,0.7820512820512818,0.6037443209562432,208,0.6987179487179487,0.8653846153846154,0.0,0.0,208,0.0,0.0,0.003205128205128205,0.046225016352102424,208,0.0,0.009615384615384616,0.015513415054832122,0.010390082701535037,208,0.014135362788228772,0.016861701688611865,0.005092995571736439,0.004772117357865015,208,0.004488224064481323,0.005746031479539774,0.0050929955717364484,0.004772117357865002,208,0.004456347040989226,0.0057457841046774,0.02669424009463254,0.015888924131470035,208,0.02452876558776194,0.02891213756634296
bilstm_self_attention,rigid_support,esm2_frozen_bilstm_attn,208,624,0.8837759390858839,0.041727543343361914,208,0.8779273999421827,0.8891643122599292,0.5495159463309247,0.11611096263841292,208,0.5337147761681413,0.5652360794586363,0.5357973988146946,0.13630953798895118,208,0.5175846531335797,0.5543628046127872,0.7121548012173011,0.1945536790984833,208,0.6852821455165206,0.7377055279789655,0.6931952484837101,0.18193983069371403,208,0.6682725925694675,0.7175914787002527,0.6926613056188161,0.17983960650925362,208,0.6694056397291026,0.7163636323729701,0.6902373740965972,0.3365183808197414,206,0.6443861406482767,0.7375914380252971,0.6570512820512822,0.5011135871254976,208,0.5929487179487178,0.7243589743589743,0.004807692307692308,0.06933752452815363,208,0.0,0.014423076923076924,0.008012820512820512,0.08314732119661267,208,0.0,0.020833333333333332,,,0,,,,,0,,,,,0,,,0.04265334117318579,0.029437493228455507,208,0.038688240445759255,0.046670089270873794
bilstm_self_attention,rigid_support,esm2_top28_bilstm_attn,208,624,0.9438756810559532,0.03842087549869841,208,0.9383685738187955,0.9486851517180354,0.7695979042371088,0.13651321951143983,208,0.7503510713959606,0.7875338112089814,0.770606533790271,0.1631255376736586,208,0.7481672502859679,0.7918296721114977,0.8734162694499233,0.17437935780978123,208,0.8496841295278795,0.894347591066341,0.8646858928108928,0.18293130585066592,208,0.8390896357693233,0.8898203373593998,0.8622267342483116,0.17540322465828537,208,0.8386798704982965,0.8851284437446864,0.34374983254293595,0.3011272069351486,203,0.30499722898429793,0.3872600669491063,0.36217948717948717,0.4851206930150085,208,0.298076923076923,0.42948717948717946,0.01282051282051282,0.10281154346066493,208,0.0,0.028846153846153848,0.02564102564102564,0.15151627759904954,208,0.008012820512820512,0.04807692307692308,,,0,,,,,0,,,,,0,,,0.029610487395499097,0.018278114787129755,208,0.02721250428165601,0.03208460025354892
bilstm_self_attention,rigid_support,esm2_top4_bilstm_attn,208,624,0.971489420347611,0.021283552606039143,208,0.968422012785402,0.9742935743007537,0.8554565963326237,0.09237600162577372,208,0.8426003066707259,0.8682916684306357,0.8640893762434276,0.09945085785234994,208,0.8500724301923444,0.8767324492248577,0.9475874864096017,0.09528075307862667,208,0.9347918560027935,0.9604475475779564,0.9367093954834339,0.1065993316051476,208,0.921252723527363,0.9505692880392399,0.937489442812883,0.09551383670867189,208,0.9244422830061804,0.9502184775138156,0.24003686892036408,0.23957631823005116,206,0.20747681536819884,0.2747264207610081,0.25320512820512814,0.34981842482057,208,0.20833333333333331,0.3012820512820512,0.009615384615384616,0.0978209255833176,208,0.0,0.02403846153846154,0.01282051282051282,0.10790621286184385,208,0.0,0.028846153846153848,,,0,,,,,0,,,,,0,,,0.023091061236501086,0.013503210663007827,208,0.021299213386137873,0.024951805405796872
bilstm_self_attention,rigid_support,esm3_frozen_bilstm_attn,208,624,0.8730017837019919,0.07641437064802224,208,0.862301661714612,0.8827111856168987,0.5805080202428047,0.1457542399432893,208,0.5606796059172344,0.6009627749767217,0.5709843696463826,0.16419686040910425,208,0.5486534732577288,0.5930932153342073,0.7008252164502164,0.21198485312441123,208,0.6713660977332851,0.7304224291333667,0.6986360727947266,0.20770266735872386,208,0.6703558651996152,0.7245734011359011,0.689730202972071,0.20071512968753466,208,0.6620208413721564,0.717022835889338,0.7819938056523422,0.34425614347870537,205,0.7355699283778551,0.8297977158343012,0.5737179487179487,0.5220972833775436,208,0.5064102564102565,0.6474358974358974,0.004807692307692308,0.06933752452815362,208,0.0,0.014423076923076924,0.011217948717948716,0.0948610393600653,208,0.0,0.025641025641025637,,,0,,,,,0,,,,,0,,,0.05856111652266152,0.03573419452078912,208,0.05385379342405869,0.06333313357060939
bilstm_self_attention,rigid_support,esm3_top28_bilstm_attn,208,624,0.9020488883763215,0.07702067155856443,208,0.8909417511944316,0.9118460590822868,0.6248287026276874,0.16059054076154605,208,0.6027534605254712,0.645452526384722,0.6331070651765784,0.16866623051496307,208,0.6084330425201576,0.6548452342003701,0.7348884199845738,0.22688216952029786,208,0.7040715794622044,0.7642612418964582,0.7370602776852776,0.22466714176108518,208,0.705613343543031,0.7690295771936397,0.7274914206549715,0.22102397005078622,208,0.6979463554362711,0.7574131850414707,0.7055406562723636,0.36566604062262675,205,0.6576858128321543,0.7567835820457769,0.483974358974359,0.497723874954849,208,0.4166666666666667,0.5480769230769231,0.003205128205128205,0.032606975194439204,208,0.0,0.008012820512820512,0.016025641025641024,0.11703812677163357,208,0.003205128205128205,0.03365384615384615,,,0,,,,,0,,,,,0,,,0.042254132826370965,0.0326759884572553,208,0.038158696326419016,0.0469904506753243
bilstm_self_attention,rigid_support,esm3_top4_bilstm_attn,208,624,0.9048288877270282,0.0738846964511982,208,0.8937494601948874,0.9136011102838881,0.6311727014788302,0.1473724915487488,208,0.6095449526935204,0.651312688844753,0.6281888251062325,0.17384395091333496,208,0.6043053927754896,0.6506598093152242,0.7470159844240727,0.2180056720153922,208,0.7168045508923265,0.7750830024244546,0.7433132193242487,0.21663820846365542,208,0.712915153422966,0.769824014833206,0.7358093170792114,0.21284801409206783,208,0.7074092863315601,0.7644772300990026,0.7224160907413335,0.3350131751056734,206,0.6785812207838907,0.7684085530839172,0.5737179487179488,0.5987224379826767,208,0.49679487179487186,0.6634615384615384,0.0016025641025641025,0.023112508176051212,208,0.0,0.004807692307692308,0.011217948717948716,0.09486103936006532,208,0.0,0.02564102564102564,,,0,,,,,0,,,,,0,,,0.045295857553025794,0.02488271538111761,208,0.042097643736910204,0.04870442131224887
esm2_backbone_attention,raw_received,esm2_frozen_bilstm_attn,208,624,1.0,0.0,208,1.0,1.0,1.0,0.0,208,1.0,1.0,1.0,0.0,208,1.0,1.0,1.0,0.0,208,1.0,1.0,1.0,0.0,208,1.0,1.0,1.0,0.0,208,1.0,1.0,0.0,0.0,208,0.0,0.0,0.0,0.0,208,0.0,0.0,0.0,0.0,208,0.0,0.0,0.0,0.0,208,0.0,0.0,0.0,0.0,208,0.0,0.0,0.0,0.0,208,0.0,0.0,0.0,0.0,208,0.0,0.0,0.0,0.0,208,0.0,0.0
esm2_backbone_attention,raw_received,esm2_frozen_linear,208,624,1.0,0.0,208,1.0,1.0,1.0,0.0,208,1.0,1.0,1.0,0.0,208,1.0,1.0,1.0,0.0,208,1.0,1.0,1.0,0.0,208,1.0,1.0,1.0,0.0,208,1.0,1.0,0.0,0.0,208,0.0,0.0,0.0,0.0,208,0.0,0.0,0.0,0.0,208,0.0,0.0,0.0,0.0,208,0.0,0.0,0.0,0.0,208,0.0,0.0,0.0,0.0,208,0.0,0.0,0.0,0.0,208,0.0,0.0,0.0,0.0,208,0.0,0.0
esm2_backbone_attention,raw_received,esm2_top28_bilstm_attn,208,624,0.7542188887522425,0.08014375003482094,208,0.7433556662642119,0.7647073804915915,0.47156952831112214,0.09778628356561465,208,0.45814698148792604,0.48512708687297634,0.5928658722190228,0.15954958478387432,208,0.5717739135320858,0.6141160794706789,0.7627768596306492,0.1501890581598453,208,0.7426378345683351,0.7821432468936711,0.7793189601164715,0.140840264867539,208,0.7608191369561915,0.7983017926787369,0.7590182711316463,0.13320598125786634,208,0.7408017953389422,0.7769623283424313,0.19199912000392771,0.18817458568496837,208,0.16669707607207604,0.21781509878565167,0.9935897435897435,0.7753319296531009,208,0.8942307692307693,1.1057692307692308,0.0,0.0,208,0.0,0.0,0.003205128205128205,0.04622501635210243,208,0.0,0.009615384615384616,0.00824158907394777,0.0036705326789839357,208,0.007778908901090073,0.008746162431433708,0.025745911510341966,0.0075881179813617914,208,0.02473239312939513,0.02683324300092823,0.025745911510341963,0.007588117981361789,208,0.024709582236671062,0.026781834693190416,0.015910056947306205,0.010555769330690377,208,0.014496492658173479,0.01744979654368095
esm2_backbone_attention,raw_received,esm2_top4_bilstm_attn,208,624,0.9665955948516587,0.00897285789724148,208,0.9653562080587011,0.9678416182740399,0.7705110285285399,0.0790314376158088,208,0.7599250238537117,0.7810270588406729,0.8255015156279325,0.11875744332184085,208,0.8089444680227469,0.8412501605039172,0.904131085260893,0.10461575722526692,208,0.8898608594041285,0.9175377234722188,0.9139019145028761,0.09893105503498996,208,0.9009787132383288,0.92637373988636,0.9030421588998456,0.09285663198164663,208,0.8898538084398027,0.9152491277162307,0.09634040727790727,0.13633113469300287,208,0.07888599826099826,0.1141537412240537,0.532051282051282,0.5232526185111833,208,0.46153846153846156,0.6057692307692307,0.0,0.0,208,0.0,0.0,0.0,0.0,208,0.0,0.0,0.002529357592364381,0.0010865959560442246,208,0.0023820638374712584,0.0026640869659318098,0.01177514385261401,0.002886334717919595,208,0.011389963888748522,0.012173110563693352,0.011775143852614006,0.0028863347179195996,208,0.011389329373335961,0.012182203204804936,0.0069521507126791985,0.0032763194742720645,208,0.006535261058435113,0.007406807718034717
