attention_source,profile,condition_pair,between_profile_spearman_mean,mean_within_profile_spearman,profile_spearman_between_minus_within,between_top10_residue_jaccard_mean,mean_within_top10_residue_jaccard,top10_residue_jaccard_between_minus_within,between_band_mask_jaccard_mean,mean_within_band_mask_jaccard,band_mask_jaccard_between_minus_within,between_band_peak_match_f1_mean,mean_within_band_peak_match_f1,band_peak_match_f1_between_minus_within
bilstm_self_attention,rigid_support,esm2_frozen_bilstm_attn vs esm3_frozen_bilstm_attn,0.7652310815582789,0.8783888613939379,-0.113157779835659,0.4252828688505398,0.5650119832868647,-0.13972911443632496,0.4267335831943687,0.5533908842305386,-0.1266573010361699,0.5752881293783438,0.6911957542954436,-0.11590762491709972
bilstm_self_attention,rigid_support,esm2_frozen_bilstm_attn vs esm3_top28_bilstm_attn,0.7753298499833333,0.8929124137311026,-0.11758256374776932,0.4308976564316922,0.5871723244793061,-0.15627466804761392,0.43770926007385746,0.5844522319956365,-0.146742971921779,0.5783250189022158,0.7100763631368938,-0.13175134423467805
bilstm_self_attention,rigid_support,esm2_frozen_bilstm_attn vs esm3_top4_bilstm_attn,0.7725866541506948,0.8943024134064561,-0.12171575925576128,0.4291151103602643,0.5903443239048775,-0.16122921354461317,0.43128578718501037,0.5819931119604635,-0.15070732477545318,0.5702975237873589,0.7142353113490137,-0.14393778756165487
bilstm_self_attention,rigid_support,esm2_top28_bilstm_attn vs esm2_top4_bilstm_attn,0.9247830982553015,0.9576825507017821,-0.032899452446480626,0.7190894907958698,0.8125272502848663,-0.09343775948899646,0.7166468173010002,0.8173479550168493,-0.1007011377158491,0.835586127528053,0.8998580885305973,-0.0642719610025444
bilstm_self_attention,rigid_support,esm2_top28_bilstm_attn vs esm3_frozen_bilstm_attn,0.8003802208299431,0.9084387323789725,-0.10805851154902946,0.5171070120489138,0.6750529622399568,-0.15794595019104296,0.5098289269728956,0.6707954517183268,-0.16096652474543116,0.6613244673335239,0.7759784686101914,-0.11465400127666747
bilstm_self_attention,rigid_support,esm2_top28_bilstm_attn vs esm3_top28_bilstm_attn,0.8250292722258421,0.9229622847161374,-0.09793301249029529,0.5496581063617787,0.6972133034323982,-0.14755519707061948,0.5555855263276162,0.7018567994834247,-0.14627127315580857,0.6877324646517899,0.7948590774516415,-0.10712661279985158
bilstm_self_attention,rigid_support,esm2_top28_bilstm_attn vs esm3_top4_bilstm_attn,0.824685517583742,0.9243522843914906,-0.09966676680774866,0.5435583434863733,0.7003853028579695,-0.1568269593715962,0.5345593902300975,0.6993976794482517,-0.16483828921815424,0.6681376542244812,0.7990180256637616,-0.13088037143928033
bilstm_self_attention,rigid_support,esm2_top4_bilstm_attn vs esm3_frozen_bilstm_attn,0.8103322662081076,0.9222456020248014,-0.11191333581669383,0.5215074544812597,0.7179823082877141,-0.19647485380645446,0.5096045678521057,0.7175368729449051,-0.20793230509279936,0.6665535168837984,0.8136098228924771,-0.1470563060086787
bilstm_self_attention,rigid_support,esm2_top4_bilstm_attn vs esm3_top28_bilstm_attn,0.8289963777063741,0.9367691543619663,-0.10777277665559215,0.546056193668246,0.7401426494801555,-0.19408645581190953,0.5457359053304222,0.748598220710003,-0.20286231537958088,0.6819936915649188,0.8324904317339272,-0.15049674016900838
bilstm_self_attention,rigid_support,esm2_top4_bilstm_attn vs esm3_top4_bilstm_attn,0.8298385406592038,0.9381591540373195,-0.10832061337811572,0.5437733452737619,0.743314648905727,-0.1995413036319651,0.5303077554902264,0.7461391006748301,-0.21583134518460378,0.6696353242128926,0.8366493799460473,-0.16701405573315464
bilstm_self_attention,rigid_support,esm3_frozen_bilstm_attn vs esm3_top28_bilstm_attn,0.8703386803640688,0.8875253360391566,-0.017186655675087814,0.5848516896099837,0.602668361435246,-0.017816671825262365,0.5804537996186092,0.6020457174114805,-0.021591917792871285,0.6953778210755819,0.7086108118135213,-0.013232990737939376
bilstm_self_attention,rigid_support,esm3_frozen_bilstm_attn vs esm3_top4_bilstm_attn,0.8914181850100066,0.8889153357145101,0.00250284929549649,0.6172014235596909,0.6058403608608174,0.011361062698873492,0.6109044253288795,0.5995865973763075,0.011317827952571968,0.72273388485008,0.7127697600256412,0.00996412482443887
bilstm_self_attention,rigid_support,esm3_top28_bilstm_attn vs esm3_top4_bilstm_attn,0.8994993017574424,0.9034388880516748,-0.003939586294232411,0.6255444915967777,0.6280007020532588,-0.002456210456481034,0.6235720050960576,0.6306479451414055,-0.00707594004534795,0.7296270436884005,0.7316503688670914,-0.002023325178690971
esm2_backbone_attention,raw_received,esm2_frozen_bilstm_attn vs esm2_frozen_linear,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
esm2_backbone_attention,raw_received,esm2_frozen_bilstm_attn vs esm2_top28_bilstm_attn,0.5163752982908758,0.8771094443761213,-0.36073414608524546,0.28201110932263357,0.735784764155561,-0.4537736548329275,0.46749977019861555,0.7964329361095114,-0.32893316591089583,0.6507847988776411,0.8795091355658231,-0.22872433668818204
esm2_backbone_attention,raw_received,esm2_frozen_bilstm_attn vs esm2_top4_bilstm_attn,0.8339391999594253,0.9832977974258293,-0.149358597466404,0.5141360074856214,0.88525551426427,-0.3711195067786486,0.6760111993661597,0.9127507578139662,-0.23673955844780648,0.8036200116946698,0.9515210794499228,-0.14790106775525302
esm2_backbone_attention,raw_received,esm2_frozen_linear vs esm2_top28_bilstm_attn,0.5163752982908758,0.8771094443761213,-0.36073414608524546,0.28201110932263357,0.735784764155561,-0.4537736548329275,0.46749977019861555,0.7964329361095114,-0.32893316591089583,0.6507847988776411,0.8795091355658231,-0.22872433668818204
esm2_backbone_attention,raw_received,esm2_frozen_linear vs esm2_top4_bilstm_attn,0.8339391999594253,0.9832977974258293,-0.149358597466404,0.5141360074856214,0.88525551426427,-0.3711195067786486,0.6760111993661597,0.9127507578139662,-0.23673955844780648,0.8036200116946698,0.9515210794499228,-0.14790106775525302
esm2_backbone_attention,raw_received,esm2_top28_bilstm_attn vs esm2_top4_bilstm_attn,0.7125642247568851,0.8604072418019506,-0.14784301704506553,0.42872266833036765,0.621040278419831,-0.19231761008946335,0.5568027710089664,0.7091836939234777,-0.15238092291451133,0.7289173771433535,0.831030215015746,-0.10211283787239256
