attention_source,profile,condition_pair,n_proteins,n_seed_pair_observations,profile_spearman_mean,profile_spearman_std_between_proteins,profile_spearman_n_proteins,profile_spearman_ci95_low,profile_spearman_ci95_high,top10_residue_jaccard_mean,top10_residue_jaccard_std_between_proteins,top10_residue_jaccard_n_proteins,top10_residue_jaccard_ci95_low,top10_residue_jaccard_ci95_high,band_mask_jaccard_mean,band_mask_jaccard_std_between_proteins,band_mask_jaccard_n_proteins,band_mask_jaccard_ci95_low,band_mask_jaccard_ci95_high,band_peak_match_precision_mean,band_peak_match_precision_std_between_proteins,band_peak_match_precision_n_proteins,band_peak_match_precision_ci95_low,band_peak_match_precision_ci95_high,band_peak_match_recall_mean,band_peak_match_recall_std_between_proteins,band_peak_match_recall_n_proteins,band_peak_match_recall_ci95_low,band_peak_match_recall_ci95_high,band_peak_match_f1_mean,band_peak_match_f1_std_between_proteins,band_peak_match_f1_n_proteins,band_peak_match_f1_ci95_low,band_peak_match_f1_ci95_high,band_peak_mean_distance_mean,band_peak_mean_distance_std_between_proteins,band_peak_mean_distance_n_proteins,band_peak_mean_distance_ci95_low,band_peak_mean_distance_ci95_high,band_count_absdiff_mean,band_count_absdiff_std_between_proteins,band_count_absdiff_n_proteins,band_count_absdiff_ci95_low,band_count_absdiff_ci95_high,both_no_bands_mean,both_no_bands_std_between_proteins,both_no_bands_n_proteins,both_no_bands_ci95_low,both_no_bands_ci95_high,either_no_bands_mean,either_no_bands_std_between_proteins,either_no_bands_n_proteins,either_no_bands_ci95_low,either_no_bands_ci95_high,normalized_row_entropy_absdiff_mean,normalized_row_entropy_absdiff_std_between_proteins,normalized_row_entropy_absdiff_n_proteins,normalized_row_entropy_absdiff_ci95_low,normalized_row_entropy_absdiff_ci95_high,long_range_mass_absdiff_mean,long_range_mass_absdiff_std_between_proteins,long_range_mass_absdiff_n_proteins,long_range_mass_absdiff_ci95_low,long_range_mass_absdiff_ci95_high,diagonal_mass_absdiff_mean,diagonal_mass_absdiff_std_between_proteins,diagonal_mass_absdiff_n_proteins,diagonal_mass_absdiff_ci95_low,diagonal_mass_absdiff_ci95_high,top10_profile_mass_absdiff_mean,top10_profile_mass_absdiff_std_between_proteins,top10_profile_mass_absdiff_n_proteins,top10_profile_mass_absdiff_ci95_low,top10_profile_mass_absdiff_ci95_high
bilstm_self_attention,raw_received,esm2_top4_bilstm_attn vs esm3_top28_bilstm_attn,208,1872,0.716835128441356,0.11569828279638593,208,0.7010513019232844,0.7313820678986536,0.3478940228665751,0.12765611970423096,208,0.330760495745549,0.36538078706484495,0.33662900746522617,0.14667863855383748,208,0.31657893661522096,0.3563931281819822,0.5275239999198333,0.19506396111748,208,0.5017096979617012,0.5558560295429287,0.5381876003270233,0.20339817268924915,208,0.5107681604216059,0.5660662295548112,0.5220942088808566,0.1884983445781018,208,0.4967168047687536,0.5469045635852738,0.7617572159848582,0.3420041546055744,205,0.7176878952122855,0.809838589387878,0.8664529914529915,0.5604996977526796,208,0.793255876068376,0.9428552350427349,0.0,0.0,208,0.0,0.0,0.00641025641025641,0.04588882995327257,208,0.0016025641025641025,0.01282051282051282,0.02987284337684363,0.018771732557543403,208,0.027384506357567378,0.03242088520327704,0.007547337471935117,0.007544328605922383,208,0.00656437717621992,0.008551254124789168,0.0075473374719351085,0.007544328605922383,208,0.006531795738309784,0.008611501309053419,0.04975239686422586,0.030758855191023518,208,0.04545939710141965,0.05413249340108824
bilstm_self_attention,raw_received,esm2_top4_bilstm_attn vs esm3_top4_bilstm_attn,208,1872,0.7202499223438468,0.10968793313337592,208,0.7058184564046669,0.7349431448511169,0.345738965871626,0.12492386055112804,208,0.3283005381211604,0.3636019032521846,0.3366130492786225,0.14979543182795615,208,0.317507306626073,0.35647311618948124,0.5216245893529547,0.19448716467555677,208,0.49632677185261315,0.5472386277584593,0.5407676450745361,0.20668636104569732,208,0.5134351960213339,0.5691259724813411,0.5203273966363721,0.18926248158145703,208,0.4945232260133249,0.5469201876406184,0.7350001188747103,0.3684006201943632,204,0.6866782420915897,0.7870883598423937,0.8605769230769231,0.5653719536321372,208,0.7836404914529914,0.9364583333333332,0.0005341880341880341,0.007704169392017071,208,0.0,0.0016025641025641025,0.005876068376068377,0.050297776873026646,208,0.0,0.013888888888888888,0.024670239352976783,0.01633313342731898,208,0.022519704905870807,0.027033160602394267,0.007103708379981339,0.007314762942312539,208,0.006187251266558609,0.008133489075838628,0.007103708379981334,0.007314762942312538,208,0.006119469121169816,0.00811798765486916,0.043236367744539025,0.02686709942558057,208,0.03973553389987495,0.04689907211428906
bilstm_self_attention,raw_received,esm3_frozen_bilstm_attn vs esm3_top28_bilstm_attn,208,1872,0.7723940994367353,0.09325955085199922,208,0.7591165394357754,0.7845347148651585,0.39900797825885664,0.10264188287991317,208,0.3853700890326539,0.4130579151577934,0.40142430601943213,0.11978419744330464,208,0.3861614120136307,0.41722266983273737,0.5954145465764056,0.15963424898666256,208,0.5754111680624101,0.615914061010215,0.5782991714482099,0.14810595812141064,208,0.5586095234152125,0.5984475989644258,0.5757709127675026,0.14430355672482958,208,0.5565375620193601,0.5953818606654664,0.6899279196380645,0.25381047468753803,207,0.6550931756894922,0.7244674168647599,0.7868589743589745,0.4429396544448877,208,0.7259615384615384,0.8498931623931624,0.0,0.0,208,0.0,0.0,0.0016025641025641025,0.023112508176051212,208,0.0,0.004807692307692308,0.01936593513184156,0.00926287004838236,208,0.018199207585765945,0.020578754816507863,0.007464136704770679,0.007718258221008717,208,0.006520704516591971,0.008538052454575226,0.007464136704770687,0.0077182582210087065,208,0.0064954743867064995,0.008569565387972326,0.03641234835970138,0.01849949807119243,208,0.03395350471975298,0.03884518898401313
bilstm_self_attention,raw_received,esm3_frozen_bilstm_attn vs esm3_top4_bilstm_attn,208,1872,0.8130269432674481,0.06624222431586724,208,0.8031385705638784,0.8212091985445136,0.4261005934197003,0.10143440665915898,208,0.4118969346296778,0.4394568228023385,0.4297242849676337,0.1297769062934911,208,0.4121331696000086,0.4469627859862219,0.6183123900671977,0.15287639377767198,208,0.5974530601313454,0.6401548367423768,0.6104175887028451,0.14802422093242815,208,0.5911003365180048,0.6306404154591254,0.6035021871634348,0.14207587566152818,208,0.5847409166329383,0.623041205276728,0.6100978015040515,0.2362887456422482,208,0.5769462045959441,0.6424080951359598,0.767094017094017,0.46414193991437874,208,0.7045806623931623,0.829594017094017,0.0,0.0,208,0.0,0.0,0.0016025641025641025,0.023112508176051212,208,0.0,0.004807692307692308,0.019476414615405446,0.009485813594658108,208,0.018172324231152247,0.020756079994862883,0.0062908642085994235,0.003949839469473432,208,0.005785133078454251,0.006849936809596543,0.0062908642085994304,0.003949839469473424,208,0.00576919062153979,0.006848784161581193,0.03567747966630611,0.01682916387069417,208,0.03354895592880166,0.03797793426322166
bilstm_self_attention,raw_received,esm3_top28_bilstm_attn vs esm3_top4_bilstm_attn,208,1872,0.8288374758587617,0.08048338845623919,208,0.8181209609931066,0.8389110355127208,0.44922806903414264,0.10289107207991915,208,0.43504663823852585,0.4631461504503309,0.45325195862035134,0.1282063856787695,208,0.4358723167293404,0.47026139780603754,0.63030048358574,0.15698706610651594,208,0.6097174307841374,0.6512962347036867,0.6380699866076469,0.1613759595557118,208,0.6165951358744828,0.6582475047358861,0.6227565461782253,0.15131095492968075,208,0.6011086613557497,0.6430483355177985,0.5934323053787628,0.2377978817703919,207,0.5618859510390307,0.6256935205420511,0.7740384615384616,0.4714528747918032,208,0.7115251068376068,0.8413461538461539,0.0,0.0,208,0.0,0.0,0.003205128205128205,0.032606975194439204,208,0.0,0.008012820512820512,0.01704070103977007,0.00887061268540681,208,0.015887433604370744,0.018302446436305308,0.0059130865145674335,0.006855376906187697,208,0.005089792770854494,0.006915885012855216,0.005913086514567437,0.006855376906187696,208,0.005101655759463198,0.006889886705293929,0.028587257130018584,0.01287298146331592,208,0.02682740428916598,0.030299798361998486
bilstm_self_attention,rigid_support,esm2_frozen_bilstm_attn vs esm2_top28_bilstm_attn,208,1872,0.8246481722098745,0.07057314527980915,208,0.8146951105087245,0.8340669845041924,0.49204146621088446,0.1452081101312021,208,0.47131384876144067,0.5115703407301831,0.48860336478235367,0.173399522961564,208,0.4644576423817748,0.5115672322579895,0.6227299758349437,0.20732921666308238,208,0.5964208169671912,0.6517748049448769,0.7233334181250849,0.21330562401274772,208,0.6948157407792824,0.7519107561034644,0.6560357517386186,0.19846438856119122,208,0.6301959448217611,0.6836406619865082,0.717846603862864,0.3021496460239778,205,0.6734032025637717,0.760130393169011,0.8942307692307693,0.6173144011647902,208,0.8092948717948718,0.977577457264957,0.004807692307692308,0.06933752452815363,208,0.0,0.014423076923076924,0.020833333333333332,0.12300474136504796,208,0.00641025641025641,0.04006410256410256,,,0,,,,,0,,,,,0,,,0.0789458564630021,0.05478829656226703,208,0.07175434406703456,0.08694225803910738
bilstm_self_attention,rigid_support,esm2_frozen_bilstm_attn vs esm2_top4_bilstm_attn,208,1872,0.849893702000539,0.06482795887583774,208,0.8404060914297663,0.858514456253341,0.5216340476849506,0.1318684709453928,208,0.5038544592175882,0.5390627461249141,0.5273631889144591,0.16023709519254808,208,0.5061253660341539,0.5476238052743115,0.653388262823359,0.1996574686012919,208,0.6268938781533933,0.6788724672318422,0.7498489016918504,0.20095681539030694,208,0.7223583872872735,0.7765069504332324,0.6862215582804089,0.18687929937523304,208,0.6598053981784079,0.7108173316136127,0.6448583642211093,0.28798214760763224,204,0.6070597052653834,0.6848839068104794,0.8290598290598291,0.6216551124913562,208,0.751602564102564,0.9139957264957264,0.004807692307692308,0.06933752452815363,208,0.0,0.014423076923076924,0.01282051282051282,0.10281154346066493,208,0.0016025641025641025,0.028846153846153848,,,0,,,,,0,,,,,0,,,0.07080708201984197,0.05351263353542945,208,0.06406661381478054,0.07793326617146608
bilstm_self_attention,rigid_support,esm2_frozen_bilstm_attn vs esm3_frozen_bilstm_attn,208,1872,0.7652310815582789,0.09189096596287417,208,0.7525136293631449,0.7769813829834108,0.4252828688505398,0.13362426321143894,208,0.4069710325971402,0.44349962005942156,0.4267335831943687,0.15265424924481383,208,0.4064559791937597,0.44710076231040635,0.5487982066307386,0.19259563275085506,208,0.5230920695964767,0.5754331613120675,0.6300532326173351,0.20771609545508576,208,0.6012686881687284,0.6575022857825342,0.5752881293783438,0.18986203743323607,208,0.5493692305801896,0.6014957861320797,0.8819792680971543,0.2716344005423008,205,0.8460380232346696,0.9198761719498508,0.922008547008547,0.6089489506703564,208,0.8424145299145299,1.0053552350427353,0.0016025641025641025,0.023112508176051216,208,0.0,0.004807692307692308,0.01282051282051282,0.10281154346066493,208,0.0016025641025641025,0.028846153846153848,,,0,,,,,0,,,,,0,,,0.0900639411874487,0.05333268426053835,208,0.08308012576042037,0.09762095802984079
bilstm_self_attention,rigid_support,esm2_frozen_bilstm_attn vs esm3_top28_bilstm_attn,208,1872,0.7753298499833333,0.09199262028711906,208,0.7628126630012162,0.7873678719451974,0.4308976564316922,0.14293310712322377,208,0.41105025108992616,0.4496313351997726,0.43770926007385746,0.16040987841454918,208,0.41637674910757244,0.4593413684205554,0.5461937160655109,0.19843227585242681,208,0.5205461846217055,0.5728256060697968,0.6424227896984308,0.22357416826908288,208,0.6116922034369952,0.6736983112373737,0.5783250189022158,0.19833146228061121,208,0.5512659606924465,0.6048053965554622,0.8928299350453822,0.33329093112045327,205,0.8479488939433045,0.9390466646233923,0.9166666666666667,0.5920387911446978,208,0.8370726495726497,1.000547542735043,0.0016025641025641025,0.023112508176051216,208,0.0,0.004807692307692308,0.014423076923076924,0.09994785791185573,208,0.003205128205128205,0.028846153846153848,,,0,,,,,0,,,,,0,,,0.06520677332660263,0.041355677316461406,208,0.05985298514520835,0.07063291399388973
bilstm_self_attention,rigid_support,esm2_frozen_bilstm_attn vs esm3_top4_bilstm_attn,208,1872,0.7725866541506948,0.09277008919317983,208,0.758975795095011,0.7840813905468479,0.4291151103602643,0.13846429290189205,208,0.40956265489975685,0.44824103074314914,0.43128578718501037,0.15699910704096828,208,0.40900182569039595,0.4530059517975495,0.537991287410358,0.20474958261748705,208,0.5095938594621487,0.5638818240090275,0.6329458735708736,0.22997438463119832,208,0.6004593708760375,0.6629538348418557,0.5702975237873589,0.20584460163061868,208,0.5437396275219403,0.5980775496270924,0.8959081572597832,0.33636118985926705,205,0.8521355767557496,0.941552476223716,0.9326923076923077,0.6463939028548645,208,0.8488114316239316,1.0229834401709401,0.0010683760683760683,0.015408338784034144,208,0.0,0.003205128205128205,0.011752136752136754,0.0932098833792852,208,0.0016025641025641025,0.025106837606837604,,,0,,,,,0,,,,,0,,,0.06968995524401511,0.04580640830653931,208,0.06385798147593397,0.07610368454354753
bilstm_self_attention,rigid_support,esm2_top28_bilstm_attn vs esm2_top4_bilstm_attn,208,1872,0.9247830982553015,0.0478711469902385,208,0.9180586389424328,0.9312004678086031,0.7190894907958698,0.13940179309371434,208,0.6995893211387726,0.7378263691450536,0.7166468173010002,0.1685614714080881,208,0.6925188604519489,0.738906937095433,0.8502127027768054,0.1815301309850534,208,0.824735506362109,0.8742234113968891,0.8405944823813414,0.1898876637565011,208,0.8142294742294742,0.8649799507902473,0.835586127528053,0.17841421276538189,208,0.8116797690559112,0.8586449426898861,0.4026748514959897,0.28547764331994746,205,0.3646247428798242,0.4414606806547863,0.4893162393162393,0.47918919979858643,208,0.42200854700854695,0.5555689102564102,0.01014957264957265,0.09807122531052245,208,0.0,0.025106837606837608,0.0202991452991453,0.12477873117365244,208,0.004807692307692308,0.038995726495726496,,,0,,,,,0,,,,,0,,,0.03666067237494223,0.01963573754643267,208,0.034145134665818706,0.03942079061987661
bilstm_self_attention,rigid_support,esm2_top28_bilstm_attn vs esm3_frozen_bilstm_attn,208,1872,0.8003802208299431,0.09743433761853473,208,0.7865122553920452,0.8128278069312573,0.5171070120489138,0.15384259270095182,208,0.4970065808092264,0.5381779475938399,0.5098289269728956,0.1748614599043987,208,0.48731318965156384,0.5342031969996841,0.678912642734758,0.20688119320237677,208,0.6520648311283327,0.7076407437084521,0.6684414454847147,0.21120701590382257,208,0.6416005873948583,0.6959999460119654,0.6613244673335239,0.19983388611069258,208,0.6330885937980713,0.6878306377414828,0.8136960957222394,0.31123080260641683,204,0.7706999396981015,0.8569992132655531,0.6623931623931624,0.5593372261023444,208,0.5897435897435896,0.7457398504273504,0.007478632478632479,0.07449865929022198,208,0.0,0.018696581196581196,0.019764957264957264,0.12414634116004036,208,0.004807692307692308,0.03952991452991453,,,0,,,,,0,,,,,0,,,0.06908103891328468,0.04335174212598122,208,0.06382422905178907,0.07490006034556926
bilstm_self_attention,rigid_support,esm2_top28_bilstm_attn vs esm3_top28_bilstm_attn,208,1872,0.8250292722258421,0.08881020188741072,208,0.8130800507296215,0.8369141473230116,0.5496581063617787,0.16999215188137856,208,0.5265044581561118,0.5715622758580164,0.5555855263276162,0.1715776950170773,208,0.5314010313429297,0.5798338118413983,0.698301440368748,0.20819253444173777,208,0.6697076877745949,0.7270251200529646,0.7021071758251245,0.2151365581074057,208,0.6728131828923094,0.7312008887139095,0.6877324646517899,0.20046197475344602,208,0.659437237187354,0.7150829797303697,0.8503073991942456,0.36130094354592707,204,0.7998110864716256,0.8990268848666009,0.6132478632478632,0.5089948414362958,208,0.5486111111111112,0.6827056623931623,0.008012820512820512,0.06174258683221152,208,0.0010683760683760683,0.017628205128205128,0.020833333333333336,0.1305322839893483,208,0.005341880341880342,0.04059829059829059,,,0,,,,,0,,,,,0,,,0.06271542034609225,0.04855863811334522,208,0.05671359684150694,0.06929627856731485
