condition,seed,n_proteins,n_residues,accuracy_mean,accuracy_std_between_proteins,accuracy_n_proteins,macro_f1_mean,macro_f1_std_between_proteins,macro_f1_n_proteins,class0_precision_mean,class0_precision_std_between_proteins,class0_precision_n_proteins,class0_recall_mean,class0_recall_std_between_proteins,class0_recall_n_proteins,class0_f1_mean,class0_f1_std_between_proteins,class0_f1_n_proteins,class1_precision_mean,class1_precision_std_between_proteins,class1_precision_n_proteins,class1_recall_mean,class1_recall_std_between_proteins,class1_recall_n_proteins,class1_f1_mean,class1_f1_std_between_proteins,class1_f1_n_proteins,auroc_mean,auroc_std_between_proteins,auroc_n_proteins,auprc_mean,auprc_std_between_proteins,auprc_n_proteins,neq_score_spearman_mean,neq_score_spearman_std_between_proteins,neq_score_spearman_n_proteins
esm3_frozen_bilstm_attn,2,208,47751,0.7966394762911442,0.05772638591404945,208,0.7496112722802729,0.10230056446558294,208,0.7597767321492008,0.1852804717548887,208,0.6486109390400875,0.23176106202210472,208,0.679054030320833,0.20538279006498106,208,0.7977534442717805,0.09363418972083658,208,0.8566998593282312,0.11753614859718542,208,0.8201685142397129,0.08519434997619961,208,0.8622678787294483,0.06629990996431565,208,0.889002850371249,0.07498718997791481,208,0.6447597689130139,0.12092213392256083,208
esm3_top4_bilstm_attn,2,208,47751,0.8039778207938416,0.052872370847135114,208,0.7639034637147797,0.09730348663216212,208,0.7510609681098781,0.18168657107438504,208,0.6808448047385031,0.20878661414732766,208,0.701698280383222,0.191185209434283,208,0.8105560936885831,0.08692376921308058,208,0.851686459555956,0.10828150902976405,208,0.8261086470463372,0.07957996394251514,208,0.8698979538976902,0.06892090221907751,208,0.8984993222332102,0.07101049188593077,208,0.6625433521752504,0.12066993945145371,208
esm3_top28_bilstm_attn,2,208,47751,0.8160563147793639,0.04926276018887159,208,0.7807832781021122,0.08461933321810483,208,0.7760457700706296,0.15488756493053038,208,0.7024192580518468,0.19152069784999615,208,0.7252357614865408,0.1662376844358326,208,0.8198631678294477,0.0873463338137818,208,0.8609780148485192,0.09991655864223907,208,0.8363307947176838,0.07692018638845559,208,0.8794093684925323,0.06512625521099481,208,0.9020438772731315,0.0724748258483193,208,0.6737667438398616,0.1142362060479532,208
esm2_frozen_linear,2,208,47751,0.7954884607640659,0.054936318946866465,208,0.7639247446709319,0.07015594782287407,208,0.7689999772987627,0.11916363757783495,208,0.6782423203106993,0.16069650102306612,208,0.7088414145584087,0.1295173495149904,208,0.7990503077547216,0.08069975681183138,208,0.850254912455224,0.10641201529846259,208,0.8190080747834549,0.07820741565220833,208,0.8582071775169686,0.060675596581154734,208,0.8809507584253502,0.07155391980247491,208,0.6326661464627759,0.10176771634922997,208
esm2_frozen_bilstm_attn,3,208,47751,0.8160529256780419,0.05751118652050134,208,0.7860184698333001,0.07186292168628403,208,0.8127292501298897,0.1089897721073235,208,0.6949562304199671,0.17250967031032502,208,0.7322096430443396,0.13079511998604545,208,0.8174016164688346,0.07503307855544773,208,0.8758971153852095,0.09764948882977818,208,0.8398272966222605,0.06533115870640922,208,0.8804810808169237,0.0546232235758474,208,0.8983863490722469,0.05832877833738913,208,0.6696273154553017,0.08831640323253719,208
esm2_top4_bilstm_attn,3,208,47751,0.8103970302109503,0.04989773742807618,208,0.7684671541995746,0.09044420132659724,208,0.784855423440007,0.17167240203793038,208,0.6639883601064699,0.20664398349721855,208,0.7040447646084492,0.1815715072603729,208,0.8047683335429062,0.08734205486011368,208,0.8732906019466988,0.11155535753194115,208,0.8328895437906999,0.08234536807529534,208,0.8743845364909238,0.055482980935457435,208,0.8946264875749852,0.06841609308099897,208,0.6623329599337454,0.09285282651183664,208
esm2_top28_bilstm_attn,3,208,47751,0.8150239276720277,0.050809246425427106,208,0.7799183788002588,0.08107034921331392,208,0.8000795184735339,0.14614999384947255,208,0.67912946050251,0.18470915905565172,208,0.7205125102737164,0.15619085691234372,208,0.8063892045485705,0.08919931358341236,208,0.8826645601040155,0.09458054606418004,208,0.8393242473268013,0.07610154957515124,208,0.8784874023211802,0.058998187740698003,208,0.8979982506730285,0.06888354750936601,208,0.6679386912285019,0.0963692215398126,208
esm3_frozen_bilstm_attn,3,208,47751,0.8044973245914322,0.054004090387122596,208,0.7645238274983477,0.08686640403625825,208,0.783236494078736,0.15614491285481344,208,0.6615292277460808,0.19847878879761988,208,0.7012271732091964,0.16985024060678483,208,0.8006991422075719,0.09386257323381422,208,0.8688221381877699,0.11153921907510715,208,0.8278204817874992,0.08476076915199901,208,0.8674435460636818,0.06676125861478256,208,0.8912595043750676,0.07481613577913553,208,0.6499087937514019,0.11783138386461864,208
esm3_top4_bilstm_attn,3,208,47751,0.8164286962338709,0.052576654551314585,208,0.782954258760678,0.08550484897356937,208,0.7905488640725308,0.14477617951104702,208,0.7065375497543911,0.18758730921493363,208,0.7284323444074524,0.1624429391113479,208,0.8189129565358966,0.08965268815966411,208,0.8658135776918164,0.10161360045268028,208,0.8374761731139035,0.07778942789972579,208,0.8848123026329342,0.06343081570385914,208,0.9075556280060191,0.06724926755942456,208,0.6796667948157112,0.11026201483048571,208
esm3_top28_bilstm_attn,3,208,47751,0.8192148486296141,0.05122030619156642,208,0.7901217818504767,0.07871270215473443,208,0.7770804297138157,0.14035026411697551,208,0.7382259898348218,0.16594994160687832,208,0.7443459279154627,0.14488888948847736,208,0.8323531749925616,0.08647048454961809,208,0.8477572411686788,0.10797358027838337,208,0.8358976357854904,0.08117274164883267,208,0.8835609606827202,0.07207200171351572,208,0.9063841559203455,0.07473567744452911,208,0.6786418361361164,0.1288427152055416,208
esm2_frozen_linear,3,208,47751,0.7977855793535901,0.054945286985061015,208,0.7670530956995437,0.07004522923790252,208,0.7748587367943229,0.11918823799867491,208,0.682058396435469,0.158133514451623,208,0.7133842557086612,0.12638048018292908,208,0.8011332703388392,0.08207084754818698,208,0.8524555027336297,0.10899468943051527,208,0.8207219356904262,0.08052872477527531,208,0.8600971185989835,0.05909323236386441,208,0.8827048557522672,0.06985231058915861,208,0.6355967419914796,0.10146276222062592,208
