condition,split,sign,band_type,apex_q8,n_bands,n_proteins,n_bands_with_background,background_match_fraction,mean_controls_per_matched_band
esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,T,356,158,232,0.651685393258427,3.2586206896551726
esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,E,358,132,220,0.6145251396648045,4.668181818181818
esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,H,32,30,24,0.75,4.375
esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,B,3,3,0,0.0,
esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,C,24,21,19,0.7916666666666666,4.421052631578948
esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,G,40,34,15,0.375,2.2666666666666666
esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,G,6,6,3,0.5,3.3333333333333335
esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,E,44,39,30,0.6818181818181818,4.633333333333334
esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,S,1,1,1,1.0,1.0
esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,T,5,5,4,0.8,3.75
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,C,761,205,621,0.8160315374507228,4.344605475040257
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,E,310,129,206,0.6645161290322581,4.218446601941747
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,T,308,138,193,0.6266233766233766,3.476683937823834
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,H,878,190,574,0.6537585421412301,4.648083623693379
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,E,42,36,26,0.6190476190476191,4.115384615384615
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,S,184,101,97,0.5271739130434783,2.2371134020618557
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,C,19,16,16,0.8421052631578947,4.3125
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,G,27,24,9,0.3333333333333333,4.111111111111111
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,G,14,12,5,0.35714285714285715,3.4
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,H,36,31,24,0.6666666666666666,4.666666666666667
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,I,1,1,0,0.0,
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,T,2,2,1,0.5,5.0
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,B,1,1,0,0.0,
esm2_top28_bilstm_attn,train,-1,rigidity_supporting,H,3766,864,2769,0.7352628783855549,4.512459371614301
esm2_top28_bilstm_attn,train,1,flexibility_supporting,C,2758,871,2530,0.9173313995649021,4.592490118577075
esm2_top28_bilstm_attn,train,1,flexibility_supporting,S,649,372,280,0.43143297380585516,2.225
esm2_top28_bilstm_attn,train,-1,rigidity_supporting,E,1163,463,857,0.7368873602751504,4.466744457409568
esm2_top28_bilstm_attn,train,1,flexibility_supporting,T,1520,657,1025,0.6743421052631579,3.4926829268292683
esm2_top28_bilstm_attn,train,1,flexibility_supporting,G,155,131,56,0.36129032258064514,3.2857142857142856
esm2_top28_bilstm_attn,train,1,flexibility_supporting,H,224,185,167,0.7455357142857143,4.5568862275449105
esm2_top28_bilstm_attn,train,1,flexibility_supporting,E,83,75,60,0.7228915662650602,4.083333333333333
esm2_top28_bilstm_attn,train,-1,rigidity_supporting,G,35,34,7,0.2,3.0
esm2_top28_bilstm_attn,train,-1,rigidity_supporting,C,72,61,61,0.8472222222222222,4.278688524590164
esm2_top28_bilstm_attn,train,-1,rigidity_supporting,T,10,10,6,0.6,3.5
esm2_top28_bilstm_attn,validation,-1,rigidity_supporting,H,816,187,510,0.625,4.525490196078431
esm2_top28_bilstm_attn,validation,1,flexibility_supporting,C,585,192,499,0.852991452991453,4.43687374749499
